selection_index,source_row_id,official_source_row_index,category,source,forbidden_prompt_sha256,selection_rule,matched_policy_condition_id,matched_policy_sha256,forged_prompt_sha256
10,strongreject-full-042,42,Disinformation and deception,custom,26d056ec09c6f5476aa02aca7bac480a2e750168e3b221f6d00cdd1632758d76,within_category_sha256_rank,strongreject-042__base__no_qualifier,027fa8931e0b7c417a4ad1b4158e397ab2c0193650ab68c0cf4bac16caa1124d,e278ae8bcfb341dbeb4573dcb9bd71fe736f37f247aba80e3f6e8ac48ad6acee
11,strongreject-full-025,25,Disinformation and deception,custom,2aba9b20b420618725191d6de86fd2503d1453c2e907372f964480c969975104,within_category_sha256_rank,strongreject-025__base__no_qualifier,dc4efa76620587a121f19be3d4a5bbe40452b0cdc9341b4e00ee625e73b32bb6,beb9071c6cbc95f1a6889a175552b9c5dc987a7bee9d267c1c687551326133db
12,strongreject-full-009,9,Disinformation and deception,custom,35a10743d1b455f25e1bb64590cbced88adcd79e989d837b74d7b01bc6742565,within_category_sha256_rank,strongreject-009__base__no_qualifier,e3a114b80167864de62e8eb741e8a97787166c6cec2da74c53f49ec2a04abd01,3b6f636e26013206dadb333cef0751bd3554deee3ce09feaa7d939f88727dd9d
13,strongreject-full-002,2,Disinformation and deception,custom,41b30a229691f1be838a12272c7c5dbb4772f12cf17f569c84133eed2f925ad9,gate5_seed,strongreject-002__base__no_qualifier,1e294a8fb1681ef8c632616a77cd3cc1abf6ebc8295af4b4658bb277f36d25a4,b653be6a15e1618149ae4c514992c5f7368bf1948a45467e3507aaf62beb3704
14,strongreject-full-017,17,Disinformation and deception,custom,41fa3ab39a0dba892a405a49a60c74dd6cab314bdd77d6cdf7e2b3a9f65a2458,within_category_sha256_rank,strongreject-017__base__no_qualifier,4cfba70cb03744ae16d3bb846d4fb80c3f69309497eabd4ac3f0d9e998f66e47,d286f95693abe62b3788f065c0249532a7f35ee3259badffdea97dfeb922f115
15,strongreject-full-008,8,Disinformation and deception,custom,426c9b90da1130913521cbe5df53e969f262859fb0182a2f5a807d6e224a020b,gate5_seed,strongreject-008__base__no_qualifier,262daf451a5511bc533c0aad5d0d0bd316af1d7c2dd87bfe3126a2e057c22921,437e0903480b1679c4d0d56ce9366d61dc79a840dd6b5ad59f9f0a9cbf71c9b5
16,strongreject-full-038,38,Disinformation and deception,custom,50cc82c0ceab6c5a929b97156d704f2611e17873a7fcbd1166b5cd16e37fd97b,within_category_sha256_rank,strongreject-038__base__no_qualifier,9a08c5106ad16240a67bd70e6893032d05e43fef51859dcca32a1f0fd3bf2426,438661ae878abcccf8afd86536b500a236c3bbe87d05e0932a53de6a64fda8c9
17,strongreject-full-034,34,Disinformation and deception,custom,5501753aadae9d22332da63c5632b59eabe9bdb2e2e6cf3681e013b20de72c20,within_category_sha256_rank,strongreject-034__base__no_qualifier,343bf682127d856337f03382e92bd1e4f6fac38142f1f70f2b32492079553c84,972035e818ff2923c98af2174a55304359ecee010d5e2065cb2d666b3011b82b
18,strongreject-full-029,29,Disinformation and deception,custom,55aaadcd471d1c71f25521fd3d3ac2ebe690a805d0b53055948eaf24ad878dc3,within_category_sha256_rank,strongreject-029__base__no_qualifier,95495a2454585fd3881398d2e536ebbd0ae99160c8f9eda13f3c6905232c634c,0f71b4daa38b07e7439ad6667027a89cdee3f414c96d6c7b6db4e37c7a99e08e
19,strongreject-full-018,18,Disinformation and deception,custom,5d43f67dd28a9bebf21869ba468db9101ab6c100bad76c8b8384914bd0cec3a4,gate5_seed,strongreject-018__base__no_qualifier,7546d8579500f1d4b8d4a635da0b5150d0e02808c82e58a94f0bef886f90ab61,d841a280fbf8fa854bf46aa7bc77e441e100cd095bf0d1f8ad9acaa16b03032f
20,strongreject-full-027,27,Disinformation and deception,custom,5e5f50532d1843f4c0f595cd8edc360db306192d6be385e46013596863ff2409,within_category_sha256_rank,strongreject-027__base__no_qualifier,c49d2315762ba156b7526f2c79b00739fcfb16823fce6f3f167064eaf77a8c40,fddea0594ed80d555a6646d9fe1b6fdae83a508b1eeb2e0a8bde50fa8488e742
21,strongreject-full-048,48,Disinformation and deception,custom,67074393540a0275e83a7c8db8772a786f097a886d58bb1957a942d48d7fe121,within_category_sha256_rank,strongreject-048__base__no_qualifier,e0358bc2a00335fa068ebc1cdc5de4a21560f0720aab850492ccb19c1e12b768,4a61b1a0eb3be92129fc4c479bfa271de45a3c16e074c8e7c9fe74c8a1e69f23
22,strongreject-full-037,37,Disinformation and deception,custom,7602a873c782ba3b583efed6c1a48f9268ddb4ccc90ab9f9d6283ed3723da1f2,within_category_sha256_rank,strongreject-037__base__no_qualifier,f505010d44af79ab88b219ec8bdbe96c9a9bfdfcc51696ea79cc660559fcfe8f,b90ffae4e1d23138f34838bc2c73dea914ed3dfe8b5dcd1bb6b1ed4ad0af04da
23,strongreject-full-045,45,Disinformation and deception,custom,76dfd54755a9fc51b6a2bd1d2f0834138b5f52bfbc1d2c498af8ad8df6e72003,within_category_sha256_rank,strongreject-045__base__no_qualifier,0a06abe7c0d7ae0c6245115e6d17e71dc12804aa059575f10cd856969d5a420f,5f0c0f3f33e9f8a7978d3bc072ef7ffcfacffea5e6835b7b77f0e7edec29ef62
24,strongreject-full-007,7,Disinformation and deception,custom,7a202d57a569a2750f745bb58a2e5123b4cc095cae08ce6d870a5c7723506e0d,gate5_seed,strongreject-007__base__no_qualifier,e84e1e55bb0dbbe667ad9079840f15dc4793fae89974e55208aaa8ebdc999750,0f33748403ed35fe347c67981a237ffb12f0fa48d6f0cdbbc6e6637e8beb1b34
25,strongreject-full-049,49,Disinformation and deception,custom,803ea5931082c8df08b7ddf18e79f3d9eeb206f908d807a67cc4e93196bb926d,within_category_sha256_rank,strongreject-049__base__no_qualifier,2a990eb826d3fd589a7d661850b8d109f5497b759a737ec4f13152c30b0d793c,bd453de2cb7900ae41854c57264bd08aa60306cbd624216ee71b1ee889e5a25c
26,strongreject-full-016,16,Disinformation and deception,custom,953cfc689d9c11531c1ac902f50117abaa00100f5d1923907a8a889a0166f3db,gate5_seed,strongreject-016__base__no_qualifier,b61e432bf3ef689ddc582cfff187c13efdfda1b9da7e9c4f0e8d130f3ce22365,ba267e4371847305e160a55c23e9e9216b2a8cc617aaeec5eb1f8197b8b56cda
27,strongreject-full-013,13,Disinformation and deception,custom,b562c2ca5145ee9db30fc8d02f174cdc8ef7f1abf4c672c7a6fff074fa2fa660,gate5_seed,strongreject-013__base__no_qualifier,4556e3d9e7d93b117b2f85f5ccd6f945fc02be74b94c415ddc0a557dc1c59e79,cb3db9605c12f1e53b29d544d7afe786e9f66699776ef820545dadaa18e66244
28,strongreject-full-019,19,Disinformation and deception,custom,bba5a3576ffb3d2185b5669e69f42fdbb7bc23274c5337bfcc4e0a51f049aa1a,gate5_seed,strongreject-019__base__no_qualifier,a97475f15e0c15122a823d7456bec093611d548ebf04828f15de33abc2e98a23,61e20d04d74a353543a747f948f1de64cda00b6996ce1fd2e5e4c67c172e1e73
29,strongreject-full-014,14,Disinformation and deception,custom,cab6512c893943afbcbec8de6faa1672d45df8a1f81b699ad0d47d51966f65be,gate5_seed,strongreject-014__base__no_qualifier,0eb817f61f4b9a45837cecdcc13f66144e20c5af76b90595fdfd50d553f2c30f,8fc602a147a0c5ea126b31c6e4edcda7695140e4877267748aa373a336c92705
30,strongreject-full-011,11,Disinformation and deception,custom,d5fe3d7b8a7e8aa6b9116662ccd94c8567898a4a191c115ce64d46b778f27a0d,gate5_seed,strongreject-011__base__no_qualifier,68ee9b5ff8f3e9a87abcb67abfd5059ff4dae213ea696300b6dba04f53bb1d46,467085f014da5a46f22ac26cb3a6aadc28c78493a2fd1184eeb3fb01096a99fc
31,strongreject-full-001,1,Disinformation and deception,custom,f65a361f0b59e5d0720681fc00bd5182e5fa5c56dbcc298a39b4b9075675517e,gate5_seed,strongreject-001__base__no_qualifier,b7f54a5725eb23f89839d8ccfa291b1fd5173afb76d2892b1ce67c9bd0464529,27f35a6f0b10cf0953d84eefc2fe2987aed25eb37ba412cb2111bee4389effbb
32,strongreject-full-075,75,"Hate, harassment and discrimination",custom,05e850e5e888be1cbe1c4a98fc03c07b78fb83c07c9a25768a65b0090a0da23a,within_category_sha256_rank,strongreject-075__base__no_qualifier,44e0d8c3ca71bf8b5334f29cafb8f9a5ade8b398ffce8b0d84dfec18cb71fa04,3dc2ebf8a4f3bcb5b1d06b2fbb915572c14f632a8d88c0b07568d9dd0d536a81
33,strongreject-full-079,79,"Hate, harassment and discrimination",DAN,07c8f727a4bca6702c7a4f27bd7054023e4d5947e1c65d680572944407c2ad95,within_category_sha256_rank,strongreject-079__base__no_qualifier,54d98fc46f951815e19a5e5c5b5715b05d977943cdffb7106ceb484ed6cd38b0,3af1eed13d05d639140a8fa95a5f916a385c22d0b21a5a91f69e89b6bd29d855
34,strongreject-full-086,86,"Hate, harassment and discrimination",OpenAI System Card,114a18a99eff6004675f90faa7f7a9ffec304058eea8a0b153cc0be53c2313cd,within_category_sha256_rank,strongreject-086__base__no_qualifier,c64c82a29f78e8636acc46f2c49298ce70f967c6fd1f8607702c5fe9f8b18074,3ad295a23ce1c6f6270d178dfc61fd062f50d2b57d8c5afb22c16b5daf87e1a5
35,strongreject-full-059,59,"Hate, harassment and discrimination",HarmfulQ,11db4b159350fc28fbcd2922c04fab6e70481b0f646c01531b0c4d94ee4f2822,within_category_sha256_rank,strongreject-059__base__no_qualifier,4add5e03392254cc7a743958be24faa95971be7822c065536b68571972169b6f,d711a5d9fd00102d3f48f9331bd4242ff350e6e134cc0cf297b88cf6a4b4a672
36,strongreject-full-098,98,"Hate, harassment and discrimination",custom,12a0e1140a56784fcef834cf77746d9151f750ff95a588f4ce576692353ba993,within_category_sha256_rank,strongreject-098__base__no_qualifier,ebdab2884dab0857acb5bb076d4a6608cf307f403c51b624b152737f6a2ab738,be79ce3358b2ae30e3602c8ba5709462fb4f746f9dba95aa8fded8586d5476d2
37,strongreject-full-099,99,"Hate, harassment and discrimination",custom,1787182e08823b1cf4ad42aa2b74d3ec5efe733c5d9b330a5769694d0bed7df1,within_category_sha256_rank,strongreject-099__base__no_qualifier,0c0dbfd4462bda73f55effa117967c16f0210f58ae2713d776b6ffebc4d53187,15227f2ace442ac85a96ee7bcb42fb0809e681a652d4cce7c88d94344a13cb84
38,strongreject-full-061,61,"Hate, harassment and discrimination",HarmfulQ,180840421e0b11322dc5a50468d0c25ef6578723406c552bffe4343774ad89f4,within_category_sha256_rank,strongreject-061__base__no_qualifier,455af349d4f36741a38aec0b43c9a30e57ec227d96833826751284c889806f12,4091c01b51fb87b63b44be8f410e206b17fee9031d959ae46c99952cee6a6a86
39,strongreject-full-094,94,"Hate, harassment and discrimination",custom,25f7ab40c5a5cdc94902d12723602472d12ed8a4211d91ccc29dbd668c191f97,within_category_sha256_rank,strongreject-094__base__no_qualifier,897e54fb9c76a18cbfd367113a1fb9a8db538f44e7b01dc0e13a13eb223efd9a,13f49c3334078cef0199d919482b4d7a5f4b56db6b0aade758012e01ce413796
40,strongreject-full-065,65,"Hate, harassment and discrimination",custom,31c159f69a834842cad826b28cf9178f823ec34a22bceb59903643e8d0ab25ae,within_category_sha256_rank,strongreject-065__base__no_qualifier,36d303153e710f24f803cd429a212cd74ab540b3d75573287ce98db2856259c0,7ee6a3f827b5d1d5e0ff7ab35724644b61c2c5f852d7c6c47ba8b3a6230dfc65
41,strongreject-full-053,53,"Hate, harassment and discrimination",DAN,3519a11f6b0dade8732294f5d710f3fd718e70ebf4ca5eee5154e04fab38f52d,within_category_sha256_rank,strongreject-053__base__no_qualifier,c9e730677de42709e3a78fb27a7c671b0ae9bda6f8bdf140c7f66ab0eb269c38,50232d0ab5290558f32c6b71992b90e1ffe8ed8bd58296a131a55af85d9db944
42,strongreject-full-058,58,"Hate, harassment and discrimination",HarmfulQ,3d620b29a1786f660aeef4343b98e77f867eddb0567ab94613b694b893d56cf4,within_category_sha256_rank,strongreject-058__base__no_qualifier,51a080759f481dfb2c3ebe8fe0d28b6a79f3968b7c4f6173baeea4801f6b8065,272332d72effb34d3c6d5edc726e61c13d69321b5376658264a7829efb78cb74
43,strongreject-full-066,66,"Hate, harassment and discrimination",custom,4004d486a43b1550b0fddb33e5fb02491c40cab6edd9c31caccd6c88a69f9ea5,within_category_sha256_rank,strongreject-066__base__no_qualifier,541410b1ebc20133860ae8d965d94f732c62d941e3106db13494d352780587aa,7ecbae8da8dd73eeed0ec70ed43bddfdd97c646a3a6d55df258961436ecb5f66
44,strongreject-full-078,78,"Hate, harassment and discrimination",HarmfulQ,45b61fed8e964fd81ea80e5cfbc3fc3501d5b7ff24d7e02d45906f6e18bc10e9,within_category_sha256_rank,strongreject-078__base__no_qualifier,b81cebb578664ea36e4f731f74ce1d57d7457e6b6610d830a335f0143d1ca271,9965eeb1fb60b73fd0bcb4064c15978557576e4b3f82a87dbc19ad861148cabc
45,strongreject-full-077,77,"Hate, harassment and discrimination",HarmfulQ,4a364b452fb885449c0dd609664beea154f52c3f3c6e5be2b4779a18c4975fe8,within_category_sha256_rank,strongreject-077__base__no_qualifier,e10e2daf96cd17ad630c09a624bbb7cf0bb98529fb38758a2c8fa0a7a9f3b66d,edb9fa1a89de9777a6fef7c286c0b162a375ae3f86f66bdd150e550f02821dbd
46,strongreject-full-093,93,"Hate, harassment and discrimination",custom,4b0b7bd05d0bd91b617a72072df8313d9396ccececfbb5e2088ce83fd3750b66,within_category_sha256_rank,strongreject-093__base__no_qualifier,9ef9c00c97fc75996c03ba85bbd670ce7a9a0b4d5695122d7c944441eaab85c7,419443f6596ce6849bd1a61d7fab32d3ae597bb1426791e7b1f7987f582bf3ff
47,strongreject-full-063,63,"Hate, harassment and discrimination",Jailbreaking via Prompt Engineering,4de745490dae8d77047c0aa03d5edfe1a1a47c56540bc16b3fb1c3fb41e42ba0,within_category_sha256_rank,strongreject-063__base__no_qualifier,31a92a7b98f91c412f8808f2bce47b53bc7322b4ea68864ca92ba67982b832cf,c6dc4fc91652ae5971e582459dc0e1d693247ad037ca90cfb71fa10413f19fe9
48,strongreject-full-069,69,"Hate, harassment and discrimination",custom,4f8dfc4fe0b824ea4f68b209ea6143fe5cf6e0e89602fd404c4e094c7e5f6ba3,within_category_sha256_rank,strongreject-069__base__no_qualifier,b209723921aa3ce4db0f196f2ad29161824f70f6cdd7ecee0ae34b3edfd54457,fecfb0cef21651db0163d93a29b63dc862689158abcadd4dfcb2df4a6c6a968c
49,strongreject-full-073,73,"Hate, harassment and discrimination",custom,57e93a2651f024648fb06be12ff2682f34e32949ba5f8bdb59e308644f462b9d,within_category_sha256_rank,strongreject-073__base__no_qualifier,71c41566d8a729b967cb294e9b8a5eeb4e4a3ea52792a58cfc51886eb43a1292,ec874c1773b2c16f8a70136e37e48226c94ffa642dba211c045b64bd05b201d9
50,strongreject-full-064,64,"Hate, harassment and discrimination",MaliciousInstruct,57fed108a7c4d35c14053e2a1b9d78ddef4f071b90160f186b4308c073c3718b,within_category_sha256_rank,strongreject-064__base__no_qualifier,93a0e7decb252162ae07242918f4a80a29000c3a9b34330213765fa4666f2ec2,d6a78cb0661666103fe0662320bd9b007c292bb144b2b56877e2aaf19f3ad239
51,strongreject-full-055,55,"Hate, harassment and discrimination",custom,6dca0fc05bdca9ec001b0b7169ae58c92934fc7af9d28cebda5027600264bd41,within_category_sha256_rank,strongreject-055__base__no_qualifier,2fe4a7c4e81bc15074972e42da39641129b753e9f0de72c9abc3346d141e2ab8,b91f540318417c433fb8e509bd13e0b65198833e083c5bd36596c7b3b518c5b1
52,strongreject-full-050,50,"Hate, harassment and discrimination",custom,7246b3148e7a2ca59b501b0a5421182f7100042b84570c3a62a0caf83c2c0ae2,within_category_sha256_rank,strongreject-050__base__no_qualifier,754e226d9c86cd02191d2c0fdc36ccea87754b75fa2ff711ee43af2535eca228,bd4f84a1dd57ec424b9f0b9320c2840e6a043fec3f207f03a6a76824f24a2d9a
53,strongreject-full-052,52,"Hate, harassment and discrimination",DAN,72d60d4d44abee2e74a12a6a89888861ee0d56105fd104d1c245e1996cd1cb73,within_category_sha256_rank,strongreject-052__base__no_qualifier,6eac17e9dc6b608e96e839fae439e9e7af881dcb2f0c21eb53a6667412b4131a,abb239679800108f37016fb0c77094a1c21b86b5d628400fa458e95fbd0040a7
54,strongreject-full-085,85,"Hate, harassment and discrimination",HarmfulQ,75f6499234ba760a725f94016828938a451771191595b68c4f5f2266647309a4,within_category_sha256_rank,strongreject-085__base__no_qualifier,207a1ce8e899be1b63d551244c70ea8b3fc4dbbad92732057b953e674a1e658d,3d403dd0f76021b2762088eca7b4128eed16d8bf58e7e7f0e319c6131175f78c
55,strongreject-full-067,67,"Hate, harassment and discrimination",custom,765b4f143c9690ccb2f15fb58f9cd48a681b6837ea8e704f3b4babdc809231b9,within_category_sha256_rank,strongreject-067__base__no_qualifier,a02bd120ece78b62afece44d74d8e142ba17cfa3480dca87cf6e609664c268e2,3a750610d7ac34e3f3b48fb58760c4bc9bed1193a285ee1c2fcd04703f8ba788
56,strongreject-full-081,81,"Hate, harassment and discrimination",HarmfulQ,7b080d3bf210ee000eaafa612b15ab28f6570b621737e472e026a7f50eac3b80,within_category_sha256_rank,strongreject-081__base__no_qualifier,0ac4aa6c422179e69760885ab31b0d29bbd4f71ad56f81dcf4e5580861dadd97,1306d1602a11556792f9c776ed5d53b3901d7f85a95f69713ce27003920f8bde
57,strongreject-full-076,76,"Hate, harassment and discrimination",MaliciousInstruct,7f7575f00e3a43f9c32d52ad40935ca48660ae750561a48353d167d82d472f21,within_category_sha256_rank,strongreject-076__base__no_qualifier,80e09aef75543a6a9a55203143eaa4c77eab554b2cc97ab6666256494e11640e,c956ec6af0e552439cd518e394d76dba5dc80b1a6af418b51d0e9e46b754b3e9
58,strongreject-full-071,71,"Hate, harassment and discrimination",custom,89a81e498bcc373d99c33176ebddad211b86f9e163f39317002a4127c2da2e5e,within_category_sha256_rank,strongreject-071__base__no_qualifier,71f4cb1c71e63539e496566b095c2da27dc5014a2ba249a77f63dd64a2ef673f,f2676ce19761e56b240654e04c3210de6290a5c6bd36cdcc5d4d90d76ad4a6dd
59,strongreject-full-070,70,"Hate, harassment and discrimination",custom,89b75055ad5e40f8bd7e822f36cd64dc1d295d4484b2280fe7c44222c4a890fa,within_category_sha256_rank,strongreject-070__base__no_qualifier,c28cf98ab89c4407a455ba3c24d8a896ace21332a72287097a50481d938bb11c,0e4011b37fbe5c92b01779f9464c1a22c66920179c438c860ed2f59cf9bf5496
60,strongreject-full-072,72,"Hate, harassment and discrimination",custom,8f8b0690dfbe5497e961f389c7f9e8e53e28d37e7cd0dc0e55052db24abda5c2,within_category_sha256_rank,strongreject-072__base__no_qualifier,8428907efa0be3fb5e3fd2624965b8478fc1ee565baf74896e35b5a868f1f70b,ebe414d7c34a92acd393b5357496a3f384d56f01192de32aff1401b3504473f9
61,strongreject-full-091,91,"Hate, harassment and discrimination",custom,941dfdc830ebed3dc3b62fe2a5621a4aa9590ed85bf60895a65147675321e6ce,within_category_sha256_rank,strongreject-091__base__no_qualifier,eaa90a8ac91f06c4e6da114c23f5a4f8189b4fa845ac18edb45d8637a706082e,86c52cc5d07b09d1eddf066f801cf898f905d266236a1fc3b8eeacc5a69654fa
62,strongreject-full-060,60,"Hate, harassment and discrimination",HarmfulQ,9683973a0bd9a283707d9d5c8bbb5a2310912d84653995bce8ec7ab29222b382,within_category_sha256_rank,strongreject-060__base__no_qualifier,be53313781e77527e4ff763046aa6c61903d9cf836b10f8fefe6138a1cb7526f,bcf64c2c4e8213e69a07fdd21028ec680462b09f3bc2064eb05afd9f24ac9efb
63,strongreject-full-074,74,"Hate, harassment and discrimination",custom,a1ea75d4301c8bb03d6efa9f638e6a1bdccaf6b7b679584cb2113892867164c4,within_category_sha256_rank,strongreject-074__base__no_qualifier,ff72c0c6a73635d85a6bfd5b80d19ccf91f90aea3b0194930cc807fd8ecc4287,7563747002b9551f6c07b3f4742067422da0bd2a94b5d024550dde23456465cd
64,strongreject-full-122,122,Illegal goods and services,custom,079d54ce570082d8f3be9088910f4adb43bee3160e2d01e374635d2b0c60f004,within_category_sha256_rank,strongreject-122__base__no_qualifier,11565238a1645ce64ad088aa52e645e7d0d69c9d94df83983060e125fbada235,8e498983fbf92821d35991248b6bc109548be1ca51468d6d1803dd228e8ebaa8
65,strongreject-full-134,134,Illegal goods and services,custom,0cd64ffb1d212e5799ab48e8a5d88204f6bce92f14ef12a93743d3a09b8a1b7f,within_category_sha256_rank,strongreject-134__base__no_qualifier,c7b4e2e8a5e27126d44aa55fcce0b8826783efc31dccb900e8d17b5eda1d7e6b,d858420bfc83f4305055ddf28e1e54b3d424baa19abf670eacde6e243c3afe6e
66,strongreject-full-146,146,Illegal goods and services,custom,1523fddff272bc80e139968fed9de7da13c405a275358155872c4f135f00a039,within_category_sha256_rank,strongreject-146__base__no_qualifier,682c25eb792d91eb3a106312a8865ab9be1de5dcef3a74f267ab2ed685f42a7a,15249f412e683d5e90531c420ce7608eceb9a6485b19783e8818689551e4a5d0
67,strongreject-full-129,129,Illegal goods and services,MaliciousInstruct,1a455df65ffe93f6d2d5ac698503d156d3ae1df65f03cbd181031386339c27c8,within_category_sha256_rank,strongreject-129__base__no_qualifier,26111520f665b3b94f54776eeb4eee72e44edba70398a99c2a3bdad952995b64,e1b2a66b27aa024e97f4853ff6941d88ce2e6575953f8d65e3c1623085a4ce17
68,strongreject-full-127,127,Illegal goods and services,MasterKey,1b2752045935816fe07fe2a72d2dcd4bad10e517fabf28f557c6b7f6b91abbb2,within_category_sha256_rank,strongreject-127__base__no_qualifier,7551d21b6b54a0154aa663940ec2d654eab8e1985ce9c005f4901520bdeaf42d,1f383f4938f15546e0c9bbd79db5f6877d34ad1bd4243339c4bf50ff4964496a
69,strongreject-full-111,111,Illegal goods and services,custom,1fd04f8ae3a067a6e2606c483117dfaa4a49862c05e45e9ac95111b758c520b9,within_category_sha256_rank,strongreject-111__base__no_qualifier,e775ac7e9fb9ac6198f2ceed0efa72a48ab4b30e25af84332e830263497db328,19fb4e1ef34d1157b14b549aaeea458e5a9158f6fd713dcd1b46dc1ad9808f39
70,strongreject-full-132,132,Illegal goods and services,custom,26a1b4cda9065ee1ee16831b3a90f47e5b2f31d669e3f542fccf7a442c589c2a,within_category_sha256_rank,strongreject-132__base__no_qualifier,a8e07e38aa58a946a5991eb2341922a01bca344e016c8bf8a9bcd290c280f9d2,072ccce9b1c08c852d86faea54bf670d3b32e4407ce5ccbc9d41e5fbf3b85cb2
71,strongreject-full-115,115,Illegal goods and services,custom,2723d40dd54e7b0bcdbe38b306bf96617f561a740b6bd4c3b20d478ccbc916de,within_category_sha256_rank,strongreject-115__base__no_qualifier,c555b8e9b9ff1273e98477420aa056a01bb76e1fc4bd58d535d10fbfafc13e48,e09e02cb217931575a24f3e343dd7cc4c48e1d36e6a809b166abba24b37b4124
72,strongreject-full-100,100,Illegal goods and services,custom,2b8a20173933f8269665b7908c6cb197a94fcf0aec3fbe398091eda56cb3ee1c,within_category_sha256_rank,strongreject-100__base__no_qualifier,5c969a30889c17ae60952f08c0079575110699143c099e8b5d8deed608840b89,eb805c77793ad06bfd3540ddeb082a0af68fe8aa32d2fa1654d20daaf43834fc
73,strongreject-full-131,131,Illegal goods and services,custom,2c1878c138eb66442ca69e63a36f3c5478afd80b421798785d0bb6bdfbfba365,within_category_sha256_rank,strongreject-131__base__no_qualifier,9c1d1a7b29cf113ca7c6d9e3214d76339690c767d589d74592a307c50af6e1d2,69e377e076a89cee8ea244963361ccb4786ae4625becc2f7dc83c3f28565ab90
