family,space,layer,condition,kind,stat,mean,lo,hi,n
base,suca,8,reversed,minus_null,last20,0.7549569606781006,0.7124522924423218,0.7974615693092346,2
base,suca,8,reversed,minus_null,slope_per100_after100,,,,0
base,suca,8,reversed,minus_null,rise_past_100,,,,0
base,suca,8,reversed,minus_null,rise_past_100_later,,,,0
base,suca,8,neutral,raw,early,0.0033459109254181385,0.0011242293985560536,0.005567592568695545,2
base,suca,8,neutral,raw,plateau,0.0002976612886413932,0.0002976612886413932,0.0002976612886413932,1
base,suca,8,neutral,raw,late,,,,0
base,suca,8,neutral,raw,later,,,,0
base,suca,8,neutral,raw,last20,0.007741962093859911,0.00037906382931396365,0.015104860067367554,2
base,suca,8,neutral,raw,slope_per100_after100,,,,0
base,suca,8,neutral,raw,climb_critic,-0.0008265681099146605,-0.0008265681099146605,-0.0008265681099146605,1
base,suca,8,shifted,raw,early,0.6063917875289917,0.568370521068573,0.6444131135940552,2
base,suca,8,shifted,raw,plateau,0.44400349259376526,0.44400349259376526,0.44400349259376526,1
base,suca,8,shifted,raw,late,,,,0
base,suca,8,shifted,raw,later,,,,0
base,suca,8,shifted,raw,last20,0.4051430821418762,0.2829248607158661,0.527361273765564,2
base,suca,8,shifted,raw,slope_per100_after100,,,,0
base,suca,8,shifted,raw,climb_critic,-0.20040962100028992,-0.20040962100028992,-0.20040962100028992,1
base,suca,8,shifted,minus_null,early,0.6030458807945251,0.5628029704093933,0.643288791179657,2
base,suca,8,shifted,minus_null,plateau,0.44370585680007935,0.44370585680007935,0.44370585680007935,1
base,suca,8,shifted,minus_null,late,,,,0
base,suca,8,shifted,minus_null,later,,,,0
base,suca,8,shifted,minus_null,last20,0.3974010944366455,0.2825457751750946,0.5122564435005188,2
base,suca,8,shifted,minus_null,slope_per100_after100,,,,0
base,suca,8,shifted,minus_null,rise_past_100,,,,0
base,suca,8,shifted,minus_null,rise_past_100_later,,,,0
base,suca,8,genuine,raw,early,0.8524097204208374,0.7629246115684509,0.9418948888778687,2
base,suca,8,genuine,raw,plateau,0.6441278457641602,0.6441278457641602,0.6441278457641602,1
base,suca,8,genuine,raw,late,,,,0
base,suca,8,genuine,raw,later,,,,0
base,suca,8,genuine,raw,last20,0.5336986780166626,0.5104686617851257,0.5569286942481995,2
base,suca,8,genuine,raw,slope_per100_after100,,,,0
base,suca,8,genuine,raw,climb_critic,-0.11879676580429077,-0.11879676580429077,-0.11879676580429077,1
base,suca,8,genuine,minus_null,early,0.8490638732910156,0.7618004083633423,0.9363272786140442,2
base,suca,8,genuine,minus_null,plateau,0.6438302993774414,0.6438302993774414,0.6438302993774414,1
base,suca,8,genuine,minus_null,late,,,,0
base,suca,8,genuine,minus_null,later,,,,0
base,suca,8,genuine,minus_null,last20,0.5259567499160767,0.4953637719154358,0.5565496683120728,2
base,suca,8,genuine,minus_null,slope_per100_after100,,,,0
base,suca,8,genuine,minus_null,rise_past_100,,,,0
base,suca,8,genuine,minus_null,rise_past_100_later,,,,0
base,suca,12,own_cot,raw,early,0.47047412395477295,0.4468774199485779,0.494070827960968,2
base,suca,12,own_cot,raw,plateau,0.15680058300495148,0.15680058300495148,0.15680058300495148,1
base,suca,12,own_cot,raw,late,,,,0
base,suca,12,own_cot,raw,later,,,,0
base,suca,12,own_cot,raw,last20,0.16453737020492554,0.083754763007164,0.24531996250152588,2
base,suca,12,own_cot,raw,slope_per100_after100,,,,0
base,suca,12,own_cot,raw,climb_critic,-0.33727025985717773,-0.33727025985717773,-0.33727025985717773,1
base,suca,12,own_cot,minus_null,early,0.4121870696544647,0.3827921748161316,0.44158196449279785,2
base,suca,12,own_cot,minus_null,plateau,0.14405198395252228,0.14405198395252228,0.14405198395252228,1
base,suca,12,own_cot,minus_null,late,,,,0
base,suca,12,own_cot,minus_null,later,,,,0
base,suca,12,own_cot,minus_null,last20,0.07171659171581268,0.05939624831080437,0.0840369313955307,2
base,suca,12,own_cot,minus_null,slope_per100_after100,,,,0
base,suca,12,own_cot,minus_null,rise_past_100,,,,0
base,suca,12,own_cot,minus_null,rise_past_100_later,,,,0
base,suca,12,shuffled,raw,early,0.0936318039894104,0.031259335577487946,0.15600427985191345,2
base,suca,12,shuffled,raw,plateau,0.17176653444766998,0.17176653444766998,0.17176653444766998,1
base,suca,12,shuffled,raw,late,,,,0
base,suca,12,shuffled,raw,later,,,,0
base,suca,12,shuffled,raw,last20,0.37287941575050354,0.20509938895702362,0.5406594276428223,2
base,suca,12,shuffled,raw,slope_per100_after100,,,,0
base,suca,12,shuffled,raw,climb_critic,0.14050719141960144,0.14050719141960144,0.14050719141960144,1
base,suca,12,shuffled,minus_null,early,0.03534478694200516,-0.02122947946190834,0.09191904962062836,2
base,suca,12,shuffled,minus_null,plateau,0.15901795029640198,0.15901795029640198,0.15901795029640198,1
base,suca,12,shuffled,minus_null,late,,,,0
base,suca,12,shuffled,minus_null,later,,,,0
base,suca,12,shuffled,minus_null,last20,0.28005868196487427,0.18074089288711548,0.37937647104263306,2
base,suca,12,shuffled,minus_null,slope_per100_after100,,,,0
base,suca,12,shuffled,minus_null,rise_past_100,,,,0
base,suca,12,shuffled,minus_null,rise_past_100_later,,,,0
base,suca,12,reversed,raw,early,0.09240409731864929,0.03628002852201462,0.14852815866470337,2
base,suca,12,reversed,raw,plateau,0.3257417678833008,0.3257417678833008,0.3257417678833008,1
base,suca,12,reversed,raw,late,,,,0
base,suca,12,reversed,raw,later,,,,0
base,suca,12,reversed,raw,last20,0.5243414044380188,0.3789874017238617,0.6696954369544983,2
base,suca,12,reversed,raw,slope_per100_after100,,,,0
base,suca,12,reversed,raw,climb_critic,0.28946173191070557,0.28946173191070557,0.28946173191070557,1
base,suca,12,reversed,minus_null,early,0.03411707282066345,-0.016208792105317116,0.08444293588399887,2
base,suca,12,reversed,minus_null,plateau,0.31299319863319397,0.31299319863319397,0.31299319863319397,1
base,suca,12,reversed,minus_null,late,,,,0
base,suca,12,reversed,minus_null,later,,,,0
base,suca,12,reversed,minus_null,last20,0.43152064085006714,0.35462889075279236,0.5084123611450195,2
base,suca,12,reversed,minus_null,slope_per100_after100,,,,0
base,suca,12,reversed,minus_null,rise_past_100,,,,0
base,suca,12,reversed,minus_null,rise_past_100_later,,,,0
base,suca,12,neutral,raw,early,0.058287013322114944,0.05248881131410599,0.0640852153301239,2
base,suca,12,neutral,raw,plateau,0.012748589739203453,0.012748589739203453,0.012748589739203453,1
base,suca,12,neutral,raw,late,,,,0
base,suca,12,neutral,raw,later,,,,0
base,suca,12,neutral,raw,last20,0.09282077848911285,0.024358512833714485,0.16128304600715637,2
base,suca,12,neutral,raw,slope_per100_after100,,,,0
base,suca,12,neutral,raw,climb_critic,-0.039740219712257385,-0.039740219712257385,-0.039740219712257385,1
base,suca,12,shifted,raw,early,0.5259919762611389,0.46355757117271423,0.5884263515472412,2
base,suca,12,shifted,raw,plateau,0.13989663124084473,0.13989663124084473,0.13989663124084473,1
base,suca,12,shifted,raw,late,,,,0
base,suca,12,shifted,raw,later,,,,0
base,suca,12,shifted,raw,last20,0.19546076655387878,0.07434521615505219,0.3165763020515442,2
base,suca,12,shifted,raw,slope_per100_after100,,,,0
base,suca,12,shifted,raw,climb_critic,-0.4485297203063965,-0.4485297203063965,-0.4485297203063965,1
base,suca,12,shifted,minus_null,early,0.4677049219608307,0.39947235584259033,0.535937488079071,2
base,suca,12,shifted,minus_null,plateau,0.12714804708957672,0.12714804708957672,0.12714804708957672,1
base,suca,12,shifted,minus_null,late,,,,0
base,suca,12,shifted,minus_null,later,,,,0
base,suca,12,shifted,minus_null,last20,0.10263998806476593,0.04998670145869255,0.155293270945549,2
base,suca,12,shifted,minus_null,slope_per100_after100,,,,0
base,suca,12,shifted,minus_null,rise_past_100,,,,0
base,suca,12,shifted,minus_null,rise_past_100_later,,,,0
base,suca,12,genuine,raw,early,0.633987307548523,0.5999687314033508,0.6680058836936951,2
base,suca,12,genuine,raw,plateau,0.08683948218822479,0.08683948218822479,0.08683948218822479,1
base,suca,12,genuine,raw,late,,,,0
base,suca,12,genuine,raw,later,,,,0
base,suca,12,genuine,raw,last20,0.08416400849819183,0.032311923801898956,0.1360161006450653,2
base,suca,12,genuine,raw,slope_per100_after100,,,,0
base,suca,12,genuine,raw,climb_critic,-0.5131292343139648,-0.5131292343139648,-0.5131292343139648,1
base,suca,12,genuine,minus_null,early,0.5757002830505371,0.5474799275398254,0.603920578956604,2
base,suca,12,genuine,minus_null,plateau,0.07409089803695679,0.07409089803695679,0.07409089803695679,1
base,suca,12,genuine,minus_null,late,,,,0
base,suca,12,genuine,minus_null,later,,,,0
base,suca,12,genuine,minus_null,last20,-0.008656765334308147,-0.025266939774155617,0.007953409105539322,2
base,suca,12,genuine,minus_null,slope_per100_after100,,,,0
base,suca,12,genuine,minus_null,rise_past_100,,,,0
base,suca,12,genuine,minus_null,rise_past_100_later,,,,0
base,sucat,8,own_cot,raw,early,0.384310245513916,0.3662758469581604,0.40234461426734924,2
base,sucat,8,own_cot,raw,plateau,0.5482770204544067,0.5482770204544067,0.5482770204544067,1
base,sucat,8,own_cot,raw,late,,,,0
base,sucat,8,own_cot,raw,later,,,,0
base,sucat,8,own_cot,raw,last20,0.44734930992126465,0.3961612582206726,0.4985373616218567,2
base,sucat,8,own_cot,raw,slope_per100_after100,,,,0
base,sucat,8,own_cot,raw,climb_critic,0.18200117349624634,0.18200117349624634,0.18200117349624634,1
base,sucat,8,own_cot,minus_null,early,0.3826632797718048,0.365802526473999,0.3995240330696106,2
base,sucat,8,own_cot,minus_null,plateau,0.5482021570205688,0.5482021570205688,0.5482021570205688,1
base,sucat,8,own_cot,minus_null,late,,,,0
base,sucat,8,own_cot,minus_null,later,,,,0
base,sucat,8,own_cot,minus_null,last20,0.44302916526794434,0.39610952138900757,0.4899488091468811,2
base,sucat,8,own_cot,minus_null,slope_per100_after100,,,,0
base,sucat,8,own_cot,minus_null,rise_past_100,,,,0
base,sucat,8,own_cot,minus_null,rise_past_100_later,,,,0
base,sucat,8,shuffled,raw,early,0.010241242125630379,0.008637524209916592,0.01184496097266674,2
base,sucat,8,shuffled,raw,plateau,0.10670528560876846,0.10670528560876846,0.10670528560876846,1
base,sucat,8,shuffled,raw,late,,,,0
base,sucat,8,shuffled,raw,later,,,,0
base,sucat,8,shuffled,raw,last20,0.27118778228759766,0.16377553343772888,0.37860003113746643,2
base,sucat,8,shuffled,raw,slope_per100_after100,,,,0
base,sucat,8,shuffled,raw,climb_critic,0.0980677604675293,0.0980677604675293,0.0980677604675293,1
base,sucat,8,shuffled,minus_null,early,0.008594299666583538,0.008164187893271446,0.00902441143989563,2
base,sucat,8,shuffled,minus_null,plateau,0.1066303700208664,0.1066303700208664,0.1066303700208664,1
base,sucat,8,shuffled,minus_null,late,,,,0
base,sucat,8,shuffled,minus_null,later,,,,0
base,sucat,8,shuffled,minus_null,last20,0.26686760783195496,0.16372372210025787,0.37001150846481323,2
base,sucat,8,shuffled,minus_null,slope_per100_after100,,,,0
base,sucat,8,shuffled,minus_null,rise_past_100,,,,0
base,sucat,8,shuffled,minus_null,rise_past_100_later,,,,0
base,sucat,8,reversed,raw,early,0.04982777684926987,0.02041149139404297,0.07924406230449677,2
base,sucat,8,reversed,raw,plateau,0.3610776662826538,0.3610776662826538,0.3610776662826538,1
base,sucat,8,reversed,raw,late,,,,0
base,sucat,8,reversed,raw,later,,,,0
base,sucat,8,reversed,raw,last20,0.726264238357544,0.6424295902252197,0.8100988268852234,2
base,sucat,8,reversed,raw,slope_per100_after100,,,,0
base,sucat,8,reversed,raw,climb_critic,0.34066617488861084,0.34066617488861084,0.34066617488861084,1
base,sucat,8,reversed,minus_null,early,0.04818083718419075,0.019938156008720398,0.0764235183596611,2
base,sucat,8,reversed,minus_null,plateau,0.36100274324417114,0.36100274324417114,0.36100274324417114,1
base,sucat,8,reversed,minus_null,late,,,,0
base,sucat,8,reversed,minus_null,later,,,,0
base,sucat,8,reversed,minus_null,last20,0.7219440937042236,0.6423778533935547,0.8015103340148926,2
base,sucat,8,reversed,minus_null,slope_per100_after100,,,,0
base,sucat,8,reversed,minus_null,rise_past_100,,,,0
base,sucat,8,reversed,minus_null,rise_past_100_later,,,,0
base,sucat,8,neutral,raw,early,0.0016469428082928061,0.00047333649126812816,0.0028205490671098232,2
base,sucat,8,neutral,raw,plateau,7.490487769246101e-05,7.490487769246101e-05,7.490487769246101e-05,1
base,sucat,8,neutral,raw,late,,,,0
base,sucat,8,neutral,raw,later,,,,0
base,sucat,8,neutral,raw,last20,0.004320181906223297,5.18179549544584e-05,0.008588545955717564,2
base,sucat,8,neutral,raw,slope_per100_after100,,,,0
base,sucat,8,neutral,raw,climb_critic,-0.00039843161357566714,-0.00039843161357566714,-0.00039843161357566714,1
base,sucat,8,shifted,raw,early,0.6047115325927734,0.5569373369216919,0.652485728263855,2
base,sucat,8,shifted,raw,plateau,0.39148569107055664,0.39148569107055664,0.39148569107055664,1
base,sucat,8,shifted,raw,late,,,,0
base,sucat,8,shifted,raw,later,,,,0
base,sucat,8,shifted,raw,last20,0.37071239948272705,0.21398310363292694,0.527441680431366,2
base,sucat,8,shifted,raw,slope_per100_after100,,,,0
base,sucat,8,shifted,raw,climb_critic,-0.26100003719329834,-0.26100003719329834,-0.26100003719329834,1
base,sucat,8,shifted,minus_null,early,0.6030646562576294,0.5541167855262756,0.6520124673843384,2
base,sucat,8,shifted,minus_null,plateau,0.3914107382297516,0.3914107382297516,0.3914107382297516,1
base,sucat,8,shifted,minus_null,late,,,,0
base,sucat,8,shifted,minus_null,later,,,,0
base,sucat,8,shifted,minus_null,last20,0.36639222502708435,0.21393127739429474,0.5188531875610352,2
base,sucat,8,shifted,minus_null,slope_per100_after100,,,,0
base,sucat,8,shifted,minus_null,rise_past_100,,,,0
base,sucat,8,shifted,minus_null,rise_past_100_later,,,,0
base,sucat,8,genuine,raw,early,0.8583462238311768,0.7650598287582397,0.9516326189041138,2
base,sucat,8,genuine,raw,plateau,0.6799617409706116,0.6799617409706116,0.6799617409706116,1
base,sucat,8,genuine,raw,late,,,,0
base,sucat,8,genuine,raw,later,,,,0
base,sucat,8,genuine,raw,last20,0.5575293302536011,0.525005578994751,0.590053141117096,2
base,sucat,8,genuine,raw,slope_per100_after100,,,,0
base,sucat,8,genuine,raw,climb_critic,-0.08509808778762817,-0.08509808778762817,-0.08509808778762817,1
base,sucat,8,genuine,minus_null,early,0.8566992878913879,0.7645865678787231,0.9488120079040527,2
base,sucat,8,genuine,minus_null,plateau,0.6798868179321289,0.6798868179321289,0.6798868179321289,1
base,sucat,8,genuine,minus_null,late,,,,0
base,sucat,8,genuine,minus_null,later,,,,0
base,sucat,8,genuine,minus_null,last20,0.5532092452049255,0.5164170861244202,0.5900014042854309,2
base,sucat,8,genuine,minus_null,slope_per100_after100,,,,0
base,sucat,8,genuine,minus_null,rise_past_100,,,,0
base,sucat,8,genuine,minus_null,rise_past_100_later,,,,0
base,sucat,12,own_cot,raw,early,0.3537598252296448,0.33291056752204895,0.3746090829372406,2
base,sucat,12,own_cot,raw,plateau,0.14526280760765076,0.14526280760765076,0.14526280760765076,1
base,sucat,12,own_cot,raw,late,,,,0
base,sucat,12,own_cot,raw,later,,,,0
base,sucat,12,own_cot,raw,last20,0.1574379950761795,0.07514593750238419,0.23973004519939423,2
base,sucat,12,own_cot,raw,slope_per100_after100,,,,0
base,sucat,12,own_cot,raw,climb_critic,-0.1876477599143982,-0.1876477599143982,-0.1876477599143982,1
base,sucat,12,own_cot,minus_null,early,0.33748847246170044,0.3265296220779419,0.34844735264778137,2
base,sucat,12,own_cot,minus_null,plateau,0.13985534012317657,0.13985534012317657,0.13985534012317657,1
base,sucat,12,own_cot,minus_null,late,,,,0
base,sucat,12,own_cot,minus_null,later,,,,0
base,sucat,12,own_cot,minus_null,last20,0.1121382936835289,0.06493981182575226,0.15933677554130554,2
base,sucat,12,own_cot,minus_null,slope_per100_after100,,,,0
base,sucat,12,own_cot,minus_null,rise_past_100,,,,0
base,sucat,12,own_cot,minus_null,rise_past_100_later,,,,0
base,sucat,12,shuffled,raw,early,0.051568590104579926,0.021899882704019547,0.0812373012304306,2
base,sucat,12,shuffled,raw,plateau,0.1823255568742752,0.1823255568742752,0.1823255568742752,1
base,sucat,12,shuffled,raw,late,,,,0
base,sucat,12,shuffled,raw,later,,,,0
base,sucat,12,shuffled,raw,last20,0.3613048195838928,0.20662465691566467,0.5159849524497986,2
base,sucat,12,shuffled,raw,slope_per100_after100,,,,0
base,sucat,12,shuffled,raw,climb_critic,0.16042567789554596,0.16042567789554596,0.16042567789554596,1
base,sucat,12,shuffled,minus_null,early,0.03529722988605499,0.015518908388912678,0.055075548589229584,2
base,sucat,12,shuffled,minus_null,plateau,0.17691810429096222,0.17691810429096222,0.17691810429096222,1
base,sucat,12,shuffled,minus_null,late,,,,0
base,sucat,12,shuffled,minus_null,later,,,,0
base,sucat,12,shuffled,minus_null,last20,0.3160051107406616,0.19641849398612976,0.4355916976928711,2
base,sucat,12,shuffled,minus_null,slope_per100_after100,,,,0
base,sucat,12,shuffled,minus_null,rise_past_100,,,,0
base,sucat,12,shuffled,minus_null,rise_past_100_later,,,,0
base,sucat,12,reversed,raw,early,0.06125310808420181,0.013910475187003613,0.10859574377536774,2
base,sucat,12,reversed,raw,plateau,0.3054163157939911,0.3054163157939911,0.3054163157939911,1
base,sucat,12,reversed,raw,late,,,,0
base,sucat,12,reversed,raw,later,,,,0
base,sucat,12,reversed,raw,last20,0.5203524827957153,0.37865978479385376,0.6620451807975769,2
base,sucat,12,reversed,raw,slope_per100_after100,,,,0
base,sucat,12,reversed,raw,climb_critic,0.2915058434009552,0.2915058434009552,0.2915058434009552,1
base,sucat,12,reversed,minus_null,early,0.04498174414038658,0.007529502268880606,0.08243398368358612,2
base,sucat,12,reversed,minus_null,plateau,0.3000088334083557,0.3000088334083557,0.3000088334083557,1
base,sucat,12,reversed,minus_null,late,,,,0
base,sucat,12,reversed,minus_null,later,,,,0
base,sucat,12,reversed,minus_null,last20,0.47505277395248413,0.3684536814689636,0.5816518664360046,2
base,sucat,12,reversed,minus_null,slope_per100_after100,,,,0
base,sucat,12,reversed,minus_null,rise_past_100,,,,0
base,sucat,12,reversed,minus_null,rise_past_100_later,,,,0
base,sucat,12,neutral,raw,early,0.016271360218524933,0.006380972918123007,0.02616174891591072,2
base,sucat,12,neutral,raw,plateau,0.0054074665531516075,0.0054074665531516075,0.0054074665531516075,1
base,sucat,12,neutral,raw,late,,,,0
base,sucat,12,neutral,raw,later,,,,0
base,sucat,12,neutral,raw,last20,0.0452997162938118,0.010206138715147972,0.08039329200983047,2
base,sucat,12,neutral,raw,slope_per100_after100,,,,0
base,sucat,12,neutral,raw,climb_critic,-0.0009735063649713993,-0.0009735063649713993,-0.0009735063649713993,1
base,sucat,12,shifted,raw,early,0.458221971988678,0.35449478030204773,0.5619491338729858,2
base,sucat,12,shifted,raw,plateau,0.14364784955978394,0.14364784955978394,0.14364784955978394,1
base,sucat,12,shifted,raw,late,,,,0
base,sucat,12,shifted,raw,later,,,,0
base,sucat,12,shifted,raw,last20,0.18360635638237,0.0669211894273758,0.3002915382385254,2
base,sucat,12,shifted,raw,slope_per100_after100,,,,0
base,sucat,12,shifted,raw,climb_critic,-0.4183012843132019,-0.4183012843132019,-0.4183012843132019,1
base,sucat,12,shifted,minus_null,early,0.44195061922073364,0.3283330798149109,0.5555681586265564,2
base,sucat,12,shifted,minus_null,plateau,0.13824036717414856,0.13824036717414856,0.13824036717414856,1
base,sucat,12,shifted,minus_null,late,,,,0
base,sucat,12,shifted,minus_null,later,,,,0
base,sucat,12,shifted,minus_null,last20,0.1383066624403,0.05671505257487297,0.2198982685804367,2
base,sucat,12,shifted,minus_null,slope_per100_after100,,,,0
base,sucat,12,shifted,minus_null,rise_past_100,,,,0
base,sucat,12,shifted,minus_null,rise_past_100_later,,,,0
base,sucat,12,genuine,raw,early,0.6247486472129822,0.6070183515548706,0.6424789428710938,2
base,sucat,12,genuine,raw,plateau,0.09516754001379013,0.09516754001379013,0.09516754001379013,1
base,sucat,12,genuine,raw,late,,,,0
base,sucat,12,genuine,raw,later,,,,0
base,sucat,12,genuine,raw,last20,0.08351019024848938,0.03317590057849884,0.13384447991847992,2
base,sucat,12,genuine,raw,slope_per100_after100,,,,0
base,sucat,12,genuine,raw,climb_critic,-0.5118508338928223,-0.5118508338928223,-0.5118508338928223,1
base,sucat,12,genuine,minus_null,early,0.6084772348403931,0.6006373167037964,0.6163172125816345,2
base,sucat,12,genuine,minus_null,plateau,0.08976007252931595,0.08976007252931595,0.08976007252931595,1
base,sucat,12,genuine,minus_null,late,,,,0
base,sucat,12,genuine,minus_null,later,,,,0
base,sucat,12,genuine,minus_null,last20,0.03821047767996788,0.022969761863350868,0.05345119163393974,2
base,sucat,12,genuine,minus_null,slope_per100_after100,,,,0
base,sucat,12,genuine,minus_null,rise_past_100,,,,0
base,sucat,12,genuine,minus_null,rise_past_100_later,,,,0
prompt,suca,8,own_cot,raw,early,0.38673949241638184,0.36667150259017944,0.40680748224258423,2
prompt,suca,8,own_cot,raw,plateau,0.4837547242641449,0.4837547242641449,0.4837547242641449,1
prompt,suca,8,own_cot,raw,late,,,,0
prompt,suca,8,own_cot,raw,later,,,,0
prompt,suca,8,own_cot,raw,last20,0.3867169916629791,0.3264061510562897,0.4470278322696686,2
prompt,suca,8,own_cot,raw,slope_per100_after100,,,,0
prompt,suca,8,own_cot,raw,climb_critic,0.07694724202156067,0.07694724202156067,0.07694724202156067,1
prompt,suca,8,own_cot,minus_null,early,0.383800208568573,0.3630853295326233,0.4045150876045227,2
prompt,suca,8,own_cot,minus_null,plateau,0.48326826095581055,0.48326826095581055,0.48326826095581055,1
prompt,suca,8,own_cot,minus_null,late,,,,0
prompt,suca,8,own_cot,minus_null,later,,,,0
prompt,suca,8,own_cot,minus_null,last20,0.3827507495880127,0.32597723603248596,0.43952426314353943,2
prompt,suca,8,own_cot,minus_null,slope_per100_after100,,,,0
prompt,suca,8,own_cot,minus_null,rise_past_100,,,,0
prompt,suca,8,own_cot,minus_null,rise_past_100_later,,,,0
prompt,suca,8,shuffled,raw,early,0.006734609138220549,0.0046302760019898415,0.008838942274451256,2
prompt,suca,8,shuffled,raw,plateau,0.03963986039161682,0.03963986039161682,0.03963986039161682,1
prompt,suca,8,shuffled,raw,late,,,,0
prompt,suca,8,shuffled,raw,later,,,,0
prompt,suca,8,shuffled,raw,last20,0.08610888570547104,0.05635542795062065,0.11586234718561172,2
prompt,suca,8,shuffled,raw,slope_per100_after100,,,,0
prompt,suca,8,shuffled,raw,climb_critic,0.030800918117165565,0.030800918117165565,0.030800918117165565,1
prompt,suca,8,shuffled,minus_null,early,0.003795310389250517,0.001044082222506404,0.006546538323163986,2
prompt,suca,8,shuffled,minus_null,plateau,0.03915335610508919,0.03915335610508919,0.03915335610508919,1
prompt,suca,8,shuffled,minus_null,late,,,,0
prompt,suca,8,shuffled,minus_null,later,,,,0
prompt,suca,8,shuffled,minus_null,last20,0.08214264363050461,0.055926501750946045,0.10835878551006317,2
prompt,suca,8,shuffled,minus_null,slope_per100_after100,,,,0
prompt,suca,8,shuffled,minus_null,rise_past_100,,,,0
prompt,suca,8,shuffled,minus_null,rise_past_100_later,,,,0
prompt,suca,8,reversed,raw,early,0.0441371351480484,0.011917026713490486,0.07635724544525146,2
prompt,suca,8,reversed,raw,plateau,0.28692200779914856,0.28692200779914856,0.28692200779914856,1
prompt,suca,8,reversed,raw,late,,,,0
prompt,suca,8,reversed,raw,later,,,,0
prompt,suca,8,reversed,raw,last20,0.6261655688285828,0.5385055541992188,0.7138255834579468,2
prompt,suca,8,reversed,raw,slope_per100_after100,,,,0
prompt,suca,8,reversed,raw,climb_critic,0.2750049829483032,0.2750049829483032,0.2750049829483032,1
prompt,suca,8,reversed,minus_null,early,0.04119783639907837,0.009624621830880642,0.07277105003595352,2
prompt,suca,8,reversed,minus_null,plateau,0.2864355146884918,0.2864355146884918,0.2864355146884918,1
prompt,suca,8,reversed,minus_null,late,,,,0
prompt,suca,8,reversed,minus_null,later,,,,0
prompt,suca,8,reversed,minus_null,last20,0.6221993565559387,0.538076639175415,0.7063220739364624,2
prompt,suca,8,reversed,minus_null,slope_per100_after100,,,,0
prompt,suca,8,reversed,minus_null,rise_past_100,,,,0
prompt,suca,8,reversed,minus_null,rise_past_100_later,,,,0
prompt,suca,8,neutral,raw,early,0.0029392989818006754,0.002292404416948557,0.003586193546652794,2
prompt,suca,8,neutral,raw,plateau,0.0004865011142101139,0.0004865011142101139,0.0004865011142101139,1
prompt,suca,8,neutral,raw,late,,,,0
prompt,suca,8,neutral,raw,later,,,,0
