layer_ix,role,count,correct,recall,split
23,tool,16909,9325,0.5514814595777396,prompt
23,user,12846,12164,0.9469095438268722,prompt
0,assistant,11337,1780,0.157008026814854,base
0,cot,11337,2599,0.22924936050101438,base
0,system,11337,3298,0.29090588339066775,base
0,tool,11337,3589,0.31657404957219726,base
0,user,11337,3552,0.31331039957660756,base
1,assistant,11337,4143,0.3654405927494046,base
1,cot,11337,3696,0.326012172532416,base
1,system,11337,4372,0.3856399400194055,base
1,tool,11337,6230,0.5495280938519891,base
1,user,11337,4581,0.4040751521566552,base
2,assistant,11337,4426,0.39040310487783364,base
2,cot,11337,4304,0.37964188056805154,base
2,system,11337,4317,0.3807885684043398,base
2,tool,11337,5339,0.4709358736879245,base
2,user,11337,5269,0.4647614007232954,base
3,assistant,11337,4917,0.43371262238687486,base
3,cot,11337,5024,0.4431507453470936,base
3,system,11337,4931,0.43494751697980066,base
3,tool,11337,5788,0.5105407074181882,base
3,user,11337,7073,0.6238863896974508,base
4,assistant,11337,4249,0.3747905089529858,base
4,cot,11337,4559,0.4021346035106289,base
4,system,11337,4768,0.42056981564787865,base
4,tool,11337,4951,0.4367116521125518,base
4,user,11337,6893,0.6080091735026903,base
5,assistant,11337,5593,0.49334038987386436,base
5,cot,11337,4862,0.42886125077180914,base
5,system,11337,5075,0.44764928993560904,base
5,tool,11337,5747,0.5069242303960484,base
5,user,11337,7690,0.6783099585428244,base
6,assistant,11337,7680,0.6774278909764488,base
6,cot,11337,5254,0.46343829937373204,base
6,system,11337,5602,0.49413425068360234,base
6,tool,11337,5663,0.49951486283849345,base
6,user,11337,8254,0.7280585692864073,base
7,assistant,11337,9611,0.8477551380435742,base
7,cot,11337,7373,0.6503484166887183,base
7,system,11337,7666,0.6761929963835229,base
7,tool,11337,8512,0.7508159124988975,base
7,user,11337,8997,0.7935961894681133,base
8,assistant,11337,9541,0.841580665078945,base
8,cot,11337,7398,0.6525535856046574,base
8,system,11337,6903,0.6088912410690659,base
8,tool,11337,8378,0.7389962071094646,base
8,user,11337,8518,0.7513451530387227,base
9,assistant,11337,9335,0.823410073211608,base
9,cot,11337,6898,0.6084502072858781,base
9,system,11337,6945,0.6125959248478433,base
9,tool,11337,8058,0.7107700449854459,base
9,user,11337,8288,0.7310575990120843,base
10,assistant,11337,9103,0.8029461056716944,base
10,cot,11337,6459,0.5697274411219899,base
10,system,11337,6425,0.5667284113963129,base
10,tool,11337,7707,0.6798094734056629,base
10,user,11337,8247,0.7274411219899445,base
11,assistant,11337,9200,0.8115021610655376,base
11,cot,11337,6548,0.5775778424627327,base
11,system,11337,6777,0.5977771897327335,base
11,tool,11337,7697,0.6789274058392872,base
11,user,11337,8511,0.7507277057422599,base
12,assistant,11337,8883,0.7835406192114316,base
12,cot,11337,6267,0.5527917438475787,base
12,system,11337,6391,0.563729381670636,base
12,tool,11337,7252,0.6396753991355738,base
12,user,11337,8297,0.7318514598218223,base
13,assistant,11337,8874,0.7827467584016936,base
13,cot,11337,6090,0.5371791479227309,base
13,system,11337,6545,0.57731322219282,base
13,tool,11337,7259,0.6402928464320367,base
13,user,11337,8419,0.7426126841316045,base
14,assistant,11337,9862,0.8698950339596013,base
14,cot,11337,6585,0.5808414924583223,base
14,system,11337,7326,0.6462026991267531,base
14,tool,11337,7450,0.6571403369498103,base
14,user,11337,8992,0.7931551556849255,base
15,assistant,11337,10538,0.9295228014465908,base
15,cot,11337,7599,0.6702831436888066,base
15,system,11337,8779,0.7743671165211256,base
15,tool,11337,8989,0.7928905354150128,base
15,user,11337,10091,0.8900943812296022,base
16,assistant,11337,10617,0.936491135220958,base
16,cot,11337,7300,0.6439093234541766,base
16,system,11337,8766,0.7732204286848373,base
16,tool,11337,8284,0.7307047719855341,base
16,user,11337,10301,0.9086178001234895,base
17,assistant,11337,10506,0.926700185234189,base
17,cot,11337,7211,0.6360589221134338,base
17,system,11337,8654,0.7633412719414308,base
17,tool,11337,8271,0.7295580841492458,base
17,user,11337,10334,0.9115286230925289,base
18,assistant,11337,10384,0.9159389609244069,base
18,cot,11337,7118,0.6278556937461409,base
18,system,11337,8375,0.7387315868395519,base
18,tool,11337,8208,0.7240010584810797,base
18,user,11337,10425,0.9195554379465467,base
19,assistant,11337,10291,0.9077357325571139,base
19,cot,11337,6725,0.5931904383875805,base
19,system,11337,8151,0.7189732733527389,base
19,tool,11337,7702,0.6793684396224751,base
19,user,11337,10319,0.9102055217429655,base
20,assistant,11337,9933,0.8761577136808679,base
20,cot,11337,6514,0.5745788127370557,base
20,system,11337,7656,0.6753109288171474,base
20,tool,11337,7297,0.6436447031842639,base
20,user,11337,10198,0.8995325041898209,base
21,assistant,11337,10019,0.883743494751698,base
21,cot,11337,6835,0.6028931816177119,base
21,system,11337,7722,0.6811325747552263,base
21,tool,11337,8029,0.7082120490429566,base
21,user,11337,10018,0.8836552879950604,base
22,assistant,11337,9926,0.8755402663844051,base
22,cot,11337,6650,0.5865749316397636,base
22,system,11337,7430,0.6553762018170591,base
22,tool,11337,7765,0.6849254652906412,base
22,user,11337,9981,0.8803916379994707,base
23,assistant,11337,10396,0.9169974420040575,base
23,cot,11337,7607,0.670988797741907,base
23,system,11337,8263,0.7288524300961453,base
23,tool,11337,8492,0.7490517773661463,base
23,user,11337,10548,0.9304048690129664,base
