layer_ix,true_role,predicted_role,count,row_fraction
16,system,cot,514,0.0443562305833621
16,system,assistant,67,0.005781843286158095
16,user,system,539,0.04208307307932542
16,user,user,12061,0.9416770768269831
16,user,cot,201,0.015693316677076827
16,user,assistant,7,0.0005465334166146158
16,cot,system,842,0.05623080005342594
16,cot,user,89,0.005943635635100842
16,cot,cot,11954,0.7983170829437692
16,cot,assistant,2089,0.13950848136770402
16,assistant,system,35,0.0022922260789835615
16,assistant,user,1,6.549217368524462e-05
16,assistant,cot,812,0.05317964503241863
16,assistant,assistant,14421,0.9444626367149126
18,system,system,9520,0.8215395236451501
18,system,user,1334,0.11511908871246117
18,system,cot,576,0.04970659302726959
18,system,assistant,158,0.013634794615119088
18,user,system,671,0.052389131792629606
18,user,user,11919,0.9305902560899438
18,user,cot,213,0.016630231105559026
18,user,assistant,5,0.00039038101186758274
18,cot,system,1080,0.07212501669560571
18,cot,user,98,0.006544677440897556
18,cot,cot,11174,0.746226793108054
18,cot,assistant,2622,0.17510351275544278
18,assistant,system,53,0.0034710852053179645
18,assistant,user,1,6.549217368524462e-05
18,assistant,cot,1078,0.07060056323269369
18,assistant,assistant,14137,0.9258628593883031
20,system,system,8912,0.7690714532274767
20,system,user,1553,0.13401794960303762
20,system,cot,870,0.07507766655160511
20,system,assistant,253,0.021832930617880567
20,user,system,568,0.0443472829481574
20,user,user,11988,0.9359775140537164
20,user,cot,244,0.019050593379138038
20,user,assistant,8,0.0006246096189881324
20,cot,system,1783,0.11907305997061574
20,cot,user,212,0.014157873647655937
20,cot,cot,10199,0.6811139308134099
20,cot,assistant,2780,0.18565513556831842
20,assistant,system,139,0.009103412142249
20,assistant,user,6,0.00039295304211146766
20,assistant,cot,1137,0.07446460148012313
20,assistant,assistant,13987,0.9160390333355164
22,system,system,8960,0.7732136693130826
22,system,user,1548,0.13358646876078703
22,system,cot,800,0.06903693476009665
22,system,assistant,280,0.02416292716603383
22,user,system,481,0.03755465334166146
22,user,user,12120,0.9462835727670206
22,user,cot,187,0.014600249843847595
22,user,assistant,20,0.001561524047470331
22,cot,system,1793,0.11974088419927875
22,cot,user,360,0.024041672231868573
22,cot,cot,10348,0.6910645118204889
22,cot,assistant,2473,0.16515293174836382
22,assistant,system,218,0.014277293863383325
22,assistant,user,7,0.0004584452157967123
22,assistant,cot,1205,0.07891806929071976
22,assistant,assistant,13839,0.9063461916301002
