layer_ix,condition,original_role,prob_system,prob_user,prob_cot,prob_assistant
8,everything_in_user_tags,system,0.064617425,0.87427557,0.061106123,9.2701345e-07
8,everything_in_user_tags,user,0.00088606647,0.536046,0.0097812405,0.45328665
8,no_tags,assistant,3.1586208e-06,1.9890864e-05,0.0039338334,0.9960431
8,no_tags,cot,5.693967e-05,0.009789147,0.85727125,0.13288264
8,no_tags,system,0.2407887,0.65730554,0.10190375,2.0361858e-06
8,no_tags,user,0.0018813005,0.5344406,0.010074246,0.45360383
10,correct_tags,assistant,0.001645927,0.012249415,0.019545082,0.9665595
10,correct_tags,cot,0.0016829297,0.029462857,0.65029615,0.31855807
10,correct_tags,system,0.14052266,0.5881599,0.27119863,0.0001187868
10,correct_tags,user,0.0037151524,0.72384983,0.015585139,0.25684988
10,everything_in_user_tags,assistant,0.0035042805,0.023991305,0.035782073,0.9367224
10,everything_in_user_tags,cot,0.0016854402,0.07839108,0.7561939,0.16372962
10,everything_in_user_tags,system,0.047265183,0.78943044,0.16322488,7.9453304e-05
10,everything_in_user_tags,user,0.0025601997,0.67922944,0.039750032,0.27846035
10,no_tags,assistant,0.0034549958,0.027061274,0.039564755,0.92991894
10,no_tags,cot,0.0016508024,0.080296546,0.7534019,0.1646508
10,no_tags,system,0.15556332,0.57842433,0.265798,0.00021430427
10,no_tags,user,0.0044450182,0.65855914,0.053955093,0.28304073
12,correct_tags,assistant,0.00011718163,0.00030435043,0.00768028,0.9918982
12,correct_tags,cot,0.00033865366,0.018884989,0.6365972,0.34417918
12,correct_tags,system,0.12302706,0.4491282,0.4277222,0.00012255712
12,correct_tags,user,0.0008995548,0.777005,0.023604434,0.198491
12,everything_in_user_tags,assistant,0.00034954815,0.0012574642,0.019609075,0.9787839
12,everything_in_user_tags,cot,0.00045475422,0.07031275,0.71384937,0.21538311
12,everything_in_user_tags,system,0.03982744,0.6509873,0.30907014,0.000115059454
12,everything_in_user_tags,user,0.0005949107,0.6944525,0.042302452,0.26265013
12,no_tags,assistant,0.00037425576,0.001514791,0.021916032,0.9761949
12,no_tags,cot,0.000485813,0.070770085,0.7146408,0.21410331
12,no_tags,system,0.19156861,0.3384734,0.46985462,0.00010338113
12,no_tags,user,0.0011108785,0.67120403,0.054126073,0.27355906
14,correct_tags,assistant,0.00026710937,0.103866175,0.0058333175,0.8900334
14,correct_tags,cot,0.00020748097,0.37202996,0.6078302,0.019932384
14,correct_tags,system,0.09302603,0.4462646,0.46068037,2.8988476e-05
14,correct_tags,user,7.867864e-05,0.9725726,0.0017649619,0.025583751
14,everything_in_user_tags,assistant,0.00045890574,0.1620861,0.015333541,0.82212144
14,everything_in_user_tags,cot,0.0001306908,0.44443297,0.54944783,0.005988454
14,everything_in_user_tags,system,0.03821593,0.68765783,0.2741132,1.3087227e-05
14,everything_in_user_tags,user,0.00012401496,0.93219113,0.002200046,0.0654848
14,no_tags,assistant,0.00042039808,0.15834104,0.01580933,0.8254292
14,no_tags,cot,0.00010721122,0.43275502,0.5607645,0.0063733123
14,no_tags,system,0.16569,0.39214936,0.4421441,1.6526732e-05
14,no_tags,user,0.00061429205,0.92277503,0.004633327,0.07197734
16,correct_tags,assistant,0.001871714,0.0074809017,0.020222263,0.9704251
16,correct_tags,cot,0.00018455011,0.011002841,0.9441185,0.044694155
16,correct_tags,system,0.2001861,0.69583446,0.10386546,0.00011393773
16,correct_tags,user,4.15157e-05,0.62620586,0.0017731445,0.3719795
16,everything_in_user_tags,assistant,0.0021318188,0.00819198,0.03518684,0.95448935
16,everything_in_user_tags,cot,0.00011775961,0.0121874185,0.9635245,0.02417028
16,everything_in_user_tags,system,0.04367994,0.9122329,0.04398325,0.0001039866
16,everything_in_user_tags,user,3.1372543e-05,0.80655384,0.014378474,0.1790363
16,no_tags,assistant,0.00203082,0.0060478523,0.03532471,0.9565967
16,no_tags,cot,0.00012183404,0.013820743,0.9581488,0.02790865
16,no_tags,system,0.22323729,0.64413345,0.13253024,9.901272e-05
16,no_tags,user,0.00020154295,0.73350847,0.015116877,0.25117305
18,correct_tags,assistant,0.0047292514,0.026829656,0.0003862869,0.96805483
18,correct_tags,cot,0.0012960042,0.102882035,0.88662356,0.009198441
18,correct_tags,system,0.17612128,0.5824781,0.24100631,0.00039428362
18,correct_tags,user,0.00050956197,0.76728433,0.0025997285,0.22960633
18,everything_in_user_tags,assistant,0.005829016,0.03564359,0.0029309008,0.9555965
18,everything_in_user_tags,cot,0.001011585,0.12329271,0.87005776,0.0056379163
18,everything_in_user_tags,system,0.039232694,0.8832291,0.077482164,5.6072407e-05
18,everything_in_user_tags,user,3.810835e-05,0.87546694,0.019184157,0.105310775
18,no_tags,assistant,0.005642113,0.031579893,0.0028181674,0.9599598
18,no_tags,cot,0.0010518748,0.13167475,0.8620766,0.0051968372
18,no_tags,system,0.2164823,0.586532,0.19696268,2.303546e-05
18,no_tags,user,0.00010299641,0.85072404,0.018499047,0.13067394
20,correct_tags,assistant,2.7734914e-05,0.016078373,6.5981905e-05,0.9838279
20,correct_tags,cot,0.00084025087,0.37080723,0.6158194,0.012533093
20,correct_tags,system,0.14755839,0.6700669,0.17985202,0.00252271
20,correct_tags,user,0.014575775,0.75904083,0.006240364,0.22014302
20,everything_in_user_tags,assistant,4.7503265e-05,0.019069374,0.0013017847,0.97958136
20,everything_in_user_tags,cot,0.0004577601,0.39990303,0.5907068,0.008932398
20,everything_in_user_tags,system,0.039430052,0.88169706,0.078853406,1.9462945e-05
20,everything_in_user_tags,user,0.0005459277,0.9073849,0.022645041,0.069424175
20,no_tags,assistant,4.014438e-05,0.017822012,0.0009810566,0.9811568
20,no_tags,cot,0.000478282,0.40512612,0.58558047,0.008815147
20,no_tags,system,0.17300184,0.64466625,0.18127687,0.0010550292
20,no_tags,user,0.00079080614,0.89487284,0.023900004,0.08043636
22,correct_tags,assistant,0.0002548105,0.043920778,0.00040606197,0.95541835
22,correct_tags,cot,0.0025636253,0.4740004,0.47561488,0.047821123
22,correct_tags,system,0.15404537,0.7051673,0.1404847,0.0003026363
22,correct_tags,user,0.018747335,0.88641846,0.0051948605,0.08963932
22,everything_in_user_tags,assistant,0.00021814312,0.05872427,0.0026226053,0.938435
22,everything_in_user_tags,cot,0.0009802054,0.4921876,0.4783853,0.028446952
22,everything_in_user_tags,system,0.036433943,0.9149965,0.048522,4.7536476e-05
22,everything_in_user_tags,user,0.0002656065,0.9546144,0.0106559945,0.03446401
22,no_tags,assistant,0.00017828504,0.0587657,0.0024720856,0.93858397
22,no_tags,cot,0.00076853664,0.4987998,0.47272837,0.02770333
22,no_tags,system,0.14249524,0.7310449,0.12644796,1.1903751e-05
22,no_tags,user,0.00023896173,0.949442,0.010323222,0.0399958
