sample_ix,target_role,prob,prob_unrounded,prompt_ix,prompt_key,base_message_ix,base_message_type,token_in_prompt_ix,token,token_ix,layer_ix,role_space,seg_ix,token_in_seg_ix,original_token_in_prompt_ix
48,assistant,7.454e-05,7.454093e-05,0,basic_no_format,0.0,system,48, final,1179,12,suca,1,48,48
49,assistant,0.00015042,0.00015042209,0,basic_no_format,0.0,system,49,.,1180,12,suca,1,49,49
50,assistant,0.00079794,0.00079794397,0,basic_no_format,0.0,system,50, Channel,1181,12,suca,1,50,50
51,assistant,4.43e-05,4.430404e-05,0,basic_no_format,0.0,system,51, must,1182,12,suca,1,51,51
52,assistant,2e-08,1.7247187e-08,0,basic_no_format,0.0,system,52, be,1183,12,suca,1,52,52
53,assistant,0.00182797,0.0018279722,0,basic_no_format,0.0,system,53, included,1184,12,suca,1,53,53
54,assistant,4.452e-05,4.4524495e-05,0,basic_no_format,0.0,system,54, for,1185,12,suca,1,54,54
55,assistant,7.29e-06,7.2865046e-06,0,basic_no_format,0.0,system,55, every,1186,12,suca,1,55,55
56,assistant,6.025e-05,6.0246148e-05,0,basic_no_format,0.0,system,56, message,1187,12,suca,1,56,56
57,assistant,5.766e-05,5.7660065e-05,0,basic_no_format,0.0,system,57,".
",1188,12,suca,1,57,57
58,assistant,1.014e-05,1.0138674e-05,0,basic_no_format,1.0,user,58,Hi,1189,12,suca,2,1,58
59,assistant,2e-08,2.2514426e-08,0,basic_no_format,1.0,user,59,!,1190,12,suca,2,2,59
60,assistant,6.22e-06,6.2152844e-06,0,basic_no_format,1.0,user,60, I'm,1191,12,suca,2,3,60
61,assistant,3.9e-06,3.8973976e-06,0,basic_no_format,1.0,user,61, learning,1192,12,suca,2,4,61
62,assistant,1.7e-07,1.6903483e-07,0,basic_no_format,1.0,user,62, how,1193,12,suca,2,5,62
63,assistant,4.72e-06,4.716292e-06,0,basic_no_format,1.0,user,63, to,1194,12,suca,2,6,63
64,assistant,5.8e-07,5.797605e-07,0,basic_no_format,1.0,user,64, garden,1195,12,suca,2,7,64
65,assistant,0.0,3.1864082e-09,0,basic_no_format,1.0,user,65, and,1196,12,suca,2,8,65
66,assistant,3.6e-07,3.5543366e-07,0,basic_no_format,1.0,user,66, grow,1197,12,suca,2,9,66
67,assistant,2.36e-06,2.3601588e-06,0,basic_no_format,1.0,user,67, plants,1198,12,suca,2,10,67
68,assistant,0.0,6.7019607e-10,0,basic_no_format,1.0,user,68,.,1199,12,suca,2,11,68
69,assistant,2e-08,2.218315e-08,0,basic_no_format,1.0,user,69, In,1200,12,suca,2,12,69
70,assistant,0.0,4.175394e-09,0,basic_no_format,1.0,user,70, a,1201,12,suca,2,13,70
71,assistant,4e-08,4.028034e-08,0,basic_no_format,1.0,user,71, few,1202,12,suca,2,14,71
72,assistant,9.48e-06,9.481612e-06,0,basic_no_format,1.0,user,72, sentences,1203,12,suca,2,15,72
73,assistant,1.69e-06,1.6860388e-06,0,basic_no_format,1.0,user,73,",",1204,12,suca,2,16,73
74,assistant,6.18e-06,6.1771643e-06,0,basic_no_format,1.0,user,74, can,1205,12,suca,2,17,74
75,assistant,3.9e-07,3.932263e-07,0,basic_no_format,1.0,user,75, you,1206,12,suca,2,18,75
76,assistant,7e-08,6.8478045e-08,0,basic_no_format,1.0,user,76, please,1207,12,suca,2,19,76
77,assistant,1e-08,1.38577265e-08,0,basic_no_format,1.0,user,77, tell,1208,12,suca,2,20,77
78,assistant,7.7e-07,7.6913057e-07,0,basic_no_format,1.0,user,78, me,1209,12,suca,2,21,78
79,assistant,9.2e-07,9.2122144e-07,0,basic_no_format,1.0,user,79, how,1210,12,suca,2,22,79
80,assistant,3.11e-06,3.114774e-06,0,basic_no_format,1.0,user,80, to,1211,12,suca,2,23,80
81,assistant,4.25e-06,4.2501956e-06,0,basic_no_format,1.0,user,81, grow,1212,12,suca,2,24,81
82,assistant,1e-08,1.0520117e-08,0,basic_no_format,1.0,user,82, tomatoes,1213,12,suca,2,25,82
83,assistant,3e-08,3.1417304e-08,0,basic_no_format,1.0,user,83,?,1214,12,suca,2,26,83
84,assistant,7.5e-07,7.47962e-07,0,basic_no_format,1.0,user,84, How,1215,12,suca,2,27,84
85,assistant,5.59e-06,5.585126e-06,0,basic_no_format,1.0,user,85, much,1216,12,suca,2,28,85
86,assistant,0.00075012,0.00075012003,0,basic_no_format,1.0,user,86, water,1217,12,suca,2,29,86
87,assistant,2.298e-05,2.2980761e-05,0,basic_no_format,1.0,user,87, and,1218,12,suca,2,30,87
88,assistant,3.445e-05,3.4452456e-05,0,basic_no_format,1.0,user,88, light,1219,12,suca,2,31,88
89,assistant,1.017e-05,1.0169362e-05,0,basic_no_format,1.0,user,89, does,1220,12,suca,2,32,89
90,assistant,4.9e-07,4.8934373e-07,0,basic_no_format,1.0,user,90, it,1221,12,suca,2,33,90
91,assistant,3.36e-06,3.3629858e-06,0,basic_no_format,1.0,user,91, need,1222,12,suca,2,34,91
92,assistant,1.45e-06,1.4547524e-06,0,basic_no_format,1.0,user,92,?,1223,12,suca,2,35,92
93,assistant,2.6e-07,2.610031e-07,0,basic_no_format,1.0,user,93, What,1224,12,suca,2,36,93
94,assistant,2.7e-07,2.672884e-07,0,basic_no_format,1.0,user,94, kind,1225,12,suca,2,37,94
95,assistant,3.1e-07,3.0624804e-07,0,basic_no_format,1.0,user,95, of,1226,12,suca,2,38,95
96,assistant,1e-06,1.0023128e-06,0,basic_no_format,1.0,user,96, fertilizer,1227,12,suca,2,39,96
97,assistant,1.19e-06,1.1850345e-06,0,basic_no_format,1.0,user,97,?,1228,12,suca,2,40,97
98,assistant,1.5e-07,1.503848e-07,0,basic_no_format,1.0,user,98, Any,1229,12,suca,2,41,98
99,assistant,5.65e-06,5.653446e-06,0,basic_no_format,1.0,user,99, other,1230,12,suca,2,42,99
100,assistant,1.27e-06,1.267273e-06,0,basic_no_format,1.0,user,100, important,1231,12,suca,2,43,100
101,assistant,2.77e-06,2.7661345e-06,0,basic_no_format,1.0,user,101, tips,1232,12,suca,2,44,101
102,assistant,0.00044199,0.00044199004,0,basic_no_format,1.0,user,102,"?
",1233,12,suca,2,45,102
103,assistant,1.117e-05,1.1173923e-05,0,basic_no_format,2.0,cot,103,The,1234,12,suca,3,1,103
104,assistant,1.33e-06,1.32943e-06,0,basic_no_format,2.0,cot,104, user,1235,12,suca,3,2,104
105,assistant,3.9e-07,3.8542933e-07,0,basic_no_format,2.0,cot,105, wants,1236,12,suca,3,3,105
106,assistant,9.798e-05,9.798299e-05,0,basic_no_format,2.0,cot,106, a,1237,12,suca,3,4,106
107,assistant,3.274e-05,3.2743203e-05,0,basic_no_format,2.0,cot,107, concise,1238,12,suca,3,5,107
108,assistant,4.47e-06,4.4700796e-06,0,basic_no_format,2.0,cot,108, yet,1239,12,suca,3,6,108
109,assistant,2.568e-05,2.5678306e-05,0,basic_no_format,2.0,cot,109, informative,1240,12,suca,3,7,109
110,assistant,0.0002179,0.00021789681,0,basic_no_format,2.0,cot,110, answer,1241,12,suca,3,8,110
111,assistant,9.24e-06,9.242354e-06,0,basic_no_format,2.0,cot,111,:,1242,12,suca,3,9,111
112,assistant,2.426e-05,2.426009e-05,0,basic_no_format,2.0,cot,112, how,1243,12,suca,3,10,112
113,assistant,0.00011126,0.0001112551,0,basic_no_format,2.0,cot,113, to,1244,12,suca,3,11,113
114,assistant,1.602e-05,1.6024187e-05,0,basic_no_format,2.0,cot,114, grow,1245,12,suca,3,12,114
115,assistant,1.398e-05,1.3977585e-05,0,basic_no_format,2.0,cot,115, tomatoes,1246,12,suca,3,13,115
116,assistant,5.64e-06,5.6365698e-06,0,basic_no_format,2.0,cot,116,",",1247,12,suca,3,14,116
117,assistant,0.02509486,0.025094865,0,basic_no_format,2.0,cot,117, watering,1248,12,suca,3,15,117
118,assistant,9.847e-05,9.8469136e-05,0,basic_no_format,2.0,cot,118,",",1249,12,suca,3,16,118
119,assistant,0.00351813,0.0035181313,0,basic_no_format,2.0,cot,119, light,1250,12,suca,3,17,119
120,assistant,0.00024855,0.00024855102,0,basic_no_format,2.0,cot,120,",",1251,12,suca,3,18,120
121,assistant,0.11453031,0.11453031,0,basic_no_format,2.0,cot,121, fertilizer,1252,12,suca,3,19,121
122,assistant,1.028e-05,1.02819795e-05,0,basic_no_format,2.0,cot,122,",",1253,12,suca,3,20,122
123,assistant,0.0003933,0.00039330192,0,basic_no_format,2.0,cot,123, and,1254,12,suca,3,21,123
124,assistant,0.00240672,0.0024067191,0,basic_no_format,2.0,cot,124, other,1255,12,suca,3,22,124
125,assistant,0.00261699,0.0026169922,0,basic_no_format,2.0,cot,125, tips,1256,12,suca,3,23,125
126,assistant,1.131e-05,1.1311482e-05,0,basic_no_format,2.0,cot,126,.,1257,12,suca,3,24,126
127,assistant,0.0001842,0.00018419758,0,basic_no_format,2.0,cot,127, It's,1258,12,suca,3,25,127
128,assistant,1.38e-06,1.3823632e-06,0,basic_no_format,2.0,cot,128, for,1259,12,suca,3,26,128
129,assistant,2.25e-06,2.253254e-06,0,basic_no_format,2.0,cot,129, a,1260,12,suca,3,27,129
130,assistant,5.091e-05,5.090835e-05,0,basic_no_format,2.0,cot,130, beginner,1261,12,suca,3,28,130
131,assistant,7.5e-06,7.5042476e-06,0,basic_no_format,2.0,cot,131,.,1262,12,suca,3,29,131
132,assistant,3.37e-06,3.372655e-06,0,basic_no_format,2.0,cot,132, Must,1263,12,suca,3,30,132
133,assistant,2.834e-05,2.8344833e-05,0,basic_no_format,2.0,cot,133, keep,1264,12,suca,3,31,133
134,assistant,6.199e-05,6.1988634e-05,0,basic_no_format,2.0,cot,134, it,1265,12,suca,3,32,134
135,assistant,5.49e-06,5.486974e-06,0,basic_no_format,2.0,cot,135, a,1266,12,suca,3,33,135
136,assistant,6.07e-05,6.0695795e-05,0,basic_no_format,2.0,cot,136, few,1267,12,suca,3,34,136
137,assistant,0.00535563,0.0053556296,0,basic_no_format,2.0,cot,137, sentences,1268,12,suca,3,35,137
138,assistant,4.401e-05,4.40066e-05,0,basic_no_format,2.0,cot,138,",",1269,12,suca,3,36,138
139,assistant,0.00010902,0.000109015265,0,basic_no_format,2.0,cot,139, maybe,1270,12,suca,3,37,139
140,assistant,0.00490134,0.004901344,0,basic_no_format,2.0,cot,140, bullet,1271,12,suca,3,38,140
141,assistant,0.00024611,0.00024611442,0,basic_no_format,2.0,cot,141, points,1272,12,suca,3,39,141
142,assistant,8.296e-05,8.296151e-05,0,basic_no_format,2.0,cot,142,.,1273,12,suca,3,40,142
143,assistant,0.00018247,0.00018247444,0,basic_no_format,2.0,cot,143, Let's,1274,12,suca,3,41,143
144,assistant,0.00127606,0.0012760607,0,basic_no_format,2.0,cot,144, produce,1275,12,suca,3,42,144
145,assistant,0.01908391,0.019083908,0,basic_no_format,2.0,cot,145, a,1276,12,suca,3,43,145
146,assistant,0.02559887,0.025598867,0,basic_no_format,2.0,cot,146, short,1277,12,suca,3,44,146
147,assistant,0.09469859,0.094698586,0,basic_no_format,2.0,cot,147, paragraph,1278,12,suca,3,45,147
148,assistant,0.01847993,0.018479927,0,basic_no_format,2.0,cot,148, with,1279,12,suca,3,46,148
149,assistant,0.00798448,0.007984479,0,basic_no_format,2.0,cot,149, key,1280,12,suca,3,47,149
150,assistant,0.01371512,0.013715123,0,basic_no_format,2.0,cot,150, points,1281,12,suca,3,48,150
151,assistant,0.02163551,0.021635512,0,basic_no_format,2.0,cot,151,.,1282,12,suca,3,49,151
152,assistant,0.00099379,0.0009937868,0,basic_no_format,2.0,cot,152, Use,1283,12,suca,3,50,152
153,assistant,0.00364959,0.0036495912,0,basic_no_format,2.0,cot,153, friendly,1284,12,suca,3,51,153
154,assistant,0.00404665,0.0040466497,0,basic_no_format,2.0,cot,154, tone,1285,12,suca,3,52,154
155,assistant,0.00308758,0.0030875825,0,basic_no_format,2.0,cot,155, and,1286,12,suca,3,53,155
156,assistant,0.00524978,0.0052497834,0,basic_no_format,2.0,cot,156, mention,1287,12,suca,3,54,156
157,assistant,0.00016368,0.00016368242,0,basic_no_format,2.0,cot,157, growing,1288,12,suca,3,55,157
158,assistant,0.01539788,0.01539788,0,basic_no_format,2.0,cot,158, in,1289,12,suca,3,56,158
159,assistant,0.06199084,0.061990842,0,basic_no_format,2.0,cot,159, containers,1290,12,suca,3,57,159
160,assistant,0.01271614,0.0127161415,0,basic_no_format,2.0,cot,160, or,1291,12,suca,3,58,160
161,assistant,0.02368595,0.023685953,0,basic_no_format,2.0,cot,161, garden,1292,12,suca,3,59,161
162,assistant,0.03953183,0.039531827,0,basic_no_format,2.0,cot,162, beds,1293,12,suca,3,60,162
163,assistant,0.00707769,0.0070776916,0,basic_no_format,2.0,cot,163,.,1294,12,suca,3,61,163
164,assistant,0.01294103,0.012941028,0,basic_no_format,2.0,cot,164, Provide,1295,12,suca,3,62,164
165,assistant,0.20364124,0.20364124,0,basic_no_format,2.0,cot,165, water,1296,12,suca,3,63,165
166,assistant,0.3811189,0.3811189,0,basic_no_format,2.0,cot,166, amounts,1297,12,suca,3,64,166
167,assistant,0.11106396,0.11106396,0,basic_no_format,2.0,cot,167,",",1298,12,suca,3,65,167
168,assistant,0.10248259,0.102482595,0,basic_no_format,2.0,cot,168, sunlight,1299,12,suca,3,66,168
169,assistant,0.01432163,0.014321632,0,basic_no_format,2.0,cot,169,",",1300,12,suca,3,67,169
170,assistant,0.8751751,0.8751751,0,basic_no_format,2.0,cot,170, fertilizer,1301,12,suca,3,68,170
171,assistant,0.7994923,0.79949236,0,basic_no_format,2.0,cot,171, type,1302,12,suca,3,69,171
172,assistant,0.00547816,0.0054781586,0,basic_no_format,2.0,cot,172,",",1303,12,suca,3,70,172
173,assistant,0.029642,0.029641999,0,basic_no_format,2.0,cot,173, p,1304,12,suca,3,71,173
174,assistant,0.1990025,0.1990025,0,basic_no_format,2.0,cot,174,H,1305,12,suca,3,72,174
175,assistant,0.02246831,0.022468308,0,basic_no_format,2.0,cot,175,",",1306,12,suca,3,73,175
176,assistant,0.13628663,0.13628663,0,basic_no_format,2.0,cot,176, mulch,1307,12,suca,3,74,176
177,assistant,0.00688342,0.006883418,0,basic_no_format,2.0,cot,177,",",1308,12,suca,3,75,177
178,assistant,0.0011282,0.0011282017,0,basic_no_format,2.0,cot,178, staking,1309,12,suca,3,76,178
179,assistant,0.00568826,0.0056882612,0,basic_no_format,2.0,cot,179,.,1310,12,suca,3,77,179
180,assistant,0.097675,0.097675,0,basic_no_format,2.0,cot,180, Give,1311,12,suca,3,78,180
181,assistant,0.00342497,0.003424972,0,basic_no_format,2.0,cot,181, a,1312,12,suca,3,79,181
182,assistant,0.0693902,0.06939019,0,basic_no_format,2.0,cot,182, concise,1313,12,suca,3,80,182
183,assistant,0.04671954,0.046719536,0,basic_no_format,2.0,cot,183, final,1314,12,suca,3,81,183
184,assistant,0.14133297,0.14133297,0,basic_no_format,2.0,cot,184, answer,1315,12,suca,3,82,184
185,assistant,0.8800227,0.8800227,0,basic_no_format,2.0,cot,185,".
",1316,12,suca,3,83,185
186,assistant,0.95737654,0.95737654,0,basic_no_format,3.0,assistant,186,Here,1317,12,suca,4,1,186
187,assistant,0.99225026,0.99225026,0,basic_no_format,3.0,assistant,187,’s,1318,12,suca,4,2,187
188,assistant,0.9650483,0.9650483,0,basic_no_format,3.0,assistant,188, a,1319,12,suca,4,3,188
189,assistant,0.9986605,0.99866045,0,basic_no_format,3.0,assistant,189, quick,1320,12,suca,4,4,189
190,assistant,0.9992893,0.9992893,0,basic_no_format,3.0,assistant,190,",",1321,12,suca,4,5,190
191,assistant,0.99990046,0.99990046,0,basic_no_format,3.0,assistant,191, beginner,1322,12,suca,4,6,191
192,assistant,0.99978274,0.99978274,0,basic_no_format,3.0,assistant,192,‑,1323,12,suca,4,7,192
193,assistant,0.9992234,0.9992235,0,basic_no_format,3.0,assistant,193,friendly,1324,12,suca,4,8,193
194,assistant,0.9993334,0.9993333,0,basic_no_format,3.0,assistant,194, cheat,1325,12,suca,4,9,194
195,assistant,0.99984014,0.99984014,0,basic_no_format,3.0,assistant,195, sheet,1326,12,suca,4,10,195
196,assistant,0.9753454,0.9753454,0,basic_no_format,3.0,assistant,196,":

",1327,12,suca,4,11,196
197,assistant,0.9887179,0.9887179,0,basic_no_format,3.0,assistant,197,-,1328,12,suca,4,12,197
198,assistant,0.98780614,0.98780614,0,basic_no_format,3.0,assistant,198, **,1329,12,suca,4,13,198
199,assistant,0.9917715,0.9917715,0,basic_no_format,3.0,assistant,199,Light,1330,12,suca,4,14,199
200,assistant,0.9990879,0.9990879,0,basic_no_format,3.0,assistant,200,:**,1331,12,suca,4,15,200
201,assistant,0.8784302,0.8784301,0,basic_no_format,3.0,assistant,201, ,1332,12,suca,4,16,201
202,assistant,0.9985824,0.99858236,0,basic_no_format,3.0,assistant,202,6,1333,12,suca,4,17,202
203,assistant,0.99929845,0.99929845,0,basic_no_format,3.0,assistant,203,–,1334,12,suca,4,18,203
204,assistant,0.9997116,0.9997116,0,basic_no_format,3.0,assistant,204,8,1335,12,suca,4,19,204
205,assistant,0.99648297,0.99648297,0,basic_no_format,3.0,assistant,205, ,1336,12,suca,4,20,205
206,assistant,0.9615525,0.9615525,0,basic_no_format,3.0,assistant,206,h,1337,12,suca,4,21,206
207,assistant,0.9267779,0.9267779,0,basic_no_format,3.0,assistant,207, of,1338,12,suca,4,22,207
208,assistant,0.8046367,0.8046367,0,basic_no_format,3.0,assistant,208, direct,1339,12,suca,4,23,208
209,assistant,0.9335781,0.9335781,0,basic_no_format,3.0,assistant,209, sunlight,1340,12,suca,4,24,209
210,assistant,0.8772617,0.8772617,0,basic_no_format,3.0,assistant,210, each,1341,12,suca,4,25,210
211,assistant,0.99286693,0.992867,0,basic_no_format,3.0,assistant,211, day,1342,12,suca,4,26,211
212,assistant,0.99834627,0.9983462,0,basic_no_format,3.0,assistant,212, (,1343,12,suca,4,27,212
213,assistant,0.99941814,0.99941814,0,basic_no_format,3.0,assistant,213,tom,1344,12,suca,4,28,213
214,assistant,0.76553774,0.76553774,0,basic_no_format,3.0,assistant,214,atoes,1345,12,suca,4,29,214
215,assistant,0.9956914,0.9956915,0,basic_no_format,3.0,assistant,215, are,1346,12,suca,4,30,215
216,assistant,0.76362246,0.76362246,0,basic_no_format,3.0,assistant,216, “,1347,12,suca,4,31,216
217,assistant,0.76493263,0.76493263,0,basic_no_format,3.0,assistant,217,full,1348,12,suca,4,32,217
218,assistant,0.99792457,0.99792457,0,basic_no_format,3.0,assistant,218,‑,1349,12,suca,4,33,218
219,assistant,0.36421776,0.36421776,0,basic_no_format,3.0,assistant,219,sun,1350,12,suca,4,34,219
220,assistant,0.99987906,0.999879,0,basic_no_format,3.0,assistant,220,”,1351,12,suca,4,35,220
221,assistant,0.99711674,0.9971167,0,basic_no_format,3.0,assistant,221, plants,1352,12,suca,4,36,221
222,assistant,0.996555,0.996555,0,basic_no_format,3.0,assistant,222,).,1353,12,suca,4,37,222
223,assistant,0.9985097,0.9985097,0,basic_no_format,3.0,assistant,223,"  
",1354,12,suca,4,38,223
224,assistant,0.29574424,0.29574424,0,basic_no_format,3.0,assistant,224,-,1355,12,suca,4,39,224
225,assistant,0.99938345,0.99938345,0,basic_no_format,3.0,assistant,225, **,1356,12,suca,4,40,225
226,assistant,0.99968594,0.9996859,0,basic_no_format,3.0,assistant,226,Water,1357,12,suca,4,41,226
227,assistant,0.99985886,0.99985886,0,basic_no_format,3.0,assistant,227,:**,1358,12,suca,4,42,227
228,assistant,0.9999782,0.9999782,0,basic_no_format,3.0,assistant,228, Aim,1359,12,suca,4,43,228
229,assistant,0.9945445,0.9945445,0,basic_no_format,3.0,assistant,229, for,1360,12,suca,4,44,229
230,assistant,0.99942595,0.9994259,0,basic_no_format,3.0,assistant,230, about,1361,12,suca,4,45,230
231,assistant,0.889141,0.889141,0,basic_no_format,3.0,assistant,231, ,1362,12,suca,4,46,231
232,assistant,0.8698355,0.86983556,0,basic_no_format,3.0,assistant,232,1,1363,12,suca,4,47,232
233,assistant,0.9996383,0.9996383,0,basic_no_format,3.0,assistant,233, ,1364,12,suca,4,48,233
234,assistant,0.99583006,0.9958301,0,basic_no_format,3.0,assistant,234,in,1365,12,suca,4,49,234
235,assistant,0.99338233,0.99338233,0,basic_no_format,3.0,assistant,235, (,1366,12,suca,4,50,235
236,assistant,0.9858314,0.9858314,0,basic_no_format,3.0,assistant,236,25,1367,12,suca,4,51,236
237,assistant,0.99660814,0.99660814,0,basic_no_format,3.0,assistant,237, ,1368,12,suca,4,52,237
238,assistant,0.99994254,0.99994254,0,basic_no_format,3.0,assistant,238,mm,1369,12,suca,4,53,238
239,assistant,0.99873126,0.9987313,0,basic_no_format,3.0,assistant,239,),1370,12,suca,4,54,239
240,assistant,0.9949811,0.9949811,0,basic_no_format,3.0,assistant,240, of,1371,12,suca,4,55,240
241,assistant,0.97557336,0.97557336,0,basic_no_format,3.0,assistant,241, water,1372,12,suca,4,56,241
242,assistant,0.99056214,0.99056214,0,basic_no_format,3.0,assistant,242, per,1373,12,suca,4,57,242
243,assistant,0.998969,0.9989691,0,basic_no_format,3.0,assistant,243, week,1374,12,suca,4,58,243
244,assistant,0.9999683,0.9999683,0,basic_no_format,3.0,assistant,244,",",1375,12,suca,4,59,244
245,assistant,0.9992467,0.9992467,0,basic_no_format,3.0,assistant,245, keeping,1376,12,suca,4,60,245
246,assistant,0.9867604,0.9867604,0,basic_no_format,3.0,assistant,246, the,1377,12,suca,4,61,246
247,assistant,0.99717295,0.99717295,0,basic_no_format,3.0,assistant,247, soil,1378,12,suca,4,62,247
248,assistant,0.9996239,0.9996239,0,basic_no_format,3.0,assistant,248, consistently,1379,12,suca,4,63,248
249,assistant,0.999856,0.999856,0,basic_no_format,3.0,assistant,249, moist,1380,12,suca,4,64,249
250,assistant,0.99985474,0.9998547,0,basic_no_format,3.0,assistant,250, but,1381,12,suca,4,65,250
251,assistant,0.99973285,0.9997329,0,basic_no_format,3.0,assistant,251, not,1382,12,suca,4,66,251
252,assistant,0.9982753,0.9982753,0,basic_no_format,3.0,assistant,252, sog,1383,12,suca,4,67,252
253,assistant,0.9999844,0.9999844,0,basic_no_format,3.0,assistant,253,gy,1384,12,suca,4,68,253
254,assistant,0.999965,0.9999651,0,basic_no_format,3.0,assistant,254,.,1385,12,suca,4,69,254
255,assistant,0.99904233,0.99904233,0,basic_no_format,3.0,assistant,255, With,1386,12,suca,4,70,255
