prompt_key,base_message_type,target_role,n_tokens,mean_probability,subset,observed_percent,source_percent,source,difference_percentage_points,source_denominator_status
basic_no_format,cot,cot,179,0.7104355743016759,figures_20_21_22_first_160,71.0435574301676,82,"Appendix E, pp.21-23",-10.956442569832404,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.7104355743016759,figures_20_21_22_first_160,71.0435574301676,83,Figure 7 caption/main text; Appendix E instead reports 82%,-11.956442569832404,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,user,user,97,0.6896549941237113,figures_20_21_22_first_160,68.96549941237113,75,"Appendix E, pp.21-23",-6.0345005876288695,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,assistant,320,0.98348974775,figures_20_21_22_first_160,98.348974775,92,"Appendix E, pp.21-23",6.348974775000002,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,user,320,0.00234335303125,figures_20_21_22_first_160,0.23433530312499998,1,"Appendix E, Experiment 3",-0.765664696875,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,cot,179,0.7097498653072626,figures_20_21_22_first_160,70.97498653072626,85,"Appendix E, pp.21-23",-14.025013469273745,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,user,179,0.08101591798882682,figures_20_21_22_first_160,8.101591798882682,2,"Appendix E, Experiment 3",6.101591798882682,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,user,user,97,0.7134002795876289,figures_20_21_22_first_160,71.34002795876289,82,"Appendix E, pp.21-23",-10.659972041237111,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,assistant,assistant,320,0.9931850463749999,figures_20_21_22_first_160,99.3185046375,96,"Appendix E, pp.21-23",3.3185046374999985,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,cot,cot,179,0.6402581993296089,figures_20_21_22_first_160,64.02581993296089,85,"Appendix E, pp.21-23",-20.974180067039114,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,user,user,97,0.7977259226804123,figures_20_21_22_first_160,79.77259226804124,74,"Appendix E, pp.21-23",5.772592268041237,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,assistant,assistant,240,0.981369925875,figure_7_matched_first_120,98.1369925875,92,"Appendix E, pp.21-23",6.1369925875000035,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,177,0.7177611150847457,figure_7_matched_first_120,71.77611150847457,82,"Appendix E, pp.21-23",-10.223888491525429,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,177,0.7177611150847457,figure_7_matched_first_120,71.77611150847457,83,Figure 7 caption/main text; Appendix E instead reports 82%,-11.223888491525429,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,user,user,95,0.7002588728421053,figure_7_matched_first_120,70.02588728421053,75,"Appendix E, pp.21-23",-4.974112715789474,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,assistant,240,0.9818052654166666,figure_7_matched_first_120,98.18052654166665,92,"Appendix E, pp.21-23",6.1805265416666515,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,user,240,0.0030279042916666666,figure_7_matched_first_120,0.30279042916666665,1,"Appendix E, Experiment 3",-0.6972095708333333,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,cot,177,0.7171598483050847,figure_7_matched_first_120,71.71598483050848,85,"Appendix E, pp.21-23",-13.284015169491525,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,user,177,0.08193135209039548,figure_7_matched_first_120,8.193135209039548,2,"Appendix E, Experiment 3",6.193135209039548,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,user,user,95,0.7242366121052631,figure_7_matched_first_120,72.42366121052632,82,"Appendix E, pp.21-23",-9.576338789473681,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,assistant,assistant,240,0.9927213249166668,figure_7_matched_first_120,99.27213249166668,96,"Appendix E, pp.21-23",3.2721324916666816,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,cot,cot,177,0.6432942879096045,figure_7_matched_first_120,64.32942879096045,85,"Appendix E, pp.21-23",-20.67057120903955,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,user,user,95,0.8049284098947368,figure_7_matched_first_120,80.49284098947368,74,"Appendix E, pp.21-23",6.492840989473677,I retain each subset; the published percentage's exact denominator is not established.
