[corpus] 249 base texts in 11s: {"dolma3": 187, "c4": 62}
[prompts] 1245 prompts from 249 base texts
[prompts] 1245 prompts from 249 base texts
[prompts] 1245 prompts from 249 base texts
[prompts] 1245 prompts from 249 base texts
[fwd] first prompt 106 tokens, next token '\n\n', peak 12.3 GB
[fwd] 250/1245 prompts, 89730 tokens, 352 tok/s, 4.2 min
[fwd] 260/1245 prompts, 95382 tokens, 349 tok/s, 4.6 min
[fwd] 270/1245 prompts, 99044 tokens, 350 tok/s, 4.7 min
[fwd] 280/1245 prompts, 104711 tokens, 351 tok/s, 5.0 min
[fwd] 290/1245 prompts, 105653 tokens, 349 tok/s, 5.0 min
[fwd] 300/1245 prompts, 108245 tokens, 348 tok/s, 5.2 min
[fwd] 310/1245 prompts, 111362 tokens, 348 tok/s, 5.3 min
[fwd] 320/1245 prompts, 115434 tokens, 348 tok/s, 5.5 min
[fwd] 330/1245 prompts, 119396 tokens, 347 tok/s, 5.7 min
[fwd] 340/1245 prompts, 126543 tokens, 347 tok/s, 6.1 min
[fwd] 350/1245 prompts, 128740 tokens, 347 tok/s, 6.2 min
[fwd] 360/1245 prompts, 133752 tokens, 345 tok/s, 6.5 min
[fwd] 370/1245 prompts, 144054 tokens, 342 tok/s, 7.0 min
[fwd] 380/1245 prompts, 150366 tokens, 340 tok/s, 7.4 min
[fwd] 390/1245 prompts, 159793 tokens, 337 tok/s, 7.9 min
[fwd] 400/1245 prompts, 167190 tokens, 329 tok/s, 8.5 min
[fwd] 410/1245 prompts, 173707 tokens, 329 tok/s, 8.8 min
[fwd] 420/1245 prompts, 182069 tokens, 328 tok/s, 9.2 min
[fwd] 430/1245 prompts, 189641 tokens, 330 tok/s, 9.6 min
[fwd] 440/1245 prompts, 198488 tokens, 326 tok/s, 10.1 min
[fwd] 450/1245 prompts, 206175 tokens, 325 tok/s, 10.6 min
[fwd] 460/1245 prompts, 212747 tokens, 325 tok/s, 10.9 min
[fwd] 470/1245 prompts, 217339 tokens, 324 tok/s, 11.2 min
[fwd] 480/1245 prompts, 227641 tokens, 326 tok/s, 11.6 min
[fwd] 490/1245 prompts, 232458 tokens, 327 tok/s, 11.9 min
[fwd] 500/1245 prompts, 239485 tokens, 326 tok/s, 12.2 min
[fwd] 510/1245 prompts, 246902 tokens, 324 tok/s, 12.7 min
[fwd] 520/1245 prompts, 252359 tokens, 325 tok/s, 13.0 min
[fwd] 530/1245 prompts, 256301 tokens, 325 tok/s, 13.1 min
[fwd] 540/1245 prompts, 262783 tokens, 326 tok/s, 13.4 min
[fwd] 550/1245 prompts, 270445 tokens, 327 tok/s, 13.8 min
[fwd] 560/1245 prompts, 274327 tokens, 327 tok/s, 14.0 min
[fwd] 570/1245 prompts, 284304 tokens, 326 tok/s, 14.5 min
[fwd] 580/1245 prompts, 289561 tokens, 325 tok/s, 14.8 min
[fwd] 590/1245 prompts, 293953 tokens, 326 tok/s, 15.0 min
[fwd] 600/1245 prompts, 303650 tokens, 326 tok/s, 15.5 min
[fwd] 610/1245 prompts, 307717 tokens, 326 tok/s, 15.7 min
[fwd] 620/1245 prompts, 316754 tokens, 327 tok/s, 16.2 min
[fwd] 630/1245 prompts, 322806 tokens, 328 tok/s, 16.4 min
[fwd] 640/1245 prompts, 327263 tokens, 327 tok/s, 16.7 min
[fwd] 650/1245 prompts, 337565 tokens, 330 tok/s, 17.1 min
[fwd] 660/1245 prompts, 344042 tokens, 331 tok/s, 17.3 min
[fwd] 670/1245 prompts, 350729 tokens, 332 tok/s, 17.6 min
[fwd] 680/1245 prompts, 356941 tokens, 333 tok/s, 17.9 min
[fwd] 690/1245 prompts, 359978 tokens, 333 tok/s, 18.0 min
[fwd] 700/1245 prompts, 363660 tokens, 333 tok/s, 18.2 min
[fwd] 710/1245 prompts, 368907 tokens, 333 tok/s, 18.5 min
[fwd] 720/1245 prompts, 371464 tokens, 333 tok/s, 18.6 min
[fwd] 730/1245 prompts, 375146 tokens, 333 tok/s, 18.8 min
[fwd] 740/1245 prompts, 380643 tokens, 333 tok/s, 19.0 min
[fwd] 750/1245 prompts, 385450 tokens, 333 tok/s, 19.3 min
[fwd] 760/1245 prompts, 393832 tokens, 333 tok/s, 19.7 min
[fwd] 770/1245 prompts, 401214 tokens, 333 tok/s, 20.1 min
[fwd] 780/1245 prompts, 405831 tokens, 334 tok/s, 20.3 min
[fwd] 790/1245 prompts, 409643 tokens, 334 tok/s, 20.5 min
[fwd] 800/1245 prompts, 418980 tokens, 333 tok/s, 21.0 min
[fwd] 810/1245 prompts, 427337 tokens, 334 tok/s, 21.3 min
[fwd] 820/1245 prompts, 431394 tokens, 334 tok/s, 21.5 min
[fwd] 830/1245 prompts, 438166 tokens, 334 tok/s, 21.8 min
[fwd] 840/1245 prompts, 447853 tokens, 335 tok/s, 22.3 min
[fwd] 850/1245 prompts, 457605 tokens, 335 tok/s, 22.8 min
[fwd] 860/1245 prompts, 461937 tokens, 335 tok/s, 23.0 min
[fwd] 870/1245 prompts, 463754 tokens, 335 tok/s, 23.1 min
[fwd] 880/1245 prompts, 467521 tokens, 335 tok/s, 23.3 min
[fwd] 890/1245 prompts, 473493 tokens, 335 tok/s, 23.6 min
[fwd] 900/1245 prompts, 483795 tokens, 336 tok/s, 24.0 min
[fwd] 910/1245 prompts, 489802 tokens, 336 tok/s, 24.3 min
[fwd] 920/1245 prompts, 498059 tokens, 337 tok/s, 24.7 min
[fwd] 930/1245 prompts, 506166 tokens, 337 tok/s, 25.0 min
[fwd] 940/1245 prompts, 509133 tokens, 337 tok/s, 25.2 min
[fwd] 950/1245 prompts, 519435 tokens, 338 tok/s, 25.6 min
[fwd] 960/1245 prompts, 528847 tokens, 338 tok/s, 26.1 min
[fwd] 970/1245 prompts, 531854 tokens, 337 tok/s, 26.3 min
[fwd] 980/1245 prompts, 533796 tokens, 337 tok/s, 26.4 min
[fwd] 990/1245 prompts, 539813 tokens, 338 tok/s, 26.6 min
[fwd] 1000/1245 prompts, 548145 tokens, 338 tok/s, 27.0 min
[fwd] 1010/1245 prompts, 554412 tokens, 338 tok/s, 27.3 min
[fwd] 1020/1245 prompts, 564519 tokens, 338 tok/s, 27.9 min
[fwd] 1030/1245 prompts, 567551 tokens, 337 tok/s, 28.0 min
[fwd] 1040/1245 prompts, 575208 tokens, 338 tok/s, 28.4 min
[fwd] 1050/1245 prompts, 582270 tokens, 338 tok/s, 28.7 min
[fwd] 1060/1245 prompts, 588322 tokens, 338 tok/s, 29.0 min
[fwd] 1070/1245 prompts, 592354 tokens, 338 tok/s, 29.2 min
[fwd] 1080/1245 prompts, 602216 tokens, 338 tok/s, 29.7 min
[fwd] 1090/1245 prompts, 608588 tokens, 338 tok/s, 30.0 min
[fwd] 1100/1245 prompts, 614375 tokens, 338 tok/s, 30.3 min
[fwd] 1110/1245 prompts, 624677 tokens, 339 tok/s, 30.7 min
[fwd] 1120/1245 prompts, 633294 tokens, 340 tok/s, 31.0 min
[fwd] 1130/1245 prompts, 639791 tokens, 340 tok/s, 31.3 min
[fwd] 1140/1245 prompts, 644018 tokens, 341 tok/s, 31.5 min
[fwd] 1150/1245 prompts, 649765 tokens, 341 tok/s, 31.8 min
[fwd] 1160/1245 prompts, 657597 tokens, 341 tok/s, 32.2 min
[fwd] 1170/1245 prompts, 664884 tokens, 341 tok/s, 32.5 min
[fwd] 1180/1245 prompts, 672071 tokens, 341 tok/s, 32.8 min
[fwd] 1190/1245 prompts, 678743 tokens, 341 tok/s, 33.1 min
[fwd] 1200/1245 prompts, 685300 tokens, 342 tok/s, 33.4 min
[fwd] 1210/1245 prompts, 695602 tokens, 342 tok/s, 33.9 min
[fwd] 1220/1245 prompts, 701989 tokens, 342 tok/s, 34.2 min
[fwd] 1230/1245 prompts, 704361 tokens, 342 tok/s, 34.4 min
[fwd] 1240/1245 prompts, 712358 tokens, 342 tok/s, 34.7 min
[fwd] 1245/1245 prompts, 713109 tokens, 342 tok/s, 34.8 min
[label] content tokens per role: {"assistant": 141078, "cot": 141078, "system": 141078, "tool": 141078, "user": 141078}
[done] {"model_prefix": "gptoss-20b", "hf_revision": "6cee5e81ee83917806bbde320786a8fb61efebee", "site": "post_attention_layernorm output (pre-MLP)", "layers": [0, 1, 20, 21, 22, 23], "n_prompts": 1245, "n_base_texts": 249, "n_tokens": 713109, "dtype": "float16", "backend": "mlx", "model": "mlx-community/gpt-oss-20b-MXFP4-Q8", "mlx": "0.32.2", "batch_size": 1, "padding": "none", "source": "NB02 cells 12-16, commit ec333c40fd43fe991e1ebf66765051b6d7e35784"}
