layer_ix,role_space,correct_local,denominator_local,accuracy_local,correct_reference,denominator_reference,accuracy_reference,difference_percentage_points
6,"system,user,cot,assistant",31801,53615,0.593136249183997,31804,53615,0.5931922036743449,-0.005595449034789812
6,"system,user,cot,assistant,tool",34570,67727,0.5104315856305461,34547,67727,0.5100919869475985,0.03395986829476394
6,"user,assistant",21898,25732,0.8510026426239702,21901,25732,0.8511192289755946,-0.011658635162437037
6,"user,assistant,tool",30977,41719,0.7425154006567751,30987,41719,0.7427550995949088,-0.023969893813369225
6,"user,cot,assistant",28674,41719,0.687312735204583,28659,41719,0.6869531867973825,0.03595484072005384
6,"user,cot,assistant,tool",32560,53615,0.6072927352420032,32548,53615,0.6070689172806117,0.022381796139148147
8,"system,user,assistant",30540,41719,0.7320405570603322,30552,41719,0.7323281957860927,-0.02876387257604307
8,"system,user,assistant,tool",43889,53615,0.8185955422922689,43877,53615,0.8183717243308776,0.022381796139137045
8,"system,user,cot,assistant",43374,53615,0.8089900214492213,43366,53615,0.8088408094749604,0.014921197426087662
8,"system,user,cot,assistant,tool",47653,67727,0.7036041755872843,47655,67727,0.7036337059075406,-0.0029530320256321296
8,"user,assistant",23658,25732,0.9193999689103063,23659,25732,0.9194388310275143,-0.003886211720804944
8,"user,assistant,tool",36566,41719,0.8764831371797023,36567,41719,0.8765071070735156,-0.0023969893813369225
8,"user,cot,assistant",35314,41719,0.8464728301253626,35324,41719,0.8467125290634963,-0.023969893813369225
8,"user,cot,assistant,tool",43074,53615,0.8033945724144362,43073,53615,0.8033759209176536,0.00186514967825957
10,"system,user,assistant",28644,41719,0.686593638390182,28645,41719,0.6866176082839953,-0.0023969893813369225
10,"system,user,assistant,tool",40782,53615,0.7606453417886785,40783,53615,0.7606639932854612,-0.0018651496782706722
10,"system,user,cot,assistant",39555,53615,0.7377599552364077,39536,53615,0.737405576797538,0.03543784388696514
10,"system,user,cot,assistant,tool",42066,67727,0.6211112259512455,42066,67727,0.6211112259512455,0.0
10,"user,assistant",22823,25732,0.8869501010415047,22820,25732,0.8868335146898803,0.011658635162448139
10,"user,assistant,tool",34156,41719,0.8187156930894797,34162,41719,0.8188595124523599,-0.014381936288021535
10,"user,cot,assistant",32961,41719,0.790071669982502,32960,41719,0.7900477000886886,0.0023969893813369225
10,"user,cot,assistant,tool",38444,53615,0.7170381423109204,38451,53615,0.7171687027883987,-0.013056047747828092
12,"system,user,assistant",29264,41719,0.7014549725544715,29264,41719,0.7014549725544715,0.0
12,"system,user,assistant,tool",38482,53615,0.7177468991886599,38479,53615,0.7176909446983121,0.00559544903477871
12,"system,user,cot,assistant",37708,53615,0.7033106406789145,37711,53615,0.7033665951692624,-0.005595449034789812
12,"system,user,cot,assistant,tool",40282,67727,0.5947701802826052,40279,67727,0.5947258848022207,0.0044295480384537456
12,"user,assistant",22517,25732,0.8750582931758122,22516,25732,0.875019431058604,0.0038862117208160463
12,"user,assistant,tool",33435,41719,0.8014333996500396,33433,41719,0.8013854598624128,0.004793978762673845
12,"user,cot,assistant",32236,41719,0.7726934969678084,32241,41719,0.7728133464368753,-0.011984946906684613
12,"user,cot,assistant,tool",36192,53615,0.6750349715564674,36185,53615,0.6749044110789891,0.013056047747828092
14,"system,user,assistant",32157,41719,0.7707998753565521,32134,41719,0.7702485677988447,0.05513075577074922
14,"system,user,assistant,tool",42103,53615,0.7852839690385154,42091,53615,0.7850601510771239,0.022381796139148147
14,"system,user,cot,assistant",42769,53615,0.7977058658957381,42762,53615,0.7975753054182598,0.013056047747828092
14,"system,user,cot,assistant,tool",43197,67727,0.6378106220561962,43206,67727,0.6379435084973496,-0.013288644115339032
14,"user,assistant",23565,25732,0.9157857920099487,23564,25732,0.9157469298927405,0.0038862117208160463
14,"user,assistant,tool",35274,41719,0.8455140343728277,35273,41719,0.8454900644790143,0.0023969893813369225
14,"user,cot,assistant",34811,41719,0.8344159735372372,34817,41719,0.8345597929001175,-0.014381936288032637
14,"user,cot,assistant,tool",40141,53615,0.7486897323510212,40146,53615,0.7487829898349343,-0.009325748391308952
16,"system,user,assistant",36839,41719,0.8830269181907524,36837,41719,0.8829789784031257,0.004793978762673845
16,"system,user,assistant,tool",46764,53615,0.8722185955422923,46766,53615,0.8722558985358575,-0.00373029935651914
16,"system,user,cot,assistant",47375,53615,0.8836146600764712,47382,53615,0.8837452205539494,-0.013056047747828092
16,"system,user,cot,assistant,tool",49079,67727,0.7246592939300427,49092,67727,0.7248512410117087,-0.01919470816660329
16,"user,assistant",24873,25732,0.966617441318203,24873,25732,0.966617441318203,0.0
16,"user,assistant,tool",37989,41719,0.9105922960761283,37991,41719,0.9106402358637551,-0.004793978762673845
16,"user,cot,assistant",37690,41719,0.9034252978259306,37689,41719,0.9034013279321172,0.0023969893813369225
16,"user,cot,assistant,tool",43980,53615,0.820292828499487,43988,53615,0.820442040473748,-0.014921197426098765
18,"system,user,assistant",36683,41719,0.8792876147558666,36679,41719,0.8791917351806131,0.00958795752534769
18,"system,user,assistant,tool",45016,53615,0.839615779166278,45010,53615,0.8395038701855824,0.011190898069568522
18,"system,user,cot,assistant",45761,53615,0.8535111442693276,45768,53615,0.8536417047468059,-0.013056047747828092
18,"system,user,cot,assistant,tool",48069,67727,0.7097464822005994,48078,67727,0.7098793686417529,-0.013288644115350134
18,"user,assistant",24789,25732,0.9633530234727188,24789,25732,0.9633530234727188,0.0
18,"user,assistant,tool",37467,41719,0.8980800115055491,37472,41719,0.8981998609746159,-0.011984946906684613
18,"user,cot,assistant",37218,41719,0.8921115079460198,37216,41719,0.892063568158393,0.004793978762673845
18,"user,cot,assistant,tool",42433,53615,0.7914389629767788,42423,53615,0.7912524480089527,0.018651496782617905
20,"system,user,assistant",35734,41719,0.8565401855269781,35733,41719,0.8565162156331647,0.0023969893813369225
20,"system,user,assistant,tool",42916,53615,0.8004476359227828,42913,53615,0.800391681432435,0.00559544903477871
20,"system,user,cot,assistant",44148,53615,0.8234262799589667,44153,53615,0.8235195374428798,-0.009325748391308952
20,"system,user,cot,assistant,tool",45171,67727,0.6669570481491872,45174,67727,0.6670013436295716,-0.004429548038442643
20,"user,assistant",24621,25732,0.9568241877817504,24620,25732,0.9567853256645422,0.0038862117208160463
20,"user,assistant,tool",36212,41719,0.8679977947697691,36216,41719,0.8680936743450226,-0.00958795752534769
20,"user,cot,assistant",36198,41719,0.867662216256382,36208,41719,0.8679019151945156,-0.023969893813369225
20,"user,cot,assistant,tool",40430,53615,0.7540800149211975,40426,53615,0.754005408934067,0.007460598713049382
22,"system,user,assistant",34876,41719,0.8359740166351063,34872,41719,0.8358781370598528,0.00958795752534769
22,"system,user,assistant,tool",43857,53615,0.8179986943952252,43843,53615,0.8177375734402685,0.026112095495667287
22,"system,user,cot,assistant",44315,53615,0.8265410799216637,44302,53615,0.8262986104634897,0.024246945817396615
22,"system,user,cot,assistant,tool",45668,67727,0.6742953327328834,45678,67727,0.674442984334165,-0.014765160128160648
22,"user,assistant",24633,25732,0.9572905331882481,24632,25732,0.9572516710710399,0.0038862117208160463
22,"user,assistant,tool",35811,41719,0.8583858673506076,35822,41719,0.8586495361825547,-0.026366883194706148
22,"user,cot,assistant",35784,41719,0.8577386802176467,35781,41719,0.8576667705362065,0.0071909681440107676
22,"user,cot,assistant,tool",40442,53615,0.7543038328825888,40440,53615,0.7542665298890235,0.0037302993565302422
