layer_ix,role_space,role,correct_local,denominator_local,accuracy_local,correct_reference,denominator_reference,accuracy_reference,difference_percentage_points
2,"user,cot,assistant",user,11120,18326,0.6067881698133799,11099,18326,0.6056422569027611,0.11459129106188293
2,"user,cot,assistant,tool",assistant,3448,15269,0.22581701486672343,3456,15269,0.22634095225620537,-0.05239373894819488
2,"user,cot,assistant,tool",cot,3484,14974,0.23266996126619474,3483,14974,0.23260317884332843,0.006678242286631275
2,"user,cot,assistant,tool",tool,5725,11784,0.4858282416836388,5728,11784,0.4860828241683639,-0.02545824847250966
2,"user,cot,assistant,tool",user,6399,11588,0.552209181912323,6396,11588,0.5519502934069728,0.02588885053502743
4,"system,user,assistant",assistant,7517,12261,0.6130821303319468,7533,12261,0.6143870809885001,-0.13049506565533386
4,"system,user,assistant",system,4741,18326,0.258703481392557,4736,18326,0.25843064498526686,0.027283640729014458
4,"system,user,assistant",user,4230,11132,0.37998562702120015,4218,11132,0.3789076536112109,0.10779734099892191
4,"system,user,assistant,tool",assistant,6834,15269,0.44757351496496167,6821,15269,0.44672211670705353,0.08513982579081425
4,"system,user,assistant,tool",system,2796,11588,0.2412840869865378,2797,11588,0.2413703831549879,-0.008629616845010069
4,"system,user,assistant,tool",tool,5854,14974,0.3909443034593295,5881,14974,0.39274742887671965,-0.1803125417390139
4,"system,user,assistant,tool",user,5134,11784,0.4356754921928038,5124,11784,0.434826883910387,0.08486082824168406
4,"system,user,cot,assistant",assistant,4105,15269,0.26884537297792915,4102,15269,0.2686488964568734,0.019647652105575508
4,"system,user,cot,assistant",cot,4141,14974,0.2765460130893549,4143,14974,0.27667957793508746,-0.013356484573257
4,"system,user,cot,assistant",system,3066,11588,0.26458405246807043,3069,11588,0.26484294097342076,-0.02588885053503298
4,"system,user,cot,assistant",user,5083,11784,0.43134758995247796,5081,11784,0.4311778682959946,0.016972165648337922
4,"system,user,cot,assistant,tool",assistant,3629,14793,0.24531873183262354,3627,14793,0.2451835327519773,0.01351990806462422
4,"system,user,cot,assistant,tool",cot,3149,13765,0.2287686160552125,3162,13765,0.22971304031965128,-0.09444242644387757
4,"system,user,cot,assistant,tool",system,2165,9414,0.2299766305502443,2164,9414,0.22987040577862758,0.010622477161673083
4,"system,user,cot,assistant,tool",tool,6138,16909,0.3630019516233958,6136,16909,0.36288367141758826,0.011828020580756382
4,"system,user,cot,assistant,tool",user,5110,12846,0.3977891950801806,5106,12846,0.39747781410555816,0.031138097462246606
4,"user,assistant",assistant,9217,14408,0.6397140477512493,9217,14408,0.6397140477512493,0.0
4,"user,assistant",user,7457,11324,0.6585128929706817,7454,11324,0.6582479689155776,0.02649240551041432
4,"user,assistant,tool",assistant,6003,12261,0.48960117445559087,5999,12261,0.48927493679145256,0.03262376641383069
4,"user,assistant,tool",tool,5501,11132,0.4941609773625584,5499,11132,0.49398131512756016,0.017966223499821243
4,"user,assistant,tool",user,11160,18326,0.6089708610717014,11172,18326,0.6096256684491979,-0.0654807377496458
4,"user,cot,assistant",assistant,3990,12261,0.32542206997797896,3984,12261,0.3249327134817715,0.048935649620746036
4,"user,cot,assistant",cot,3690,11132,0.33147682357168523,3693,11132,0.33174631692418255,-0.026949335249731865
4,"user,cot,assistant",user,11751,18326,0.6412201244134017,11745,18326,0.6408927207246535,0.03274036887481735
4,"user,cot,assistant,tool",assistant,4029,15269,0.26386796777785054,4021,15269,0.26334403038836857,0.052393738948197655
4,"user,cot,assistant,tool",cot,3406,14974,0.2274609322826232,3411,14974,0.22779484439695472,-0.033391211433150825
4,"user,cot,assistant,tool",tool,5570,11784,0.4726748133061779,5573,11784,0.47292939579090293,-0.025458248472504108
4,"user,cot,assistant,tool",user,7297,11588,0.6297031411805316,7309,11588,0.630738695201933,-0.10355540214014303
6,"system,user,assistant",assistant,9553,12261,0.7791371013783541,9548,12261,0.7787293042981812,0.04077970801729114
6,"system,user,assistant",system,8640,18326,0.47146131179744627,8652,18326,0.4721161191749427,-0.0654807377496458
6,"system,user,assistant",user,6547,11132,0.5881243262666187,6563,11132,0.5895616241466044,-0.14372978799856995
6,"system,user,assistant,tool",assistant,11743,15269,0.7690745955858275,11740,15269,0.7688781190647718,0.019647652105569957
6,"system,user,assistant,tool",system,4999,11588,0.43139454608215394,4988,11588,0.43044528822920264,0.09492578529513018
6,"system,user,assistant,tool",tool,8097,14974,0.540737277948444,8093,14974,0.5404701482569788,0.026712969146514
6,"system,user,assistant,tool",user,8710,11784,0.7391378139850645,8710,11784,0.7391378139850645,0.0
6,"system,user,cot,assistant",assistant,10234,15269,0.6702469054947934,10236,15269,0.6703778898421638,-0.013098434737046638
6,"system,user,cot,assistant",cot,7536,14974,0.5032723387204487,7533,14974,0.5030719914518499,0.0200347268598855
6,"system,user,cot,assistant",system,5357,11588,0.4622885743872972,5356,11588,0.4622022782188471,0.008629616845012844
6,"system,user,cot,assistant",user,8674,11784,0.7360828241683639,8679,11784,0.7365071283095723,-0.04243041412084203
6,"system,user,cot,assistant,tool",assistant,9548,14793,0.6454404110052052,9539,14793,0.644832015142297,0.060839586290817316
6,"system,user,cot,assistant,tool",cot,4995,13765,0.36287686160552124,4998,13765,0.36309480566654556,-0.021794406102432218
6,"system,user,cot,assistant,tool",system,3268,9414,0.34714255364350965,3267,9414,0.34703632887189295,0.010622477161670307
6,"system,user,cot,assistant,tool",tool,8466,16909,0.5006801111833935,8452,16909,0.49985214974274056,0.08279614406529467
6,"system,user,cot,assistant,tool",user,8293,12846,0.6455706056359957,8291,12846,0.6454149151486844,0.015569048731123303
6,"user,assistant",assistant,11869,14408,0.8237784564131039,11872,14408,0.8239866740699612,-0.02082176568573013
6,"user,assistant",user,10029,11324,0.8856411162133522,10029,11324,0.8856411162133522,0.0
6,"user,assistant,tool",assistant,9123,12261,0.7440665524834842,9129,12261,0.7445559089796917,-0.04893564962075159
6,"user,assistant,tool",tool,7987,11132,0.7174811354653252,7992,11132,0.7179302910528207,-0.04491555874954756
6,"user,assistant,tool",user,13867,18326,0.7566844919786097,13866,18326,0.7566299246971516,0.0054567281458028916
6,"user,cot,assistant",assistant,7645,12261,0.6235217355843732,7647,12261,0.6236848544164424,-0.016311883206920896
6,"user,cot,assistant",cot,6553,11132,0.5886633129716133,6542,11132,0.5876751706791232,0.09881422924901129
6,"user,cot,assistant",user,14476,18326,0.7899159663865546,14470,18326,0.7895885626978064,0.03274036887481735
6,"user,cot,assistant,tool",assistant,10182,15269,0.6668413124631607,10162,15269,0.6655314689894558,0.13098434737048859
6,"user,cot,assistant,tool",cot,6858,14974,0.4579938560170963,6872,14974,0.4589288099372245,-0.0934953920128212
6,"user,cot,assistant,tool",tool,7057,11784,0.5988628649015615,7052,11784,0.5984385607603531,0.04243041412084203
6,"user,cot,assistant,tool",user,8463,11588,0.7303244735933725,8462,11588,0.7302381774249224,0.008629616845012844
8,"system,user,assistant",assistant,10152,12261,0.8279911915830682,10153,12261,0.8280727509991028,-0.008155941603460448
8,"system,user,assistant",system,12438,18326,0.6787078467750737,12451,18326,0.6794172214340282,-0.07093746589544869
8,"system,user,assistant",user,7950,11132,0.7141573841178585,7948,11132,0.7139777218828602,0.017966223499821243
8,"system,user,assistant,tool",assistant,14417,15269,0.9442006680201716,14416,15269,0.9441351758464863,0.006549217368523319
8,"system,user,assistant,tool",system,7273,11588,0.6276320331377286,7272,11588,0.6275457369692785,0.008629616845012844
8,"system,user,assistant,tool",tool,11782,14974,0.7868305062107653,11774,14974,0.7862962468278349,0.0534259382930391
8,"system,user,assistant,tool",user,10417,11784,0.8839952477936185,10415,11784,0.883825526137135,0.016972165648343474
8,"system,user,cot,assistant",assistant,13152,15269,0.8613530683083371,13147,15269,0.861025607439911,0.032746086842616595
8,"system,user,cot,assistant",cot,11832,14974,0.7901696273540804,11827,14974,0.7898357152397489,0.0333912114331425
8,"system,user,cot,assistant",system,8029,11588,0.69287193648602,8035,11588,0.6933897134967207,-0.051777701070077065
8,"system,user,cot,assistant",user,10361,11784,0.8792430414120842,10357,11784,0.8789035980991174,0.033944331296675845
8,"system,user,cot,assistant,tool",assistant,13303,14793,0.8992766849185425,13304,14793,0.8993442844588657,-0.006759954032320437
8,"system,user,cot,assistant,tool",cot,8333,13765,0.605375953505267,8330,13765,0.6051580094442427,0.021794406102426667
8,"system,user,cot,assistant,tool",system,4834,9414,0.5134905459953261,4838,9414,0.5139154450817931,-0.042489908646703434
8,"system,user,cot,assistant,tool",tool,10738,16909,0.6350464249807795,10737,16909,0.6349872848778757,0.0059140102903754155
8,"system,user,cot,assistant,tool",user,10445,12846,0.8130935699828741,10446,12846,0.8131714152265297,-0.007784524365561651
8,"user,assistant",assistant,12610,14408,0.8752082176568573,12611,14408,0.8752776235424764,-0.006940588561910044
8,"user,assistant",user,11048,11324,0.9756269869304133,11048,11324,0.9756269869304133,0.0
8,"user,assistant,tool",assistant,10231,12261,0.8344343854498002,10232,12261,0.8345159448658348,-0.008155941603460448
8,"user,assistant,tool",tool,10232,11132,0.9191519942508085,10229,11132,0.9188825008983111,0.026949335249737416
8,"user,assistant,tool",user,16103,18326,0.8786969333187821,16106,18326,0.8788606351631562,-0.016370184437408675
8,"user,cot,assistant",assistant,9616,12261,0.7842753445885328,9619,12261,0.7845200228366365,-0.024467824810370242
8,"user,cot,assistant",cot,9206,11132,0.8269852676967302,9203,11132,0.8267157743442328,0.026949335249737416
8,"user,cot,assistant",user,16492,18326,0.8999236058059588,16502,18326,0.9004692786205392,-0.05456728145804002
8,"user,cot,assistant,tool",assistant,13093,15269,0.8574890300609077,13094,15269,0.8575545222345929,-0.006549217368523319
8,"user,cot,assistant,tool",cot,10867,14974,0.7257245892880994,10869,14974,0.7258581541338319,-0.013356484573257
8,"user,cot,assistant,tool",tool,8844,11784,0.7505091649694501,8841,11784,0.7502545824847251,0.025458248472498557
8,"user,cot,assistant,tool",user,10270,11588,0.8862616499827408,10269,11588,0.8861753538142907,0.008629616845012844
10,"system,user,assistant",assistant,9791,12261,0.7985482423945844,9795,12261,0.7988744800587227,-0.03262376641383069
10,"system,user,assistant",system,11718,18326,0.6394194041252865,11725,18326,0.6398013750954927,-0.03819709702062024
10,"system,user,assistant",user,7135,11132,0.6409450233560906,7125,11132,0.6400467121810995,0.08983111749910622
10,"system,user,assistant,tool",assistant,13683,15269,0.8961294125352021,13684,15269,0.8961949047088873,-0.006549217368523319
10,"system,user,assistant,tool",system,6662,11588,0.5749050742147048,6665,11588,0.5751639627200552,-0.025888850535038532
10,"system,user,assistant,tool",tool,10580,14974,0.7065580339254708,10581,14974,0.7066248163483371,-0.0066782422866285
10,"system,user,assistant,tool",user,9857,11784,0.8364731839782756,9853,11784,0.8361337406653089,0.033944331296675845
10,"system,user,cot,assistant",assistant,12081,15269,0.7912109502914402,12088,15269,0.7916693955072369,-0.045844521579674335
10,"system,user,cot,assistant",cot,10257,14974,0.6849873113396554,10241,14974,0.6839187925737946,0.1068518765860782
10,"system,user,cot,assistant",system,7320,11588,0.6316879530548843,7311,11588,0.6309112875388333,0.0776665516051045
10,"system,user,cot,assistant",user,9897,11784,0.839867617107943,9896,11784,0.8397827562797013,0.008486082824166186
10,"system,user,cot,assistant,tool",assistant,12648,14793,0.8549989860068952,12646,14793,0.8548637869262489,0.013519908064629771
10,"system,user,cot,assistant,tool",cot,6899,13765,0.5011986923356339,6918,13765,0.5025790047221214,-0.13803123864875033
10,"system,user,cot,assistant,tool",system,4178,9414,0.443807095814744,4185,9414,0.4445506692160612,-0.0743573401317199
10,"system,user,cot,assistant,tool",tool,8449,16909,0.49967472943402924,8433,16909,0.49872848778756873,0.09462416464605106
10,"system,user,cot,assistant,tool",user,9892,12846,0.7700451502413203,9884,12846,0.7694223882920753,0.06227619492449321
10,"user,assistant",assistant,12092,14408,0.8392559689061633,12090,14408,0.8391171571349251,0.013881177123820088
10,"user,assistant",user,10731,11324,0.9476333451077358,10730,11324,0.9475450370893678,0.008830801836801072
10,"user,assistant,tool",assistant,9811,12261,0.8001794307152761,9817,12261,0.8006687872114836,-0.04893564962075159
10,"user,assistant,tool",tool,9164,11132,0.8232123607617678,9166,11132,0.8233920229967661,-0.017966223499821243
10,"user,assistant,tool",user,15181,18326,0.8283858998144712,15179,18326,0.8282767652515551,0.010913456291605783
10,"user,cot,assistant",assistant,8975,12261,0.7319957589103662,8980,12261,0.7324035559905391,-0.04077970801729114
10,"user,cot,assistant",cot,8123,11132,0.729698167445203,8127,11132,0.7300574919151994,-0.03593244699964249
10,"user,cot,assistant",user,15863,18326,0.865600785768853,15853,18326,0.8650551129542726,0.05456728145804002
10,"user,cot,assistant,tool",assistant,12161,15269,0.7964503241862597,12149,15269,0.7956644181020368,0.07859060842229093
10,"user,cot,assistant,tool",cot,9110,14974,0.6083878723120075,9120,14974,0.6090556965406705,-0.0667824228662961
10,"user,cot,assistant,tool",tool,7629,11784,0.6474032586558045,7638,11784,0.6481670061099797,-0.07637474541751788
10,"user,cot,assistant,tool",user,9544,11588,0.823610631687953,9544,11588,0.823610631687953,0.0
12,"system,user,assistant",assistant,9963,12261,0.8125764619525324,9960,12261,0.8123317837044287,0.024467824810370242
12,"system,user,assistant",system,11832,18326,0.6456400742115028,11836,18326,0.6458583433373349,-0.021826912583211566
12,"system,user,assistant",user,7469,11132,0.6709486166007905,7468,11132,0.6708587854832914,0.008983111749916173
12,"system,user,assistant,tool",assistant,13433,15269,0.8797563691138909,13429,15269,0.87949440041915,0.026196869474093276
12,"system,user,assistant,tool",system,6322,11588,0.5455643769416638,6323,11588,0.545650673110114,-0.008629616845012844
12,"system,user,assistant,tool",tool,9222,14974,0.6158675036730332,9221,14974,0.6158007212501669,0.0066782422866285
12,"system,user,assistant,tool",user,9505,11784,0.806602172437203,9506,11784,0.8066870332654447,-0.008486082824166186
12,"system,user,cot,assistant",assistant,11885,15269,0.7783744842491322,11887,15269,0.7785054685965027,-0.013098434737046638
12,"system,user,cot,assistant",cot,9192,14974,0.6138640309870442,9199,14974,0.6143315079471083,-0.0467476960064106
12,"system,user,cot,assistant",system,7061,11588,0.6093372454263031,7051,11588,0.6084742837418019,0.08629616845011734
12,"system,user,cot,assistant",user,9570,11784,0.8121181262729125,9574,11784,0.8124575695858791,-0.03394433129666474
12,"system,user,cot,assistant,tool",assistant,12416,14793,0.83931589265193,12411,14793,0.8389778949503144,0.033799770161557774
12,"system,user,cot,assistant,tool",cot,6360,13765,0.4620414093715946,6372,13765,0.46291318561569195,-0.08717762440973442
12,"system,user,cot,assistant,tool",system,4076,9414,0.43297216910983644,4078,9414,0.4331846186530699,-0.021244954323346166
12,"system,user,cot,assistant,tool",tool,7577,16909,0.44810455970193386,7561,16909,0.4471583180554734,0.0946241646460455
12,"system,user,cot,assistant,tool",user,9853,12846,0.7670091857387513,9857,12846,0.7673205667133738,-0.031138097462246606
12,"user,assistant",assistant,11953,14408,0.8296085508051083,11953,14408,0.8296085508051083,0.0
12,"user,assistant",user,10564,11324,0.9328859060402684,10563,11324,0.9327975980219004,0.008830801836801072
12,"user,assistant,tool",assistant,9888,12261,0.8064595057499389,9886,12261,0.8062963869178696,0.016311883206920896
12,"user,assistant,tool",tool,8818,11132,0.7921307941070787,8815,11132,0.7918613007545814,0.026949335249726314
12,"user,assistant,tool",user,14729,18326,0.8037214885954381,14732,18326,0.8038851904398123,-0.016370184437419777
12,"user,cot,assistant",assistant,9012,12261,0.7350134573036458,9015,12261,0.7352581355517495,-0.024467824810370242
12,"user,cot,assistant",cot,7756,11132,0.6967301473230327,7756,11132,0.6967301473230327,0.0
12,"user,cot,assistant",user,15468,18326,0.844046709592928,15470,18326,0.8441558441558441,-0.010913456291605783
12,"user,cot,assistant,tool",assistant,11852,15269,0.7762132425175191,11857,15269,0.7765407033859454,-0.0327460868426277
12,"user,cot,assistant,tool",cot,8193,14974,0.547148390543609,8186,14974,0.5466809135835448,0.0467476960064217
12,"user,cot,assistant,tool",tool,7085,11784,0.6012389680923286,7080,11784,0.6008146639511202,0.04243041412084203
12,"user,cot,assistant,tool",user,9062,11588,0.7820158784949949,9062,11588,0.7820158784949949,0.0
14,"system,user,assistant",assistant,10357,12261,0.8447108718701574,10356,12261,0.8446293124541229,0.008155941603449346
14,"system,user,assistant",system,13971,18326,0.7623594892502455,13958,18326,0.7616501145912911,0.07093746589544869
14,"system,user,assistant",user,7829,11132,0.7032878189004671,7820,11132,0.7024793388429752,0.08084800574919004
14,"system,user,assistant,tool",assistant,14601,15269,0.9562512279782566,14600,15269,0.9561857358045713,0.006549217368523319
14,"system,user,assistant,tool",system,7719,11588,0.6661201242664826,7715,11588,0.6657749395926821,0.034518467380051376
14,"system,user,assistant,tool",tool,9568,14974,0.6389742219847736,9561,14974,0.6385067450247095,0.0467476960064106
14,"system,user,assistant,tool",user,10215,11784,0.8668533604887984,10215,11784,0.8668533604887984,0.0
14,"system,user,cot,assistant",assistant,13566,15269,0.8884668282140284,13567,15269,0.8885323203877137,-0.006549217368523319
14,"system,user,cot,assistant",cot,10464,14974,0.6988112728729798,10468,14974,0.6990784025644451,-0.0267129691465251
14,"system,user,cot,assistant",system,8476,11588,0.731446323783224,8463,11588,0.7303244735933725,0.11218501898515587
14,"system,user,cot,assistant",user,10263,11784,0.8709266802443992,10264,11784,0.8710115410726409,-0.008486082824166186
14,"system,user,cot,assistant,tool",assistant,12716,14793,0.8595957547488677,12718,14793,0.8597309538295139,-0.013519908064618669
14,"system,user,cot,assistant,tool",cot,7235,13765,0.5256084271703596,7229,13765,0.525172539048311,0.043588812204864436
14,"system,user,cot,assistant,tool",system,4755,9414,0.5050987890376035,4756,9414,0.5052050138092203,-0.01062247716168141
14,"system,user,cot,assistant,tool",tool,8005,16909,0.4734165237447513,8009,16909,0.4736530841563664,-0.023656041161512764
14,"system,user,cot,assistant,tool",user,10486,12846,0.8162852249727541,10494,12846,0.8169079869219991,-0.06227619492449321
14,"user,assistant",assistant,12586,14408,0.8735424764019989,12586,14408,0.8735424764019989,0.0
14,"user,assistant",user,10979,11324,0.9695337336630167,10978,11324,0.9694454256446485,0.008830801836812174
14,"user,assistant,tool",assistant,10349,12261,0.8440583965418808,10347,12261,0.8438952777098117,0.016311883206909794
14,"user,assistant,tool",tool,9549,11132,0.857797340998922,9550,11132,0.8578871721164212,-0.008983111749916173
14,"user,assistant,tool",user,15376,18326,0.8390265196987886,15376,18326,0.8390265196987886,0.0
14,"user,cot,assistant",assistant,9707,12261,0.7916972514476797,9705,12261,0.7915341326156105,0.016311883206920896
14,"user,cot,assistant",cot,8996,11132,0.8081207330219188,9002,11132,0.8086597197269134,-0.05389867049946373
14,"user,cot,assistant",user,16108,18326,0.8789697697260722,16110,18326,0.8790789042889883,-0.010913456291605783
14,"user,cot,assistant,tool",assistant,13628,15269,0.8925273429825136,13622,15269,0.8921343899404022,0.039295304211139914
14,"user,cot,assistant,tool",cot,9612,14974,0.6419126485908909,9610,14974,0.6417790837451582,0.013356484573268101
14,"user,cot,assistant,tool",tool,7172,11784,0.608621860149355,7183,11784,0.6095553292600135,-0.09334691106585025
14,"user,cot,assistant,tool",user,9729,11588,0.8395754228512254,9731,11588,0.8397480151881257,-0.017259233690025688
16,"system,user,assistant",assistant,10406,12261,0.8487072832558519,10406,12261,0.8487072832558519,0.0
16,"system,user,assistant",system,16080,18326,0.8774418858452472,16077,18326,0.8772781840008731,0.016370184437408675
16,"system,user,assistant",user,10353,11132,0.9300215594681998,10354,11132,0.9301113905856989,-0.008983111749916173
16,"system,user,assistant,tool",assistant,14988,15269,0.9815966991944463,14990,15269,0.9817276835418167,-0.013098434737046638
16,"system,user,assistant,tool",system,9220,11588,0.795650673110114,9221,11588,0.7957369692785641,-0.008629616845012844
16,"system,user,assistant,tool",tool,11467,14974,0.7657940430078803,11466,14974,0.7657272605850141,0.0066782422866285
16,"system,user,assistant,tool",user,11089,11784,0.9410217243720299,11089,11784,0.9410217243720299,0.0
16,"system,user,cot,assistant",assistant,14425,15269,0.9447246054096535,14424,15269,0.9446591132359683,0.006549217368523319
16,"system,user,cot,assistant",cot,11926,14974,0.7964471751035127,11928,14974,0.7965807399492454,-0.013356484573268101
16,"system,user,cot,assistant",system,9929,11588,0.8568346565412496,9932,11588,0.8570935450466,-0.025888850535038532
16,"system,user,cot,assistant",user,11095,11784,0.94153088934148,11098,11784,0.941785471826205,-0.025458248472498557
16,"system,user,cot,assistant,tool",assistant,13342,14793,0.9019130669911445,13337,14793,0.9015750692895288,0.033799770161568876
16,"system,user,cot,assistant,tool",cot,8211,13765,0.5965128950236106,8213,13765,0.5966581910642935,-0.014529604068291846
16,"system,user,cot,assistant,tool",system,6363,9414,0.6759082217973231,6371,9414,0.6767580199702571,-0.08497981729339577
16,"system,user,cot,assistant,tool",tool,9235,16909,0.5461588503163995,9238,16909,0.5463362706251109,-0.01774203087113735
16,"system,user,cot,assistant,tool",user,11928,12846,0.9285380663241476,11933,12846,0.9289272925424257,-0.03892262182780826
16,"user,assistant",assistant,13738,14408,0.9534980566352027,13738,14408,0.9534980566352027,0.0
16,"user,assistant",user,11135,11324,0.9833097845284352,11135,11324,0.9833097845284352,0.0
16,"user,assistant,tool",assistant,10268,12261,0.8374520838430797,10269,12261,0.8375336432591143,-0.008155941603460448
16,"user,assistant,tool",tool,10466,11132,0.9401724757455983,10467,11132,0.9402623068630974,-0.008983111749916173
16,"user,assistant,tool",user,17255,18326,0.9415584415584416,17255,18326,0.9415584415584416,0.0
16,"user,cot,assistant",assistant,9975,12261,0.8135551749449474,9975,12261,0.8135551749449474,0.0
16,"user,cot,assistant",cot,10187,11132,0.9151095939633489,10185,11132,0.9149299317283507,0.017966223499821243
16,"user,cot,assistant",user,17528,18326,0.9564553093964858,17529,18326,0.956509876677944,-0.005456728145813994
16,"user,cot,assistant,tool",assistant,14406,15269,0.9434802541096339,14407,15269,0.9435457462833191,-0.006549217368523319
16,"user,cot,assistant,tool",cot,10877,14974,0.7263924135167624,10882,14974,0.7267263256310939,-0.0333912114331425
