prompt_id,kind,split,available_arm_columns,arm_001,arm_002
87,harmful,holdout,1,,242
9,harmful,holdout,1,,243
6,harmful,holdout,1,,244
222,harmful,holdout,1,,245
243,harmful,holdout,1,,246
248,harmful,holdout,1,,247
254,harmful,holdout,1,,248
256,harmful,holdout,1,,249
312,harmful,holdout,1,,250
258,harmful,holdout,1,,251
103,harmful,holdout,1,,252
217,harmful,holdout,1,,253
149,harmful,holdout,1,,254
139,harmful,holdout,1,,255
67,harmful,holdout,1,,256
3,harmful,holdout,1,,257
56,harmful,holdout,1,,258
233,harmful,holdout,1,,259
51,harmful,holdout,1,,260
1,harmful,holdout,1,,261
18,harmful,holdout,1,,262
25,harmful,holdout,1,,263
183,harmful,holdout,1,,264
186,harmful,holdout,1,,265
43,harmful,holdout,1,,266
129,harmful,holdout,1,,267
244,harmful,holdout,1,,268
255,harmful,holdout,1,,269
293,harmful,holdout,1,,270
154,harmful,holdout,1,,271
70,harmful,holdout,1,,272
284,harmful,holdout,1,,273
158,harmful,holdout,1,,274
295,harmful,holdout,1,,275
271,harmful,holdout,1,,276
146,harmful,holdout,1,,277
205,harmful,holdout,1,,278
64,harmful,holdout,1,,279
308,harmful,holdout,1,,280
168,harmful,holdout,1,,281
76,harmful,holdout,1,,282
118,harmful,holdout,1,,283
213,harmful,holdout,1,,284
180,harmful,holdout,1,,285
99,harmful,holdout,1,,286
135,harmful,holdout,1,,287
176,harmful,holdout,1,,288
300,harmful,holdout,1,,289
84,harmful,holdout,1,,290
39,harmful,holdout,1,,291
2,harmful,holdout,1,,292
68,harmful,holdout,1,,293
208,harmful,holdout,1,,294
303,harmful,holdout,1,,295
253,harmful,holdout,1,,296
111,harmful,holdout,1,,297
224,harmful,holdout,1,,298
32,harmful,holdout,1,,299
73,harmful,holdout,1,,300
47,harmful,holdout,1,,301
126,harmful,holdout,1,,302
113,harmful,holdout,1,,303
96,harmful,holdout,1,,304
225,harmful,holdout,1,,305
214,harmful,holdout,1,,306
57,harmful,holdout,1,,307
123,harmful,holdout,1,,308
106,harmful,holdout,1,,309
83,harmful,holdout,1,,310
17,harmful,holdout,1,,311
230,harmful,holdout,1,,312
98,harmful,holdout,1,,313
