prompt_ix,passage_ix,condition,sampled_tokens,rendered_tokens
92,13,outer_user,128,224
93,13,outer_assistant,128,224
94,13,nested_user,128,357
95,13,nested_tool,128,374
96,13,nested_cot,128,255
97,13,nested_assistant,128,252
98,14,outer_system,128,838
99,14,outer_user,128,838
100,14,outer_assistant,128,838
101,14,nested_user,128,971
102,14,nested_tool,128,988
103,14,nested_cot,128,869
104,14,nested_assistant,128,866
105,15,outer_system,99,104
106,15,outer_user,99,104
107,15,outer_assistant,99,104
108,15,nested_user,99,237
109,15,nested_tool,99,254
110,15,nested_cot,99,135
111,15,nested_assistant,99,132
112,16,outer_system,128,279
113,16,outer_user,128,279
114,16,outer_assistant,128,279
115,16,nested_user,128,412
116,16,nested_tool,128,429
117,16,nested_cot,128,310
118,16,nested_assistant,128,307
119,17,outer_system,128,440
120,17,outer_user,128,440
121,17,outer_assistant,128,440
122,17,nested_user,128,573
123,17,nested_tool,128,590
124,17,nested_cot,128,471
125,17,nested_assistant,128,468
126,18,outer_system,128,325
127,18,outer_user,128,325
128,18,outer_assistant,128,325
129,18,nested_user,128,458
130,18,nested_tool,128,475
131,18,nested_cot,128,356
132,18,nested_assistant,128,353
133,19,outer_system,53,58
134,19,outer_user,53,58
135,19,outer_assistant,53,58
136,19,nested_user,53,191
137,19,nested_tool,53,208
138,19,nested_cot,53,89
139,19,nested_assistant,53,86
140,20,outer_system,128,305
141,20,outer_user,128,305
142,20,outer_assistant,128,305
143,20,nested_user,128,438
144,20,nested_tool,128,455
145,20,nested_cot,128,336
146,20,nested_assistant,128,333
147,21,outer_system,128,231
148,21,outer_user,128,231
149,21,outer_assistant,128,231
150,21,nested_user,128,364
151,21,nested_tool,128,381
152,21,nested_cot,128,262
153,21,nested_assistant,128,259
154,22,outer_system,53,58
155,22,outer_user,53,58
156,22,outer_assistant,53,58
157,22,nested_user,53,191
158,22,nested_tool,53,208
159,22,nested_cot,53,89
160,22,nested_assistant,53,86
161,23,outer_system,128,1029
162,23,outer_user,128,1029
163,23,outer_assistant,128,1029
164,23,nested_user,128,1162
165,23,nested_tool,128,1180
166,23,nested_cot,128,1061
167,23,nested_assistant,128,1057
168,24,outer_system,128,206
169,24,outer_user,128,206
170,24,outer_assistant,128,206
171,24,nested_user,128,339
172,24,nested_tool,128,356
173,24,nested_cot,128,237
174,24,nested_assistant,128,234
175,25,outer_system,128,318
176,25,outer_user,128,318
177,25,outer_assistant,128,318
178,25,nested_user,128,451
179,25,nested_tool,128,468
180,25,nested_cot,128,349
181,25,nested_assistant,128,346
182,26,outer_system,78,83
183,26,outer_user,78,83
184,26,outer_assistant,78,83
185,26,nested_user,78,216
186,26,nested_tool,78,233
187,26,nested_cot,78,114
188,26,nested_assistant,78,111
189,27,outer_system,128,229
190,27,outer_user,128,229
191,27,outer_assistant,128,229
192,27,nested_user,128,362
193,27,nested_tool,128,380
194,27,nested_cot,128,261
195,27,nested_assistant,128,257
196,28,outer_system,128,342
197,28,outer_user,128,342
198,28,outer_assistant,128,342
199,28,nested_user,128,475
200,28,nested_tool,128,493
201,28,nested_cot,128,374
202,28,nested_assistant,128,370
203,29,outer_system,128,1029
204,29,outer_user,128,1029
205,29,outer_assistant,128,1029
206,29,nested_user,128,1162
207,29,nested_tool,128,1180
208,29,nested_cot,128,1061
209,29,nested_assistant,128,1057
210,30,outer_system,38,43
211,30,outer_user,38,43
212,30,outer_assistant,38,43
213,30,nested_user,38,176
214,30,nested_tool,38,193
215,30,nested_cot,38,74
216,30,nested_assistant,38,71
217,31,outer_system,69,74
218,31,outer_user,69,74
219,31,outer_assistant,69,74
220,31,nested_user,69,207
221,31,nested_tool,69,224
222,31,nested_cot,69,105
223,31,nested_assistant,69,102
224,32,outer_system,128,283
225,32,outer_user,128,283
226,32,outer_assistant,128,283
227,32,nested_user,128,416
228,32,nested_tool,128,433
229,32,nested_cot,128,314
230,32,nested_assistant,128,311
231,33,outer_system,63,68
232,33,outer_user,63,68
233,33,outer_assistant,63,68
234,33,nested_user,63,201
235,33,nested_tool,63,218
236,33,nested_cot,63,99
237,33,nested_assistant,63,96
238,34,outer_system,47,52
239,34,outer_user,47,52
240,34,outer_assistant,47,52
241,34,nested_user,47,185
242,34,nested_tool,47,202
243,34,nested_cot,47,83
244,34,nested_assistant,47,80
245,35,outer_system,128,172
246,35,outer_user,128,172
247,35,outer_assistant,128,172
248,35,nested_user,128,305
249,35,nested_tool,128,322
250,35,nested_cot,128,203
251,35,nested_assistant,128,200
252,36,outer_system,128,779
253,36,outer_user,128,779
254,36,outer_assistant,128,779
255,36,nested_user,128,912
256,36,nested_tool,128,929
257,36,nested_cot,128,810
258,36,nested_assistant,128,807
259,37,outer_system,128,136
260,37,outer_user,128,136
261,37,outer_assistant,128,136
262,37,nested_user,128,269
263,37,nested_tool,128,286
264,37,nested_cot,128,167
265,37,nested_assistant,128,164
266,38,outer_system,128,264
267,38,outer_user,128,264
268,38,outer_assistant,128,264
269,38,nested_user,128,397
270,38,nested_tool,128,414
271,38,nested_cot,128,295
272,38,nested_assistant,128,292
273,39,outer_system,128,845
274,39,outer_user,128,845
275,39,outer_assistant,128,845
276,39,nested_user,128,978
277,39,nested_tool,128,995
278,39,nested_cot,128,876
279,39,nested_assistant,128,873
280,40,outer_system,115,120
281,40,outer_user,115,120
282,40,outer_assistant,115,120
283,40,nested_user,115,253
284,40,nested_tool,115,270
285,40,nested_cot,115,151
286,40,nested_assistant,115,148
287,41,outer_system,128,670
288,41,outer_user,128,670
289,41,outer_assistant,128,670
290,41,nested_user,128,803
291,41,nested_tool,128,820
292,41,nested_cot,128,701
293,41,nested_assistant,128,698
294,42,outer_system,128,453
295,42,outer_user,128,453
296,42,outer_assistant,128,453
297,42,nested_user,128,586
298,42,nested_tool,128,603
299,42,nested_cot,128,484
300,42,nested_assistant,128,481
301,43,outer_system,128,441
302,43,outer_user,128,441
303,43,outer_assistant,128,441
304,43,nested_user,128,574
305,43,nested_tool,128,591
306,43,nested_cot,128,472
307,43,nested_assistant,128,469
308,44,outer_system,128,516
309,44,outer_user,128,516
310,44,outer_assistant,128,516
311,44,nested_user,128,649
312,44,nested_tool,128,666
313,44,nested_cot,128,547
314,44,nested_assistant,128,544
315,45,outer_system,128,171
316,45,outer_user,128,171
317,45,outer_assistant,128,171
318,45,nested_user,128,304
319,45,nested_tool,128,321
320,45,nested_cot,128,202
321,45,nested_assistant,128,199
322,46,outer_system,128,567
323,46,outer_user,128,567
324,46,outer_assistant,128,567
325,46,nested_user,128,700
326,46,nested_tool,128,717
327,46,nested_cot,128,598
328,46,nested_assistant,128,595
329,47,outer_system,128,437
330,47,outer_user,128,437
331,47,outer_assistant,128,437
332,47,nested_user,128,570
333,47,nested_tool,128,587
334,47,nested_cot,128,468
335,47,nested_assistant,128,465
336,48,outer_system,128,411
337,48,outer_user,128,411
338,48,outer_assistant,128,411
339,48,nested_user,128,544
340,48,nested_tool,128,561
341,48,nested_cot,128,442
342,48,nested_assistant,128,439
343,49,outer_system,128,389
344,49,outer_user,128,389
345,49,outer_assistant,128,389
346,49,nested_user,128,522
347,49,nested_tool,128,539
348,49,nested_cot,128,420
349,49,nested_assistant,128,417
350,50,outer_system,128,1029
351,50,outer_user,128,1029
352,50,outer_assistant,128,1029
353,50,nested_user,128,1162
354,50,nested_tool,128,1180
355,50,nested_cot,128,1061
356,50,nested_assistant,128,1057
357,51,outer_system,96,101
358,51,outer_user,96,101
359,51,outer_assistant,96,101
360,51,nested_user,96,234
361,51,nested_tool,96,251
362,51,nested_cot,96,132
363,51,nested_assistant,96,129
364,52,outer_system,128,690
365,52,outer_user,128,690
366,52,outer_assistant,128,690
367,52,nested_user,128,823
368,52,nested_tool,128,840
369,52,nested_cot,128,721
370,52,nested_assistant,128,718
371,53,outer_system,44,49
372,53,outer_user,44,49
373,53,outer_assistant,44,49
374,53,nested_user,44,182
375,53,nested_tool,44,199
376,53,nested_cot,44,80
377,53,nested_assistant,44,77
378,54,outer_system,104,109
379,54,outer_user,104,109
380,54,outer_assistant,104,109
381,54,nested_user,104,242
382,54,nested_tool,104,259
383,54,nested_cot,104,140
384,54,nested_assistant,104,137
385,55,outer_system,128,1029
386,55,outer_user,128,1029
387,55,outer_assistant,128,1029
388,55,nested_user,128,1162
389,55,nested_tool,128,1180
390,55,nested_cot,128,1061
391,55,nested_assistant,128,1057
392,56,outer_system,67,72
393,56,outer_user,67,72
394,56,outer_assistant,67,72
395,56,nested_user,67,205
396,56,nested_tool,67,222
397,56,nested_cot,67,103
398,56,nested_assistant,67,100
399,57,outer_system,121,126
400,57,outer_user,121,126
401,57,outer_assistant,121,126
402,57,nested_user,121,259
403,57,nested_tool,121,276
404,57,nested_cot,121,157
405,57,nested_assistant,121,154
406,58,outer_system,128,464
407,58,outer_user,128,464
408,58,outer_assistant,128,464
409,58,nested_user,128,597
410,58,nested_tool,128,614
411,58,nested_cot,128,495
412,58,nested_assistant,128,492
413,59,outer_system,55,60
414,59,outer_user,55,60
415,59,outer_assistant,55,60
416,59,nested_user,55,193
417,59,nested_tool,55,210
418,59,nested_cot,55,91
419,59,nested_assistant,55,88
420,60,outer_system,128,455
421,60,outer_user,128,455
422,60,outer_assistant,128,455
423,60,nested_user,128,588
424,60,nested_tool,128,605
425,60,nested_cot,128,486
426,60,nested_assistant,128,483
427,61,outer_system,128,176
428,61,outer_user,128,176
429,61,outer_assistant,128,176
430,61,nested_user,128,309
431,61,nested_tool,128,326
432,61,nested_cot,128,207
433,61,nested_assistant,128,204
434,62,outer_system,128,439
435,62,outer_user,128,439
436,62,outer_assistant,128,439
437,62,nested_user,128,572
438,62,nested_tool,128,590
439,62,nested_cot,128,471
440,62,nested_assistant,128,467
441,63,outer_system,128,388
442,63,outer_user,128,388
443,63,outer_assistant,128,388
444,63,nested_user,128,521
445,63,nested_tool,128,538
446,63,nested_cot,128,419
447,63,nested_assistant,128,416
448,64,outer_system,128,457
449,64,outer_user,128,457
450,64,outer_assistant,128,457
451,64,nested_user,128,590
452,64,nested_tool,128,608
453,64,nested_cot,128,489
454,64,nested_assistant,128,485
455,65,outer_system,128,355
456,65,outer_user,128,355
457,65,outer_assistant,128,355
458,65,nested_user,128,488
459,65,nested_tool,128,506
460,65,nested_cot,128,387
461,65,nested_assistant,128,383
462,66,outer_system,128,799
463,66,outer_user,128,799
464,66,outer_assistant,128,799
465,66,nested_user,128,932
466,66,nested_tool,128,950
467,66,nested_cot,128,831
468,66,nested_assistant,128,827
469,67,outer_system,128,693
470,67,outer_user,128,693
471,67,outer_assistant,128,693
472,67,nested_user,128,826
473,67,nested_tool,128,843
474,67,nested_cot,128,724
475,67,nested_assistant,128,721
476,68,outer_system,128,199
477,68,outer_user,128,199
478,68,outer_assistant,128,199
479,68,nested_user,128,332
480,68,nested_tool,128,350
481,68,nested_cot,128,231
482,68,nested_assistant,128,227
483,69,outer_system,128,255
484,69,outer_user,128,255
485,69,outer_assistant,128,255
486,69,nested_user,128,388
487,69,nested_tool,128,406
488,69,nested_cot,128,287
489,69,nested_assistant,128,283
490,70,outer_system,125,130
491,70,outer_user,125,130
492,70,outer_assistant,125,130
493,70,nested_user,125,263
494,70,nested_tool,125,281
495,70,nested_cot,125,162
496,70,nested_assistant,125,158
497,71,outer_system,128,887
498,71,outer_user,128,887
499,71,outer_assistant,128,887
500,71,nested_user,128,1020
501,71,nested_tool,128,1037
502,71,nested_cot,128,918
503,71,nested_assistant,128,915
504,72,outer_system,128,1029
505,72,outer_user,128,1029
506,72,outer_assistant,128,1029
507,72,nested_user,128,1162
508,72,nested_tool,128,1180
509,72,nested_cot,128,1061
510,72,nested_assistant,128,1057
511,73,outer_system,128,1029
512,73,outer_user,128,1029
513,73,outer_assistant,128,1029
514,73,nested_user,128,1162
515,73,nested_tool,128,1180
516,73,nested_cot,128,1061
517,73,nested_assistant,128,1057
518,74,outer_system,128,1029
519,74,outer_user,128,1029
520,74,outer_assistant,128,1029
521,74,nested_user,128,1162
522,74,nested_tool,128,1179
523,74,nested_cot,128,1060
524,74,nested_assistant,128,1057
525,75,outer_system,128,230
526,75,outer_user,128,230
527,75,outer_assistant,128,230
528,75,nested_user,128,363
529,75,nested_tool,128,381
530,75,nested_cot,128,262
531,75,nested_assistant,128,258
532,76,outer_system,128,869
533,76,outer_user,128,869
534,76,outer_assistant,128,869
535,76,nested_user,128,1002
536,76,nested_tool,128,1020
537,76,nested_cot,128,901
538,76,nested_assistant,128,897
539,77,outer_system,128,1029
540,77,outer_user,128,1029
541,77,outer_assistant,128,1029
542,77,nested_user,128,1162
543,77,nested_tool,128,1179
544,77,nested_cot,128,1060
545,77,nested_assistant,128,1057
546,78,outer_system,128,842
547,78,outer_user,128,842
548,78,outer_assistant,128,842
549,78,nested_user,128,975
550,78,nested_tool,128,992
551,78,nested_cot,128,873
552,78,nested_assistant,128,870
553,79,outer_system,128,710
554,79,outer_user,128,710
555,79,outer_assistant,128,710
556,79,nested_user,128,843
557,79,nested_tool,128,860
558,79,nested_cot,128,741
559,79,nested_assistant,128,738
560,80,outer_system,128,953
561,80,outer_user,128,953
562,80,outer_assistant,128,953
563,80,nested_user,128,1086
564,80,nested_tool,128,1103
565,80,nested_cot,128,984
566,80,nested_assistant,128,981
567,81,outer_system,128,400
568,81,outer_user,128,400
569,81,outer_assistant,128,400
570,81,nested_user,128,533
571,81,nested_tool,128,550
572,81,nested_cot,128,431
573,81,nested_assistant,128,428
574,82,outer_system,128,772
575,82,outer_user,128,772
576,82,outer_assistant,128,772
577,82,nested_user,128,905
578,82,nested_tool,128,922
579,82,nested_cot,128,803
580,82,nested_assistant,128,800
581,83,outer_system,128,913
582,83,outer_user,128,913
583,83,outer_assistant,128,913
584,83,nested_user,128,1046
585,83,nested_tool,128,1064
586,83,nested_cot,128,945
587,83,nested_assistant,128,941
588,84,outer_system,128,587
589,84,outer_user,128,587
590,84,outer_assistant,128,587
591,84,nested_user,128,720
592,84,nested_tool,128,738
593,84,nested_cot,128,619
594,84,nested_assistant,128,615
595,85,outer_system,128,961
596,85,outer_user,128,961
597,85,outer_assistant,128,961
598,85,nested_user,128,1094
599,85,nested_tool,128,1112
600,85,nested_cot,128,993
601,85,nested_assistant,128,989
602,86,outer_system,128,1029
603,86,outer_user,128,1029
604,86,outer_assistant,128,1029
605,86,nested_user,128,1162
606,86,nested_tool,128,1180
607,86,nested_cot,128,1061
608,86,nested_assistant,128,1057
609,87,outer_system,128,759
610,87,outer_user,128,759
611,87,outer_assistant,128,759
612,87,nested_user,128,892
613,87,nested_tool,128,909
614,87,nested_cot,128,790
615,87,nested_assistant,128,787
616,88,outer_system,128,1029
617,88,outer_user,128,1029
618,88,outer_assistant,128,1029
619,88,nested_user,128,1162
620,88,nested_tool,128,1180
621,88,nested_cot,128,1061
622,88,nested_assistant,128,1057
623,89,outer_system,128,551
624,89,outer_user,128,551
625,89,outer_assistant,128,551
626,89,nested_user,128,684
627,89,nested_tool,128,702
628,89,nested_cot,128,583
629,89,nested_assistant,128,579
630,90,outer_system,128,307
631,90,outer_user,128,307
632,90,outer_assistant,128,307
633,90,nested_user,128,440
634,90,nested_tool,128,458
635,90,nested_cot,128,339
636,90,nested_assistant,128,335
637,91,outer_system,128,1028
638,91,outer_user,128,1028
639,91,outer_assistant,128,1028
640,91,nested_user,128,1161
641,91,nested_tool,128,1179
642,91,nested_cot,128,1060
643,91,nested_assistant,128,1056
644,92,outer_system,128,781
645,92,outer_user,128,781
646,92,outer_assistant,128,781
647,92,nested_user,128,914
648,92,nested_tool,128,932
649,92,nested_cot,128,813
650,92,nested_assistant,128,809
651,93,outer_system,128,181
652,93,outer_user,128,181
653,93,outer_assistant,128,181
654,93,nested_user,128,314
655,93,nested_tool,128,331
656,93,nested_cot,128,212
657,93,nested_assistant,128,209
658,94,outer_system,128,1029
659,94,outer_user,128,1029
660,94,outer_assistant,128,1029
661,94,nested_user,128,1162
662,94,nested_tool,128,1180
663,94,nested_cot,128,1061
664,94,nested_assistant,128,1057
665,95,outer_system,128,1029
666,95,outer_user,128,1029
667,95,outer_assistant,128,1029
668,95,nested_user,128,1162
669,95,nested_tool,128,1180
670,95,nested_cot,128,1061
671,95,nested_assistant,128,1057
672,96,outer_system,128,132
673,96,outer_user,128,132
674,96,outer_assistant,128,132
675,96,nested_user,128,265
676,96,nested_tool,128,283
677,96,nested_cot,128,164
678,96,nested_assistant,128,160
679,97,outer_system,128,884
680,97,outer_user,128,884
681,97,outer_assistant,128,884
682,97,nested_user,128,1017
683,97,nested_tool,128,1035
684,97,nested_cot,128,916
685,97,nested_assistant,128,912
686,98,outer_system,128,1028
687,98,outer_user,128,1028
688,98,outer_assistant,128,1028
689,98,nested_user,128,1161
690,98,nested_tool,128,1179
691,98,nested_cot,128,1060
692,98,nested_assistant,128,1056
693,99,outer_system,128,382
694,99,outer_user,128,382
695,99,outer_assistant,128,382
696,99,nested_user,128,515
697,99,nested_tool,128,532
698,99,nested_cot,128,413
699,99,nested_assistant,128,410
700,100,outer_system,128,1029
701,100,outer_user,128,1029
702,100,outer_assistant,128,1029
703,100,nested_user,128,1162
704,100,nested_tool,128,1180
705,100,nested_cot,128,1061
706,100,nested_assistant,128,1057
707,101,outer_system,128,467
708,101,outer_user,128,467
709,101,outer_assistant,128,467
710,101,nested_user,128,600
711,101,nested_tool,128,618
712,101,nested_cot,128,499
713,101,nested_assistant,128,495
714,102,outer_system,128,282
715,102,outer_user,128,282
716,102,outer_assistant,128,282
717,102,nested_user,128,415
718,102,nested_tool,128,433
719,102,nested_cot,128,314
720,102,nested_assistant,128,310
721,103,outer_system,128,876
722,103,outer_user,128,876
723,103,outer_assistant,128,876
724,103,nested_user,128,1009
725,103,nested_tool,128,1026
726,103,nested_cot,128,907
727,103,nested_assistant,128,904
728,104,outer_system,128,651
729,104,outer_user,128,651
730,104,outer_assistant,128,651
731,104,nested_user,128,784
732,104,nested_tool,128,801
733,104,nested_cot,128,682
734,104,nested_assistant,128,679
735,105,outer_system,128,154
736,105,outer_user,128,154
737,105,outer_assistant,128,154
738,105,nested_user,128,287
739,105,nested_tool,128,304
740,105,nested_cot,128,185
741,105,nested_assistant,128,182
742,106,outer_system,128,264
743,106,outer_user,128,264
744,106,outer_assistant,128,264
745,106,nested_user,128,397
746,106,nested_tool,128,414
747,106,nested_cot,128,295
748,106,nested_assistant,128,292
749,107,outer_system,128,1029
750,107,outer_user,128,1029
751,107,outer_assistant,128,1029
752,107,nested_user,128,1162
753,107,nested_tool,128,1180
754,107,nested_cot,128,1061
755,107,nested_assistant,128,1057
756,108,outer_system,128,1029
757,108,outer_user,128,1029
758,108,outer_assistant,128,1029
759,108,nested_user,128,1162
760,108,nested_tool,128,1180
761,108,nested_cot,128,1061
762,108,nested_assistant,128,1057
763,109,outer_system,128,524
764,109,outer_user,128,524
765,109,outer_assistant,128,524
766,109,nested_user,128,657
767,109,nested_tool,128,675
768,109,nested_cot,128,556
769,109,nested_assistant,128,552
770,110,outer_system,128,401
771,110,outer_user,128,401
772,110,outer_assistant,128,401
773,110,nested_user,128,534
774,110,nested_tool,128,551
775,110,nested_cot,128,432
776,110,nested_assistant,128,429
777,111,outer_system,128,415
778,111,outer_user,128,415
779,111,outer_assistant,128,415
780,111,nested_user,128,548
781,111,nested_tool,128,566
782,111,nested_cot,128,447
783,111,nested_assistant,128,443
784,112,outer_system,128,1005
785,112,outer_user,128,1005
786,112,outer_assistant,128,1005
787,112,nested_user,128,1138
788,112,nested_tool,128,1155
789,112,nested_cot,128,1036
790,112,nested_assistant,128,1033
791,113,outer_system,128,1028
792,113,outer_user,128,1028
793,113,outer_assistant,128,1028
794,113,nested_user,128,1161
795,113,nested_tool,128,1178
796,113,nested_cot,128,1059
797,113,nested_assistant,128,1056
798,114,outer_system,128,1029
799,114,outer_user,128,1029
800,114,outer_assistant,128,1029
801,114,nested_user,128,1162
802,114,nested_tool,128,1180
803,114,nested_cot,128,1061
804,114,nested_assistant,128,1057
805,115,outer_system,15,20
806,115,outer_user,15,20
807,115,outer_assistant,15,20
808,115,nested_user,15,153
809,115,nested_tool,15,170
810,115,nested_cot,15,51
811,115,nested_assistant,15,48
812,116,outer_system,128,548
813,116,outer_user,128,548
814,116,outer_assistant,128,548
815,116,nested_user,128,681
816,116,nested_tool,128,699
817,116,nested_cot,128,580
818,116,nested_assistant,128,576
819,117,outer_system,128,391
820,117,outer_user,128,391
821,117,outer_assistant,128,391
822,117,nested_user,128,524
823,117,nested_tool,128,542
824,117,nested_cot,128,423
825,117,nested_assistant,128,419
826,118,outer_system,128,1029
827,118,outer_user,128,1029
828,118,outer_assistant,128,1029
829,118,nested_user,128,1162
830,118,nested_tool,128,1180
831,118,nested_cot,128,1061
832,118,nested_assistant,128,1057
833,119,outer_system,128,932
834,119,outer_user,128,932
835,119,outer_assistant,128,932
836,119,nested_user,128,1065
837,119,nested_tool,128,1082
838,119,nested_cot,128,963
839,119,nested_assistant,128,960
840,120,outer_system,128,184
841,120,outer_user,128,184
842,120,outer_assistant,128,184
843,120,nested_user,128,317
844,120,nested_tool,128,335
845,120,nested_cot,128,216
846,120,nested_assistant,128,212
847,121,outer_system,128,659
848,121,outer_user,128,659
849,121,outer_assistant,128,659
850,121,nested_user,128,792
851,121,nested_tool,128,810
852,121,nested_cot,128,691
853,121,nested_assistant,128,687
854,122,outer_system,128,799
855,122,outer_user,128,799
856,122,outer_assistant,128,799
857,122,nested_user,128,932
858,122,nested_tool,128,949
859,122,nested_cot,128,830
860,122,nested_assistant,128,827
861,123,outer_system,128,1029
862,123,outer_user,128,1029
863,123,outer_assistant,128,1029
864,123,nested_user,128,1162
865,123,nested_tool,128,1180
866,123,nested_cot,128,1061
867,123,nested_assistant,128,1057
868,124,outer_system,128,181
869,124,outer_user,128,181
870,124,outer_assistant,128,181
871,124,nested_user,128,314
872,124,nested_tool,128,331
873,124,nested_cot,128,212
874,124,nested_assistant,128,209
875,125,outer_system,128,1028
876,125,outer_user,128,1028
877,125,outer_assistant,128,1028
878,125,nested_user,128,1161
879,125,nested_tool,128,1179
880,125,nested_cot,128,1060
881,125,nested_assistant,128,1056
882,126,outer_system,128,833
883,126,outer_user,128,833
884,126,outer_assistant,128,833
885,126,nested_user,128,966
886,126,nested_tool,128,984
887,126,nested_cot,128,865
888,126,nested_assistant,128,861
889,127,outer_system,128,133
890,127,outer_user,128,133
891,127,outer_assistant,128,133
892,127,nested_user,128,266
893,127,nested_tool,128,284
894,127,nested_cot,128,165
895,127,nested_assistant,128,161
896,128,outer_system,128,1029
897,128,outer_user,128,1029
898,128,outer_assistant,128,1029
899,128,nested_user,128,1162
900,128,nested_tool,128,1180
901,128,nested_cot,128,1061
902,128,nested_assistant,128,1057
903,129,outer_system,128,1029
904,129,outer_user,128,1029
905,129,outer_assistant,128,1029
906,129,nested_user,128,1162
907,129,nested_tool,128,1180
908,129,nested_cot,128,1061
909,129,nested_assistant,128,1057
910,130,outer_system,128,1029
911,130,outer_user,128,1029
912,130,outer_assistant,128,1029
913,130,nested_user,128,1162
914,130,nested_tool,128,1180
915,130,nested_cot,128,1061
916,130,nested_assistant,128,1057
917,131,outer_system,128,285
918,131,outer_user,128,285
919,131,outer_assistant,128,285
920,131,nested_user,128,418
921,131,nested_tool,128,435
922,131,nested_cot,128,316
923,131,nested_assistant,128,313
924,132,outer_system,128,1028
925,132,outer_user,128,1028
926,132,outer_assistant,128,1028
927,132,nested_user,128,1161
928,132,nested_tool,128,1178
929,132,nested_cot,128,1059
930,132,nested_assistant,128,1056
931,133,outer_system,128,320
932,133,outer_user,128,320
933,133,outer_assistant,128,320
934,133,nested_user,128,453
935,133,nested_tool,128,470
936,133,nested_cot,128,351
937,133,nested_assistant,128,348
938,134,outer_system,128,1029
939,134,outer_user,128,1029
940,134,outer_assistant,128,1029
941,134,nested_user,128,1162
942,134,nested_tool,128,1180
943,134,nested_cot,128,1061
944,134,nested_assistant,128,1057
945,135,outer_system,128,213
946,135,outer_user,128,213
947,135,outer_assistant,128,213
948,135,nested_user,128,346
949,135,nested_tool,128,363
950,135,nested_cot,128,244
951,135,nested_assistant,128,241
952,136,outer_system,128,236
953,136,outer_user,128,236
954,136,outer_assistant,128,236
955,136,nested_user,128,369
956,136,nested_tool,128,386
957,136,nested_cot,128,267
958,136,nested_assistant,128,264
959,137,outer_system,128,392
960,137,outer_user,128,392
961,137,outer_assistant,128,392
962,137,nested_user,128,525
963,137,nested_tool,128,542
964,137,nested_cot,128,423
965,137,nested_assistant,128,420
966,138,outer_system,128,334
967,138,outer_user,128,334
968,138,outer_assistant,128,334
969,138,nested_user,128,467
970,138,nested_tool,128,484
971,138,nested_cot,128,365
972,138,nested_assistant,128,362
973,139,outer_system,128,439
974,139,outer_user,128,439
975,139,outer_assistant,128,439
976,139,nested_user,128,572
977,139,nested_tool,128,589
978,139,nested_cot,128,470
979,139,nested_assistant,128,467
980,140,outer_system,128,843
981,140,outer_user,128,843
982,140,outer_assistant,128,843
983,140,nested_user,128,976
984,140,nested_tool,128,994
985,140,nested_cot,128,875
986,140,nested_assistant,128,871
987,141,outer_system,128,263
988,141,outer_user,128,263
