prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
53,10,10,c4,cot,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,20,594,15,False
54,10,10,c4,assistant,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,23,595,15,False
55,11,11,c4,system,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,94,235,91,False
56,11,11,c4,user,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,94,235,91,False
57,11,11,c4,tool,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,96,238,91,False
58,11,11,c4,cot,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,96,239,91,False
59,11,11,c4,assistant,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,99,240,91,False
60,12,12,c4,system,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,10,566,7,False
61,12,12,c4,user,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,10,566,7,False
62,12,12,c4,tool,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,12,569,7,False
63,12,12,c4,cot,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,12,570,7,False
64,12,12,c4,assistant,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,15,571,7,False
65,13,13,c4,system,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,52,273,49,False
66,13,13,c4,user,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,52,273,49,False
67,13,13,c4,tool,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,54,276,49,False
68,13,13,c4,cot,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,54,277,49,False
69,13,13,c4,assistant,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,57,278,49,False
70,14,14,c4,system,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,79,914,76,False
71,14,14,c4,user,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,79,914,76,False
72,14,14,c4,tool,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,81,917,76,False
73,14,14,c4,cot,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,81,918,76,False
74,14,14,c4,assistant,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,84,919,76,False
75,15,15,c4,system,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,116,217,113,False
76,15,15,c4,user,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,116,217,113,False
77,15,15,c4,tool,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,118,220,113,False
78,15,15,c4,cot,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,118,221,113,False
79,15,15,c4,assistant,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,121,222,113,False
80,16,16,c4,system,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,3,279,0,False
81,16,16,c4,user,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,3,279,0,False
82,16,16,c4,tool,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,5,282,0,False
83,16,16,c4,cot,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,5,283,0,False
84,16,16,c4,assistant,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,7,283,0,False
85,17,17,c4,system,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,65,502,62,False
86,17,17,c4,user,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,65,502,62,False
87,17,17,c4,tool,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,67,505,62,False
88,17,17,c4,cot,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,67,506,62,False
89,17,17,c4,assistant,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,70,507,62,False
90,18,18,c4,system,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,51,373,48,False
91,18,18,c4,user,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,51,373,48,False
92,18,18,c4,tool,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,53,376,48,False
93,18,18,c4,cot,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,53,377,48,False
94,18,18,c4,assistant,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,56,378,48,False
95,19,19,c4,system,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,25,80,22,False
96,19,19,c4,user,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,25,80,22,False
97,19,19,c4,tool,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,27,83,22,False
98,19,19,c4,cot,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,27,84,22,False
99,19,19,c4,assistant,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,30,85,22,False
100,20,20,c4,system,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,11,313,8,False
101,20,20,c4,user,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,11,313,8,False
102,20,20,c4,tool,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,13,316,8,False
103,20,20,c4,cot,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,13,317,8,False
104,20,20,c4,assistant,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,16,318,8,False
105,21,21,c4,system,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,17,245,14,False
106,21,21,c4,user,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,17,245,14,False
107,21,21,c4,tool,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,19,248,14,False
108,21,21,c4,cot,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,19,249,14,False
109,21,21,c4,assistant,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,22,250,14,False
110,22,22,c4,system,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,23,78,20,False
111,22,22,c4,user,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,23,78,20,False
112,22,22,c4,tool,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,25,81,20,False
113,22,22,c4,cot,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,25,82,20,False
114,22,22,c4,assistant,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,28,83,20,False
115,23,23,c4,system,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,56,1082,53,True
116,23,23,c4,user,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,56,1082,53,True
117,23,23,c4,tool,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,58,1086,53,True
118,23,23,c4,cot,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,58,1087,53,True
119,23,23,c4,assistant,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,60,1086,53,True
120,24,24,c4,system,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,14,217,11,False
121,24,24,c4,user,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,14,217,11,False
122,24,24,c4,tool,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,16,220,11,False
123,24,24,c4,cot,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,16,221,11,False
124,24,24,c4,assistant,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,19,222,11,False
125,25,25,c4,system,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,50,365,47,False
126,25,25,c4,user,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,50,365,47,False
127,25,25,c4,tool,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,52,368,47,False
128,25,25,c4,cot,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,52,369,47,False
129,25,25,c4,assistant,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,55,370,47,False
130,26,26,c4,system,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,3,83,0,False
131,26,26,c4,user,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,3,83,0,False
132,26,26,c4,tool,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,5,86,0,False
133,26,26,c4,cot,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,5,87,0,False
134,26,26,c4,assistant,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,7,87,0,False
135,27,27,c4,system,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,37,263,34,True
136,27,27,c4,user,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,37,263,34,True
137,27,27,c4,tool,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,39,267,34,True
138,27,27,c4,cot,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,39,268,34,True
139,27,27,c4,assistant,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,42,268,34,True
140,28,28,c4,system,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,13,352,10,False
141,28,28,c4,user,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,13,352,10,False
142,28,28,c4,tool,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,338,15,356,10,False
143,28,28,c4,cot,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,338,15,357,10,False
144,28,28,c4,assistant,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,18,357,10,False
145,29,29,c4,system,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,5,1031,2,True
146,29,29,c4,user,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,5,1031,2,True
147,29,29,c4,tool,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,7,1035,2,True
148,29,29,c4,cot,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,7,1036,2,True
149,29,29,c4,assistant,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,10,1036,2,True
150,30,30,c4,system,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,13,53,10,False
151,30,30,c4,user,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,13,53,10,False
152,30,30,c4,tool,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,15,56,10,False
153,30,30,c4,cot,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,15,57,10,False
154,30,30,c4,assistant,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,18,58,10,False
155,31,31,c4,system,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,44,115,41,False
156,31,31,c4,user,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,44,115,41,False
157,31,31,c4,tool,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,46,118,41,False
158,31,31,c4,cot,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,46,119,41,False
159,31,31,c4,assistant,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,49,120,41,False
160,32,32,c4,system,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,21,301,18,False
161,32,32,c4,user,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,21,301,18,False
162,32,32,c4,tool,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,23,304,18,False
163,32,32,c4,cot,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,23,305,18,False
164,32,32,c4,assistant,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,26,306,18,False
165,33,33,c4,system,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,80,145,77,False
166,33,33,c4,user,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,80,145,77,False
167,33,33,c4,tool,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,82,148,77,False
168,33,33,c4,cot,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,82,149,77,False
169,33,33,c4,assistant,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,84,149,77,False
170,34,34,c4,system,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,46,95,43,False
171,34,34,c4,user,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,46,95,43,False
172,34,34,c4,tool,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,48,98,43,False
173,34,34,c4,cot,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,48,99,43,False
174,34,34,c4,assistant,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,51,100,43,False
175,35,35,c4,system,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,25,194,22,False
176,35,35,c4,user,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,25,194,22,False
177,35,35,c4,tool,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,27,197,22,False
178,35,35,c4,cot,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,27,198,22,False
179,35,35,c4,assistant,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,30,199,22,False
180,36,36,c4,system,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,37,813,34,False
181,36,36,c4,user,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,37,813,34,False
182,36,36,c4,tool,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,39,816,34,False
183,36,36,c4,cot,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,39,817,34,False
184,36,36,c4,assistant,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,42,818,34,False
185,37,37,c4,system,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,50,183,47,False
186,37,37,c4,user,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,50,183,47,False
187,37,37,c4,tool,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,52,186,47,False
188,37,37,c4,cot,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,52,187,47,False
189,37,37,c4,assistant,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,55,188,47,False
190,38,38,c4,system,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,233,494,230,False
191,38,38,c4,user,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,233,494,230,False
192,38,38,c4,tool,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,235,497,230,False
193,38,38,c4,cot,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,235,498,230,False
194,38,38,c4,assistant,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,238,499,230,False
195,39,39,c4,system,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,9,851,6,False
196,39,39,c4,user,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,9,851,6,False
197,39,39,c4,tool,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,11,854,6,False
198,39,39,c4,cot,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,11,855,6,False
199,39,39,c4,assistant,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,13,855,6,False
200,40,40,c4,system,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,31,148,28,False
201,40,40,c4,user,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,31,148,28,False
202,40,40,c4,tool,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,33,151,28,False
203,40,40,c4,cot,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,33,152,28,False
204,40,40,c4,assistant,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,36,153,28,False
205,41,41,c4,system,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,51,718,48,False
206,41,41,c4,user,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,51,718,48,False
207,41,41,c4,tool,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,53,721,48,False
208,41,41,c4,cot,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,53,722,48,False
209,41,41,c4,assistant,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,56,723,48,False
210,42,42,c4,system,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,21,471,18,False
211,42,42,c4,user,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,21,471,18,False
212,42,42,c4,tool,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,23,474,18,False
213,42,42,c4,cot,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,23,475,18,False
214,42,42,c4,assistant,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,26,476,18,False
