[analyze] curves.csv: 30000 rows; layers [np.int64(8), np.int64(12), np.int64(16)]; conditions ['none', 'sys_t1', 'sys_t25', 'sys_t50', 'sys_t100', 'sys_t150', 'user_t100', 'bare_t100', 'bos2_t100', 'nobos']; n_boot 200; ewma alpha 0.25
[analyze] block Systemness vs same-index no-insert baseline (per-prompt mean, then across prompts; CI = bootstrap over prompts):
 layer condition token_set  block_start  block_end  n_prompts  block_mean  baseline_same_index_mean  n_paired    diff  diff_ci_lo  diff_ci_hi
    12  sys_t100       all          100        160          3      0.1238                    0.7431         3 -0.6193     -0.6833     -0.5634
    12  sys_t100   content          100        160          3      0.1034                    0.7431         3 -0.6397     -0.6914     -0.5415
    12  sys_t150       all          150        210          2      0.1518                    0.7654         2 -0.6136     -0.6397     -0.5876
    12  sys_t150   content          150        210          2      0.1268                    0.7654         2 -0.6386     -0.6608     -0.6164
    12   sys_t25       all           25         85          3      0.2136                    0.8303         3 -0.6167     -0.6962     -0.5164
    12   sys_t25   content           25         85          3      0.1952                    0.8303         3 -0.6351     -0.7196     -0.5272
    12   sys_t50       all           50        110          3      0.1661                    0.8073         3 -0.6412     -0.6967     -0.5663
    12   sys_t50   content           50        110          3      0.1479                    0.8073         3 -0.6594     -0.7517     -0.5725
    12 user_t100       all          100        160          3      0.0949                    0.7431         3 -0.6481     -0.7303     -0.5387
    12 user_t100   content          100        160          3      0.0829                    0.7431         3 -0.6601     -0.7379     -0.5550
    16 bare_t100       all          100        156          3      0.2842                    0.9634         3 -0.6792     -0.6888     -0.6676
    16 bare_t100   content          100        156          3      0.2842                    0.9634         3 -0.6792     -0.6960     -0.6676
    16 bos2_t100       all          100        100          3      0.8179                    0.9784         3 -0.1605     -0.4572     -0.0088
    16 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
    16    sys_t1       all            1         61          3      0.2861                    0.8522         3 -0.5662     -0.6454     -0.4593
    16    sys_t1   content            1         61          3      0.2401                    0.8522         3 -0.6121     -0.6912     -0.5053
    16  sys_t100       all          100        160          3      0.1768                    0.9636         3 -0.7867     -0.8174     -0.7568
    16  sys_t100   content          100        160          3      0.1403                    0.9636         3 -0.8233     -0.8478     -0.7852
    16  sys_t150       all          150        210          2      0.1836                    0.9660         2 -0.7824     -0.8277     -0.7371
    16  sys_t150   content          150        210          2      0.1425                    0.9660         2 -0.8235     -0.8646     -0.7824
    16   sys_t25       all           25         85          3      0.1964                    0.9091         3 -0.7127     -0.8208     -0.6013
    16   sys_t25   content           25         85          3      0.1558                    0.9091         3 -0.7533     -0.8573     -0.6465
    16   sys_t50       all           50        110          3      0.1876                    0.9451         3 -0.7575     -0.7935     -0.7312
    16   sys_t50   content           50        110          3      0.1476                    0.9451         3 -0.7975     -0.8364     -0.7679
    16 user_t100       all          100        160          3      0.1174                    0.9636         3 -0.8462     -0.8858     -0.7769
    16 user_t100   content          100        160          3      0.0841                    0.9636         3 -0.8795     -0.9193     -0.8108
[done] figures in appendix-k/runs/smoke-neutral/figures
[analyze] curves.csv: 30000 rows; layers [8, 12, 16]; conditions ['none', 'sys_t1', 'sys_t25', 'sys_t50', 'sys_t100', 'sys_t150', 'user_t100', 'bare_t100', 'bos2_t100', 'nobos']; n_boot 200; ewma alpha 0.25
[analyze] block Systemness vs same-index no-insert baseline (per-prompt mean, then across prompts; CI = bootstrap over prompts):
 layer condition token_set  block_start  block_end  n_prompts  block_mean  baseline_same_index_mean  n_paired    diff  diff_ci_lo  diff_ci_hi
     8 bare_t100       all          100        156          3      0.3511                    0.8862         3 -0.5351     -0.6285     -0.4801
     8 bare_t100   content          100        156          3      0.3511                    0.8862         3 -0.5351     -0.5845     -0.4855
     8 bos2_t100       all          100        100          3      0.9084                    0.8815         3  0.0269     -0.1042      0.1557
     8 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
     8    sys_t1       all            1         61          3      0.5422                    0.7831         3 -0.2408     -0.3968     -0.1264
     8    sys_t1   content            1         61          3      0.5710                    0.7831         3 -0.2121     -0.3039     -0.0976
     8  sys_t100       all          100        160          3      0.2885                    0.8859         3 -0.5974     -0.6609     -0.5328
     8  sys_t100   content          100        160          3      0.2671                    0.8859         3 -0.6188     -0.6776     -0.5548
     8  sys_t150       all          150        210          2      0.2929                    0.8148         2 -0.5219     -0.5456     -0.4982
     8  sys_t150   content          150        210          2      0.2699                    0.8148         2 -0.5450     -0.5714     -0.5185
     8   sys_t25       all           25         85          3      0.4053                    0.8845         3 -0.4792     -0.6045     -0.3572
     8   sys_t25   content           25         85          3      0.4017                    0.8845         3 -0.4829     -0.6092     -0.4000
     8   sys_t50       all           50        110          3      0.4192                    0.8887         3 -0.4695     -0.5399     -0.3962
     8   sys_t50   content           50        110          3      0.4073                    0.8887         3 -0.4815     -0.5289     -0.4102
     8 user_t100       all          100        160          3      0.1933                    0.8859         3 -0.6926     -0.7513     -0.6314
     8 user_t100   content          100        160          3      0.1770                    0.8859         3 -0.7089     -0.7498     -0.6427
    12 bare_t100       all          100        156          3      0.2163                    0.7372         3 -0.5209     -0.6241     -0.3811
    12 bare_t100   content          100        156          3      0.2163                    0.7372         3 -0.5209     -0.6019     -0.3811
    12 bos2_t100       all          100        100          3      0.7729                    0.6778         3  0.0951     -0.1008      0.2306
    12 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
    12    sys_t1       all            1         61          3      0.2800                    0.8211         3 -0.5411     -0.6614     -0.4302
    12    sys_t1   content            1         61          3      0.2781                    0.8211         3 -0.5430     -0.6201     -0.4651
    12  sys_t100       all          100        160          3      0.1238                    0.7431         3 -0.6193     -0.6833     -0.5634
    12  sys_t100   content          100        160          3      0.1034                    0.7431         3 -0.6397     -0.6914     -0.5415
    12  sys_t150       all          150        210          2      0.1518                    0.7654         2 -0.6136     -0.6397     -0.5876
    12  sys_t150   content          150        210          2      0.1268                    0.7654         2 -0.6386     -0.6608     -0.6164
    12   sys_t25       all           25         85          3      0.2136                    0.8303         3 -0.6167     -0.6962     -0.5164
    12   sys_t25   content           25         85          3      0.1952                    0.8303         3 -0.6351     -0.7196     -0.5272
    12   sys_t50       all           50        110          3      0.1661                    0.8073         3 -0.6412     -0.6967     -0.5663
    12   sys_t50   content           50        110          3      0.1479                    0.8073         3 -0.6594     -0.7517     -0.5725
    12 user_t100       all          100        160          3      0.0949                    0.7431         3 -0.6481     -0.7303     -0.5387
    12 user_t100   content          100        160          3      0.0829                    0.7431         3 -0.6601     -0.7379     -0.5550
    16 bare_t100       all          100        156          3      0.2842                    0.9634         3 -0.6792     -0.6888     -0.6676
    16 bare_t100   content          100        156          3      0.2842                    0.9634         3 -0.6792     -0.6960     -0.6676
    16 bos2_t100       all          100        100          3      0.8179                    0.9784         3 -0.1605     -0.4572     -0.0088
    16 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
    16    sys_t1       all            1         61          3      0.2861                    0.8522         3 -0.5662     -0.6454     -0.4593
    16    sys_t1   content            1         61          3      0.2401                    0.8522         3 -0.6121     -0.6912     -0.5053
    16  sys_t100       all          100        160          3      0.1768                    0.9636         3 -0.7867     -0.8174     -0.7568
    16  sys_t100   content          100        160          3      0.1403                    0.9636         3 -0.8233     -0.8478     -0.7852
    16  sys_t150       all          150        210          2      0.1836                    0.9660         2 -0.7824     -0.8277     -0.7371
    16  sys_t150   content          150        210          2      0.1425                    0.9660         2 -0.8235     -0.8646     -0.7824
    16   sys_t25       all           25         85          3      0.1964                    0.9091         3 -0.7127     -0.8208     -0.6013
    16   sys_t25   content           25         85          3      0.1558                    0.9091         3 -0.7533     -0.8573     -0.6465
    16   sys_t50       all           50        110          3      0.1876                    0.9451         3 -0.7575     -0.7935     -0.7312
    16   sys_t50   content           50        110          3      0.1476                    0.9451         3 -0.7975     -0.8364     -0.7679
    16 user_t100       all          100        160          3      0.1174                    0.9636         3 -0.8462     -0.8858     -0.7769
    16 user_t100   content          100        160          3      0.0841                    0.9636         3 -0.8795     -0.9193     -0.8108
[done] figures in appendix-k/runs/smoke-neutral/figures
[analyze] curves.csv: 30000 rows; layers [8, 12, 16]; conditions ['none', 'sys_t1', 'sys_t25', 'sys_t50', 'sys_t100', 'sys_t150', 'user_t100', 'bare_t100', 'bos2_t100', 'nobos']; n_boot 200; ewma alpha 0.25
[analyze] block Systemness vs same-index no-insert baseline (per-prompt mean, then across prompts; CI = bootstrap over prompts):
 layer condition token_set  block_start  block_end  n_prompts  block_mean  baseline_same_index_mean  n_paired    diff  diff_ci_lo  diff_ci_hi
     8 bare_t100       all          100        156          3      0.3511                    0.8862         3 -0.5351     -0.6285     -0.4801
     8 bare_t100   content          100        156          3      0.3511                    0.8862         3 -0.5351     -0.5845     -0.4855
     8 bos2_t100       all          100        100          3      0.9084                    0.8815         3  0.0269     -0.1042      0.1557
     8 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
     8    sys_t1       all            1         61          3      0.5422                    0.7831         3 -0.2408     -0.3968     -0.1264
     8    sys_t1   content            1         61          3      0.5710                    0.7831         3 -0.2121     -0.3039     -0.0976
     8  sys_t100       all          100        160          3      0.2885                    0.8859         3 -0.5974     -0.6609     -0.5328
     8  sys_t100   content          100        160          3      0.2671                    0.8859         3 -0.6188     -0.6776     -0.5548
     8  sys_t150       all          150        210          2      0.2929                    0.8148         2 -0.5219     -0.5456     -0.4982
     8  sys_t150   content          150        210          2      0.2699                    0.8148         2 -0.5450     -0.5714     -0.5185
     8   sys_t25       all           25         85          3      0.4053                    0.8845         3 -0.4792     -0.6045     -0.3572
     8   sys_t25   content           25         85          3      0.4017                    0.8845         3 -0.4829     -0.6092     -0.4000
     8   sys_t50       all           50        110          3      0.4192                    0.8887         3 -0.4695     -0.5399     -0.3962
     8   sys_t50   content           50        110          3      0.4073                    0.8887         3 -0.4815     -0.5289     -0.4102
     8 user_t100       all          100        160          3      0.1933                    0.8859         3 -0.6926     -0.7513     -0.6314
     8 user_t100   content          100        160          3      0.1770                    0.8859         3 -0.7089     -0.7498     -0.6427
    12 bare_t100       all          100        156          3      0.2163                    0.7372         3 -0.5209     -0.6241     -0.3811
    12 bare_t100   content          100        156          3      0.2163                    0.7372         3 -0.5209     -0.6019     -0.3811
    12 bos2_t100       all          100        100          3      0.7729                    0.6778         3  0.0951     -0.1008      0.2306
    12 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
    12    sys_t1       all            1         61          3      0.2800                    0.8211         3 -0.5411     -0.6614     -0.4302
    12    sys_t1   content            1         61          3      0.2781                    0.8211         3 -0.5430     -0.6201     -0.4651
    12  sys_t100       all          100        160          3      0.1238                    0.7431         3 -0.6193     -0.6833     -0.5634
    12  sys_t100   content          100        160          3      0.1034                    0.7431         3 -0.6397     -0.6914     -0.5415
    12  sys_t150       all          150        210          2      0.1518                    0.7654         2 -0.6136     -0.6397     -0.5876
    12  sys_t150   content          150        210          2      0.1268                    0.7654         2 -0.6386     -0.6608     -0.6164
    12   sys_t25       all           25         85          3      0.2136                    0.8303         3 -0.6167     -0.6962     -0.5164
    12   sys_t25   content           25         85          3      0.1952                    0.8303         3 -0.6351     -0.7196     -0.5272
    12   sys_t50       all           50        110          3      0.1661                    0.8073         3 -0.6412     -0.6967     -0.5663
    12   sys_t50   content           50        110          3      0.1479                    0.8073         3 -0.6594     -0.7517     -0.5725
    12 user_t100       all          100        160          3      0.0949                    0.7431         3 -0.6481     -0.7303     -0.5387
    12 user_t100   content          100        160          3      0.0829                    0.7431         3 -0.6601     -0.7379     -0.5550
    16 bare_t100       all          100        156          3      0.2842                    0.9634         3 -0.6792     -0.6888     -0.6676
    16 bare_t100   content          100        156          3      0.2842                    0.9634         3 -0.6792     -0.6960     -0.6676
    16 bos2_t100       all          100        100          3      0.8179                    0.9784         3 -0.1605     -0.4572     -0.0088
    16 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
    16    sys_t1       all            1         61          3      0.2861                    0.8522         3 -0.5662     -0.6454     -0.4593
    16    sys_t1   content            1         61          3      0.2401                    0.8522         3 -0.6121     -0.6912     -0.5053
    16  sys_t100       all          100        160          3      0.1768                    0.9636         3 -0.7867     -0.8174     -0.7568
    16  sys_t100   content          100        160          3      0.1403                    0.9636         3 -0.8233     -0.8478     -0.7852
    16  sys_t150       all          150        210          2      0.1836                    0.9660         2 -0.7824     -0.8277     -0.7371
    16  sys_t150   content          150        210          2      0.1425                    0.9660         2 -0.8235     -0.8646     -0.7824
    16   sys_t25       all           25         85          3      0.1964                    0.9091         3 -0.7127     -0.8208     -0.6013
    16   sys_t25   content           25         85          3      0.1558                    0.9091         3 -0.7533     -0.8573     -0.6465
    16   sys_t50       all           50        110          3      0.1876                    0.9451         3 -0.7575     -0.7935     -0.7312
    16   sys_t50   content           50        110          3      0.1476                    0.9451         3 -0.7975     -0.8364     -0.7679
    16 user_t100       all          100        160          3      0.1174                    0.9636         3 -0.8462     -0.8858     -0.7769
    16 user_t100   content          100        160          3      0.0841                    0.9636         3 -0.8795     -0.9193     -0.8108
[done] figures in appendix-k/runs/smoke-neutral/figures
